docid	type	archive	Item	reference	dateday	datemonth	dateyear	periodstart	periodend	msdate	probateday	probatemonth	probateyear	msprobate	language	notes
33	will	pro	will	prob 11/349/14v	11	10	1670				20	11	1670		English	revokes all previous wills; v short; signed and sealed
34	will	pro	will	prob 11/15/156v	22	1	1506			+ 22H7	15	2	1506		English	revokes previous wills
35	will	pro	will	prob 11/193/49	23	7	1644			+ 20Ch	18	4	1645		English	will signed and sealed; 14 sheets of paper ea signed and sealed; memorandum (1st codicil)  on f.51, 23/7/1644: beqid688 ff; 2nd codicil beginsd f.51v, 23/7 beqid692 ff
36	will	pro	will	prob 11/413/138v	19	8	1682			+ 34Ch2	17	1	1692		English	will written: "Being now bound out to Sea for divers good causes and valuable considerations"; whole will (1 folio) is to grant power of attorney to wife; revokes previous wills; signed and sealed
37	will	pro	will	prob 11/563/61v	11	11	1716			+ 3Geo	18	3	1717		English	considering the perils and dangers of the sea, and for avoiding controversy after my death; revokes previous wills; signed and sealed
38	will	pro	will	prob 11/315/124	17	6	1664				4	10	1664		English	signed and sealed; codicil dated 20/6/1664 - adds pid849 to exec in case pid857 refuses
39	will	pro	will	prob 11/340/276v	1	10	1672			+ 24CH2	5	11	1572		English	ref: folio is approx; revokes earlier wills; 3 sheets; signed and sealed
40	will	pro	will	prob 11/345/135	9	2	1673			+ 26Ch2	25	6	1674		English	1 sheet; signed and sealed
41	will	pro	will	prob 11/362/281	12	4	1672			+ 24Ch2	12	3	1679		English	signed and sealed;
42	will	pro	will	prob 11/247/183v	22	1	1654				8	3	1654		English	signed and sealed; 4 sheets (how?!); codicil added 3/2/1654 - beqid739
43	will	pro	will	prob 11/176/221v	15	3	1637			+ 13CH	24	3	1637		English	2 sheets; signed and sealed; revokes previous wills;
44	will	pro	will	prob 11/230/244	6	2	1651				27	5	1653		English	revokes previous wills; signed and sealed
45	will	pro	will	prob 11/134/281v	27	10	1619				1	11	1619		English	signed and sealed;
46	will	pro	will	prob 11/154/356	19	12	1628			+ 4CH	30	12	1628		English	signed and sealed
47	will	pro	will	prob 11/552/273	5	4	1708			+ 6Anne	2	6	1716		English	4 sheets signed and sealed
48	will	pro	will	prob 11/184/359v	8	10	1640			+ 16CH	8	12	1640		English	previous wills revoked; signed and sealed; 7 sheets
49	will	pro	will	prob 11/450/231v	9	7	1698				19	5	1699		English	revokes previous wills; 9 sheets; signed and sealed;
50	will	pro	will	prob 11/369/78v	8	7	1676			+ 28Ch2	24	1	1681		English	signed and sealed; 4 and a part sheets;
52	national tax	gl	aid (4s in £) 1692/3 AHHL	11316/2 f.2		0	1692			1692/3		0	0		English	The First quarterly payment for the land tax@@@@Cheape Ward, Anno Dnis 1692/3@@@@Alhallowes Hony Lane Parish
53	national tax	gl	aid (4s in £) 1694 AHHL	11316/2 f.10		0	1694			2nd quarter 1694		0	0		English	folio is approx; 1693/4; AHHL cheap ward 2nd quarter 1694 @@@@ nb - some details are different from those present in docid368
54	national tax	pro	hearth tax, 1662/3 AHHL	E179		0	1662					0	0		English	1662-3 hearth tax - get reference; total by Edward Greene, constable (the total given is incorrect)
[nb the last minister, Vertue, died in 1660 and the next, Hutchinson, was not appointed till 1663]
55	national tax	pro	hearth tax, 1666  AHHL	E179		0	1666					0	0		English	1666 hearth tax - get reference;
56	national tax	clro	marriage duty assessment 1695 AHHL	Marriage Assess 4		0	1695					0	0		English	1695 marriage duty act assessment for AHHL
57	national tax	lamb	1638 AHHL tithe	Lambeth ms 272 f.32		0	1638					0	0		English	1638 tithes, input from Dale (extra information from where? VH and DK?) @@@@ Sum of rents: £1000 @@@@ Sum of tithes due according to their value £137 10s @@@@ Sumo f tithes pd for the present yearly £42 1s @@@@ The casualities and Easter book £5 10s @@@@ Deductions for Curate £5, for tenths £1 18s 4d, for procurations 4s (total £7 2s 4d)
58	vestry record	gl	chWardens list 1631-59 AHHL	gl MS 5022 ff.36-38		0	0			17/1/1631-23/7/1659		0	0		English	list of churchwardens; Guildhall Library MS 5022 - AHHL parish register; no churchwardens listed on f.37v;
59	vestry record	gl	chWardens accounts 1642  AHHL	gl ms 5026/1	16	11	1642					0	0		English	churchwardens accounts; List of names of those who have promised to maintain 34 men for 3 months if the wars continue at 4/8 a week from 16 Nov 1642; where are alternate surnames coming from (Phil)?
60	vestry record	gl	chWardens accounts 1642  AHHL	gl ms 5026/1	29	11	1642					0	0		English	churchwardens account; List of those who have paid these sums to Ric Fenton, churchwarden, to be paid to the Guildhall upon the public faith of the kingdom towards the advancing of the army 29 Nov. 1642
61	vestry record	gl	chWardens accounts 1672  62	vestry record	gl	chWardens accounts 1672  AHHL	gl ms 5026/1	18	12	1672					0	0		English	Churchwardens accounts; 18 Dec 1672 list of quarterly payments for the tithe of the parish, beginning mich 1672:
.d. but entered c. 1672); note the source lists quarterly and annual payments - only the quarterly have been recorded as the annual amounts are always 4x quarterly
63	vestry record	gl	a 15th 1585 AHHL	glms5022 f.118v	21	4	1585					0	0		English	parish register; a 15th assessed 21/4/1585
64	vestry record	gl	a 15th 1573 AHHL	glms5022 f.119v	16	8	1573					0	0		English	Parish register; a 15th? assessed 16/8/1573
65	vestry record	gl	a 15th? 1576 AHHL	glms5022 f.120	25	5	1576					0	0		English	Parish register; something being assessed 25/5/1576; folio damaged
66	vestry record	gl	parish seasying 1577  AHHL	glms5022 f.120v	14	5	1577					0	0		English	parish register; seassyng 14/5/1577
67	vestry record	gl	parish assessment 1585  AHHL	glms5022 f.121	12	5	1585					0	0		English	parish register: Assessment 12/5/1585
68	vestry record	gl	a 15th 1579  AHHL	glms5022 f.122		10	1579					0	0		English	parish register: assessment of a fyftene ... octobre 1579
69	vestry record	gl	a 15th 1582  AHHL	glms5022 f.122v	1	5	1582					0	0		English	parish register: assessment 1/5/1582 - a 15th
70	vestry record	gl	parish officers 1563-79  AHHL	glms5022 f.121v		0	0			1563-1579		0	0		English	parish register: list of parish officers, 1563-1579
71	vestry record	gl	parish officers 1580-93  AHHL	glms5022 f.123		0	0			1580-1593		0	0		English	parish register: list of parish officers, 1580-1593
72	cheapside gaz	cmh	gaz	p.12		0	1530					0	0		English	
73	cheapside gaz	cmh	gaz	p.12		0	1536			between 1530-1536		0	0		English	between 1530-1536
74	cheapside gaz	cmh	gaz	p.12		0	1536			1536		0	0		English	
75	cheapside gaz	cmh	gaz	p.12		0	0			between 1536 and1538		0	0		English	
76	cheapside gaz	cmh	gaz	p.13		8	1536					0	0		English	Aug 1536, before propeventid5 occurred
77	cheapside gaz	cmh	gaz	p.13		0	1538			1537/8		0	0		English	
78	cheapside gaz	cmh	gaz	p.13		0	1541			1538-1541		0	0		English	
79	cheapside gaz	cmh	gaz	p.13		0	1543			1542 - 1543		0	0		English	
80	cheapside gaz	cmh	gaz	p.13		0	1543					0	0		English	
81	cheapside gaz	cmh	gaz	p.13		0	1544					0	0		English	
82	cheapside gaz	cmh	gaz	p.13		0	1554			1544-1554		0	0		English	
83	cheapside gaz	cmh	gaz	p.13		8	1554					0	0		English	
84	cheapside gaz	cmh	gaz	p.13		9	1554					0	0		English	
85	cheapside gaz	cmh	gaz	p.13		0	1584			1554-1584		0	0		English	
86	cheapside gaz	cmh	gaz	p.13		10	1584					0	0		English	
87	cheapside gaz	cmh	gaz	p.13		0	1585					0	0		English	
88	cheapside gaz	cmh	gaz	p.13		0	1610			1586-1610		0	0		English	
89	cheapside gaz	cmh	gaz	p.13		0	1606					0	0		English	
90	cheapside gaz	cmh	gaz	p.13		0	1639			1610-1639		0	0		English	
91	cheapside gaz	cmh	gaz	p.13		0	1633					0	0		English	
92	cheapside gaz	cmh	gaz	p.13		4	1633					0	0		English	
93	cheapside gaz	cmh	gaz	p.13		0	1639					0	0		English	
94	cheapside gaz	cmh	gaz	p.13		0	1638					0	0		English	
95	cheapside gaz	cmh	gaz	p.13		4	1640					0	0		English	
96	cheapside gaz	cmh	gaz	p.13		9	1640					0	0		English	
97	cheapside gaz	cmh	gaz	p.13		0	1640					0	0		English	
98	cheapside gaz	cmh	gaz	p.13		0	1641					0	0		English	
99	cheapside gaz	cmh	gaz	p.13		0	1645			1641-1645		0	0		English	
100	cheapside gaz	cmh	gaz	p.13		9	1646					0	0		English	
101	cheapside gaz	cmh	gaz	p.13		11	1646					0	0		English	
102	cheapside gaz	cmh	gaz	p.13		0	1653			1646-1653		0	0		English	
103	cheapside gaz	cmh	gaz	p.13		0	1652					0	0		English	
104	cheapside gaz	cmh	gaz	p.13		0	1653					0	0		English	
106	cheapside gaz	cmh	gaz	p.14		0	1653					0	0		English	
107	cheapside gaz	cmh	gaz	p.14		0	1666			1653-1666		0	0		English	
108	cheapside gaz	cmh	gaz	p.14		0	1666			sometime before 1666		0	0		English	
109	cheapside gaz	cmh	gaz	p.14		0	1662					0	0		English	
110	cheapside gaz	cmh	gaz	p.14		0	1666					0	0		English	
111	cheapside gaz	cmh	gaz	p.14		12	1668					0	0		English	
112	cheapside gaz	cmh	gaz	p.16		0	1526					0	0		English	
113	cheapsi114	cheapside gaz	cmh	gaz	p.17		0	1540					0	0		English	
115	cheapside gaz	cmh	gaz	p.17		0	1541					0	0		English	
116	cheapside gaz	cmh	gaz	p.17		0	1544					0	0		English	
117	cheapside gaz	cmh	gaz	p.22		0	1562					0	0		English	
118	cheapside gaz	cmh	gaz	p.22		0	1576					0	0		English	
119	cheapside gaz	cmh	gaz	p.22		0	1660					0	0		English	
120	cheapside gaz	cmh	gaz	p.22		0	1662					0	0		English	
121	cheapside gaz	cmh	gaz	p.23		0	1668					0	0		English	
122	cheapside gaz	cmh	gaz	p.22		0	1544					0	0		English	
123	cheapside gaz	cmh	gaz	p.22		0	1548					0	0		English	
124	cheapside gaz	cmh	gaz	p.22		0	1572					0	0		English	
125	cheapside gaz	cmh	gaz	p.22		0	1573					0	0		English	
126	cheapside gaz	cmh	gaz	p.22		0	1576					0	0		English	
127	cheapside gaz	cmh	gaz	p.22		0	1608					0	0		English	
128	cheapside gaz	cmh	gaz	p.22		0	1634			1626, 1634		0	0		English	
129	cheapside gaz	cmh	gaz	p.22		0	1638					0	0		English	
130	cheapside gaz	cmh	gaz	p.22		0	1648					0	0		English	NB there is no property info associated with this will in the Gaz, so there is no entry in TblProp for this document
131	cheapside gaz	cmh	gaz	p.22		0	1666			1662, 1666		0	0		English	
132	cheapside gaz	cmh	gaz	p.23		0	1668					0	0		English	
133	cheapside gaz	cmh	gaz	p.23		0	1669					0	0		English	
134	cheapside gaz	cmh	gaz	p.23		6	1671					0	0		English	
135	cheapside gaz	cmh	gaz	p.27		0	1521			between 1519 and 1521		0	0		English	
136	cheapside gaz	cmh	gaz	p.27		0	1522					0	0		English	
137	cheapside gaz	cmh	gaz	p.27		0	1524			between 1522 and 1524		0	0		English	
138	cheapside gaz	cmh	gaz	p.27		0	1528			between 1524 and 1528		0	0		English	
139	cheapside gaz	cmh	gaz	p.27		0	1530			1528 or 1530 to 1552		0	0		English	
140	cheapside gaz	cmh	gaz	p.27		0	1552					0	0		English	
141	cheapside gaz	cmh	gaz	p.27		0	1559			between 1556 and 1559		0	0		English	
142	cheapside gaz	cmh	gaz	p.27		0	1559					0	0		English	
143	cheapside gaz	cmh	gaz	p.27		0	1574			between 1559 and 1574		0	0		English	
144	cheapside gaz	cmh	gaz	p.27		0	1584			between 1574 and 1584		0	0		English	
145	cheapside gaz	cmh	gaz	p.27		0	1585					0	0		English	
146	cheapside gaz	cmh	gaz	p.27		0	1584			after 1584		0	0		English	
147	cheapside gaz	cmh	gaz	p.27		0	1589			sometime between 1588 and 1589		0	0		English	
148	cheapside gaz	cmh	gaz	p.27		0	1589					0			English	
149	cheapside gaz	cmh	gaz	p.27		0	1593			1587/8 and from 1589-1593		0	0		English	
150	national tax	clro	1681 AHHL tithe	Assess box 45 ms 10		9	1681					0	0		English	A new Rate in leiu of Tythes for the Incumbent of the parish of Hony Lane lately consolidated according to Stat of Parliament. 22. 23. Car.2.@@@@N.B. This is called a New rate because upon an appeale there was a Review made within 3. Months after June. 24. 1681according to the direction of the act of Parliament 22. and 23. Car.2 wch appeales or reviews were not had in the parishes of St Mary-le-bow - or S Pancrace
151	national tax	clro	1672 SMLB tithe	Assess box 45 ms 10	24	9	1672					0	0		English	A Rate for the raysing the tythes in the parish of St - Mary-le-Bow assessed by us whose names are underwritten by vertue of an order of the Court of Aldermen of London according to a late act of Parliament. to commence from the 24th of September last. Anno Domini: 1672
152	national tax	clro	1672 SPSL tithe	Assess box 45 ms 10	24	9	1672					0	0		English	A Rate for raysing the tythes of St Pancrace Soper Lane assessed by us whose names are underwritten by vertue of an order from the Court of Aldermen of London according to a late act [in margin '22. to 23. Car.2.'] of Parliament to Commence from the 24th of September 1672
153	national tax	clro	poll tax 1692/3 cheap ward	Assess Box 34 MS 18		0	1692			4th quarter 1692/3		0	0		English	poll tax
154	national tax	clro	poll tax 1694 cheap ward	Assess Box 60 MS 3		0	1694			1st quarter 1694		0	0		English	Assessments: Poll tax 526 W&M c.14, cheap ward;
155	national tax	clro	poll tax 1692 cheap ward	Assess Box 33 MS 5		0	1692			1st quarter 1692		0	0		English	poll tax 1st quarter 1692
156	national tax	clro	poll tax 1678 cheap ward	Assess Box 67 MS 5		0	1678			1678		0	0		English	"Cheape Warde Anno 1678: The rates & or monies charged and assessed upon all & everie the persons within the said Ward according to an Act of this present Parliament intituled an Act for raising money by a poll and otherwise to enable his Matie to enter into an actuall warr agt the french etc"
157	national tax	clro	poll tax 1690 cheap ward	Assess Box 6 MS 17		0	1690			1690		0	0		English	"Cheape Ward 1690 Londonis An Assessmt upon the said ward by vertue of a late Act of parliament Intituled an Act for raising money by a poll & otherwise towards the reduceing of Ireland and presecuting [sic] the Warr agt France"@@@@NB - the prop division marks here probably don't refer to properties (given their frequency).
158	national tax	clro	Aid, 1665 Cheap Ward	misc ms 326.8	25	12	1665			3rd and 4th quarterly payments		0	0		English	CLRO MISC MSS 326.8, 2 fragments of list of names: arrears, 3rd & 4th quarterly payments of royal aid ending December 1665; Cheape Weard@@@@"Ther Accotts of Arears, upon the third and fourth quarterly payment of the Royall Ayd ending the 25th of Deecember 1665 as followeth"@@@@"We have pursued the & doe certify that the arrears above cannot be got in Edward Griffith deputy"
159	inhabitants list	clro	Destroyed houses, 1666, Cheap ward	Alchin Papers Box F no.65 (6)		0	1666					0	0		English	Cheape Ward 1666, names of persons whose houses were destroyed by the fire of London 1666@@@@Cheape Houses destroyed by the fire 426
160	national tax	clro	Hearth tax, c.1671	Assessment box  25.9/21 f.13		0	1671					0	0		English	names of householders in Cheapside, with numbers of hearths and street names (precincts 1-9), n.d. [c. 1671?], folio 13-17
161	national tax	clro	Hearth tax, 1672	Assessment box 25-9/28		0	1672			Michaelmas 1672		0	0		English	Assessment box 25-9/28, A survey of fireharthes in [Cheap Ward] for the yeare ending at Mich: last 1672
162	cheapside gaz	cmh	gaz	p.33		0	1528			between 1512 and 1528		0	0		English	
163	cheapside gaz	cmh	gaz	p.33		0	1524			1522/1524		0	0		English	
164	cheapside gaz	cmh	gaz	p.33		0	1526			before 1526		0	0		English	
165	cheapside gaz	cmh	gaz	p.33		0	1528			between 1526 and 1528		0	0		English	
166	cheapside gaz	cmh	gaz	p.34		0	1528					0	0		English	
167	cheapside gaz	cmh	gaz	p.34		0	1528					0	0		English	
168	cheapside gaz	cmh	gaz	p.34		0	1530			between 1528 and 1530		0	0		English	
169	cheapside gaz	cmh	gaz	p.34		0	1529			1528/29		0	0		English	
170	cheapside gaz	cmh	gaz	p.34		0	1530			1530		0	0		English	
171	cheapside gaz	cmh	gaz	p.34		0	1532			between 1530 and 1532		0	0		English	
172	cheapside gaz	cmh	gaz	p.34		0	1535			between 1533 and 1535		0	0		English	
173	cheapside gaz	cmh	gaz	p.34		0	1537			between 1535 and 1537		0	0		English	
174	cheapside gaz	cmh	gaz	p.34		0	1539			between 1537 and 1539		0	0		English	
175	cheapside gaz	cmh	gaz	p.34		0	1543			between 1539 and 1543		0	0		English	
176	cheapside gaz	cmh	gaz	p.34		0	1541					0	0		English	
177	cheapside gaz	cmh	gaz	p.34		0	1546			between 1543 and 1546		0	0		English	
178	cheapside gaz	cmh	gaz	p.34		0	1547			between 1546 and 1547		0	0		English	
179	cheapside gaz	cmh	gaz	p.34		0	1552			between 1547 and 1552		0	0		English	
180	cheapside gaz	cmh	gaz	p.34		0	1557			between 1552 and 1557		0	0		English	
181	cheapside gaz	cmh	gaz	p.34		0	1556			after 1556		0	0		English	
182	cheapside gaz	cmh	gaz	p.34		0	1560			between 1557 and 1560		0	0		English	
183	cheapside gaz	cmh	gaz	p.34		0	1575			between 1560 and 1575		0	0		English	
184	cheapside gaz	cmh	gaz	p.34		0	1586			between 1575 and 1586		0	0		English	
185	cheapside gaz	cmh	gaz	p.34		0	1611			between 1586 and 1611		0	0		English	
186	cheapside gaz	cmh	gaz	p.34		0	1613			between 1611 and 1613		0	0		English	
187	cheapside gaz	cmh	gaz	p.34		0	1614			between 1613 and 1614		0	0		English	
188	cheapside gaz	cmh	gaz	p.34		0	1618			between 1614 and 1618		0	0		English	
189	cheapside gaz	cmh	gaz	p.34		0	1627			between 1616 and 1627		0	0		English	
190	cheapside gaz	cmh	gaz	p.34		0	1628			between 1627 and 1628		0	0		English	
191	cheapside gaz	cmh	gaz	p.34		0	1629			between 1628 and 1629		0	0		English	
192	cheapside gaz	cmh	gaz	p.34		0	1630			between 1629 and 1630		0	0		English	
193	cheapside gaz	cmh	gaz	p.35		0	1632			between 1630 and 1632		0	0		English	
194	cheapside gaz	cmh	gaz	p.35		0	1632					0	0		English	
195	cheapside gaz	cmh	gaz	p.35		7	1635					0	0		English	
196	cheapside gaz	cmh	gaz	p.35		0	1638					0	0		English	
197	cheapside gaz	cmh	gaz	p.35		0	1657			between 1635 and 1657		0	0		English	
198	cheapside gaz	cmh	gaz	p.35		0	1651			1650/1		0	0		English	
199	cheapside gaz	cmh	gaz	p.35		0	1658					0	0		English	
200	cheapside gaz	cmh	gaz	p.35		0	1658			later than docid199		0	0		English	
201	cheapside gaz	cmh	gaz	p.35		0	1666			between 1658 and the Fire		0	0		English	
202	cheapside gaz	cmh	gaz	p.35		0	1663			1662/1663		0	0		English	
203	cheapside gaz	cmh	gaz	p.35		0	1666					0	0		English	
204	cheapside gaz	cmh	gaz	p.35		0	1666			after Fire		0	0		English	
205	cheapside gaz	cmh	gaz	p.35		6	1669			June 1669		0	0		English	
206	cheapside gaz	cmh	gaz	p.35		0	1669					0	0		English	
207	cheapside gaz	cmh	gaz	p.40		0	1523					0	0		English	
208	cheapside gaz	cmh	gaz	p.40		0	1525					0	0		English	
209	cheapside gaz	cmh	gaz	p.40		0	1524			between 1522 and 1524		0	0		English	
210	cheapside gaz	cmh	gaz	p.40		0	1527					0	0		English	
211	cheapside gaz	cmh	gaz	p.40		0	1527			shortly after docid210		0	0		English	
212	cheapside gaz	cmh	gaz	p.40		0	1525			1524/5		0	0		English	
213	cheapside gaz	cmh	gaz	p.40		0	1540			1539/40		0	0		English	
214	cheapside gaz	cmh	gaz	p.40		0	1553					0	0		English	
215	cheapside gaz	cmh	gaz	p.40		0	1553			between 1527 and 1553		0	0		English	
216	cheapside gaz	cmh	gaz	p.40		0	1553					0	0		English	
217	cheapside gaz	cmh	gaz	p.40		0	1535					0	0		English	
218	cheapside gaz	cmh	gaz	p.40		0	1544					0	0		English	
219	cheapside gaz	cmh	gaz	p.40		0	1547					0	0		English	
220	cheapside gaz	cmh	gaz	p.40		0	1547			before 1547		0	0		English	
221	cheapside gaz	cmh	gaz	p.40		0	1553					0	0		English	
222	cheapside gaz	cmh	gaz	p.40		0	1548					0	0		English	
223	cheapside gaz	cmh	gaz	p.40		0	1553					0	0		English	
224	national tax	clro	marriage duty assessment 1695 SMIL	Marriage Assess 53 [?]		0	1695					0	0		English	1695 marriage duty act assessment for St Martin Ironmonger Lane
225	national tax	clro	marriage duty assessment 1695 SMC	Marriage Assess 63 [?]		0	1695					0	0		English	1695 marriage duty act assessment for St Mary Colechurch
226	national tax	clro	marriage duty assessment 1695 SMLB	Marriage Assess 62 [?]		0	1695					0	0		English	1695 marriage duty act assessment for St Mary le Bow
227	cheapside gaz	cmh	Gaz	p.40		0	1533					0	0		English	
228	cheapside gaz	cmh	gaz	p.41		0	1544					0	0		English	
229	cheapside gaz	cmh	gaz	p.41		0	1547					0	0		English	
230	cheapside gaz	cmh	gaz	p.41		0	1547					0	0		English	
231	cheapside gaz	cmh	gaz	p.41		0	1553					0	0		English	
232	cheapside gaz	cmh	gaz	p.41		0	1547					0	0		English	
233	cheapside gaz	cmh	gaz	p.41		0	1553					0	0		English	
234	cheapside gaz	cmh	gaz	p.41		0	1553					0	0		English	
235	cheapside gaz	cmh	gaz	p.41		0	1593			1562-1593		0	0		English	
236	cheapside gaz	cmh	gaz	p.41		0	1594			1593 - 1594		0	0		English	
237	cheapside gaz	cmh	gaz	p.41		0	1595			1594 - 1595		0	0		English	
238	cheapside gaz	cmh	gaz	p.41		0	1607			1595 - 1607		0	0		English	
239	cheapside gaz	cmh	gaz	p.41		0	1609			1607 - 1609		0	0		English	
240	cheapside gaz	cmh	gaz	p.41		0	1610					0	0		English	
241	cheapside gaz	cmh	gaz	p.41		0	1631			1610 - 1631		0	0		English	
242	cheapside gaz	cmh	gaz	p.41		7	1631					0	0		English	
243	cheapside gaz	cmh	gaz	p.41		10	1631					0	0		English	
244	cheapside gaz	cmh	gaz	p.42		0	1638			1633 - 1638		0	0		English	
245	cheapside gaz	cmh	gaz	p.42		0	1638					0	0		English	
246	cheapside gaz	cmh	gaz	p.42		0	1649			1639 - 1649		0	0		English	
247	cheapside gaz	cmh	gaz	p.42		0	1649					0	0		English	
248	cheapside gaz	cmh	gaz	p.42		0	1651					0	0		English	
249	cheapside gaz	cmh	gaz	p.42		0	1652					0	0		English	
250	cheapside gaz	cmh	gaz	p.42		8	1654					0	0		English	
251	cheapside gaz	cmh	gaz	p.42		0	1666			1654 - Fire		0	0		English	
252	cheapside gaz	cmh	gaz	p.42		0	1663			1662/3		0	0		English	
253	cheapside gaz	cmh	gaz	p.42		0	1663			1662/3		0	0		English	
254	cheapside gaz	cmh	gaz	p.42		8	1666					0	0		English	
255	cheapside gaz	cmh	gaz	p.42		0	1666					0	0		English	
256	cheapside gaz	cmh	gaz	p.42		0	1672			c.1672		0	0		English	
257	cheapside gaz	cmh	gaz	p.42		0	1666					0	0		English	
258	cheapside gaz	cmh	gaz	p.42		0	1656			1654 - 1656		0	0		English	
259	cheapside gaz	cmh	gaz	p.42		0	1655			1654 - 1655		0	0		English	
260	cheapside gaz	cmh	gaz	p.42		2	1655					0	0		English	
261	cheapside gaz	cmh	gaz	p.42		5	1655					0	0		English	
262	cheapside gaz	cmh	gaz	p.42		7	1655					0	0		English	
263	cheapside gaz	cmh	gaz	p.43		0	1660					0	0		English	
264	cheapside gaz	cmh	gaz	p.43		0	1664					0	0		English	
265	cheapside gaz	cmh	gaz	p.43		0	1663					0	0		English	
266	cheapside gaz	cmh	gaz	p.43		0	1663			1662/1663		0	0		English	
267	cheapside gaz	cmh	gaz	p.43		0	1663			1662/1663		0	0		English	
268	cheapside gaz	cmh	gaz	p.43		0	1665					0	0		English	
269	cheapside gaz	cmh	gaz	p.43		0	1666					0	0		English	
270	cheapside gaz	cmh	gaz	p.43		0	1666					0	0		English	
271	cheapside gaz	cmh	gaz	p.43		0	1668					0	0		English	
272	cheapside gaz	cmh	gaz	p.43		0	0			post Fire and widening of Honey Lane		0	0		English	
273	cheapside gaz	cmh	gaz	p.43		0	1676					0	0		English	
274	cheapside gaz	cmh	gaz	p.46		0	1536			up to 1536		0	0		English	
275	cheapside gaz	cmh	gaz	p.46		0	1535					0	0		English	
276	cheapside gaz	cmh	gaz	p.46		0	1535					0	0		English	
277	cheapside gaz	cmh	gaz	p.46		0	1538			1536-1538		0	0		English	
278	cheapside gaz	cmh	gaz	p.46		0	1538			1537/1538		0	0		English	
279	cheapside gaz	cmh	gaz	p.46		0	1599					0	0		English	
280	cheapside gaz	cmh	gaz	p.46		0	1544					0	0		English	
281	cheapside gaz	cmh	gaz	p.46		0	1547					0	0		English	
282	cheapside gaz	cmh	gaz	p.46		0	1557			1556/1557		0	0		English	
283	cheapside gaz	cmh	gaz	p.46		0	1597					0	0		English	
284	cheapside gaz	cmh	gaz	p.46		0	1612					0	0		English	
285	cheapside gaz	cmh	gaz	p.46		0	1606					0	0		English	
286	cheapside gaz	cmh	gaz	p.46		0	1599					0	0		English	
