doc_id	prop_event_id	lease_id	lease_term	lease_start	lease_rent	lease_fine	lease_conditions	lease_notes
386	267	45	25 yrs	1606	£10	£250	"Pounteis had paid £50 of a £250 fine, and was to pay the rest in 4 instalments by Lady Day 1608; he was at his own cost repairing the 'great decaies or ruines' of the tenement, and was to continue to repair, pave, and cleanse the privies, and to surrender the property with all fixtures in good condition. He was not to convert it into a tavern or victualling house."	
387	269	46	21 yrs	1612			"to spend £100 within the year in building the upper stories of the tenement, with repairs and covenants as before."	
388	271	47	21 yrs	1633	£10	£350	"to repair and support the cellar where the summer had rotted, and to respect the rights of Gilbert Harrison's tenement (8A4)"	£400 fine recommended - £10 was the old rent; lease contained a schedule like previous ones
392	276	48	31 yrs	1654	£10	£600 and brace of bucks or £8 cash	fine payable by Lady Day 1653	starts from expiry of existing lease - ie 1654; old rent
398	284	49	61 yrs	1688	£20		"to rebuild, and to place stone maidenheads, the company's emblem, on the fronts of his houses"	lease for 11/8A1 and 11/8A2
402	289	50						
405	292	51	26 yrs			£200	repairs etc to the tenant	
406	294	52	10 yrs		old rent		old conditions	for remaining 10yrs of previous (surrendered) lease
409	298	53	21 yrs	expiry of current lease	old rent	£250 plus 2 buks for mercers company		
412	302	54	21 yrs					
416	306	55	31 yrs	1660	old rent	£125		
420	310	56	40yrs					as encouragement to rebuild
426	316	57	16 yrs		£10	£200	"o repair and perform the usual covenants, and not to assign except to Edward Clapton, dwelling in a shop, parcel of the premises, or to a mercer, without licence."	
428	320	58	21 yrs		£10	£300		lease in reversion at expiry of pid13997's
429	322	59	17yrs	1631				
432	326	60	21yrs	1648	old rent £10	£240		in recersion
434	329	61						10yr extension to existing lease
439	335	62	45 yrs				rebuilding and paying rent without interruption and all arrears	extension to existing lease
447	344	63	30 yrs		£8 3s 4d	£200	lessee to repair	
453	352	64	21yrs		old rent	£200	"to repair, could only let to a mercer"	had to surrender existing lease
459	21	65		1599	£9	£200	"to repair, not alienate or let to any but a mercer"	
465	365	66	21 yrs	1620	£10	£400		
467	368	67	22 yrs	1627	as before	£40	as before	
470	372	68	21 yrs	1644	old rent £10			
470	373	69	31 yrs			£300		
477	382	70	60 yrs	1668	£10	£100	to rebuild with all convenient speed	
481	387	71	21yrs	1605	£5 6s 8d		to repair; not to alienate to any but a mercer	inc £1 6s 8d rent for the church cellar which the Mercers were to pay to the parish
485	391	72	15 yrs		£4			
489	397	73			£4	0		for as long as a term remained in the lease of the Black Bull
491	400	74	4yrs	1628	£4	£20		although fine paid was 20 marks
494	404	75	23yrs	1632	£4	£40		in reversion
502	415	76	23.5yrs	michaelmas 1652	£6	£100	to reunite the tenement	had to surrender existing lease
504	419	77	29yrs	1657				
519	436	78	21 yrs	1562				
526	445	79	21 yrs		£4		surrender old lease with 6 yrs left; to do repairs;	
530	451	80	21yrs	1598	old rent	£50		
