bequest_id	item_id	item_type	item_description
454	72	basin + ewer	my lesser basin + ewer of silver parcel gilt
455	73	basin + ewer	"my greatest basin + ewer of silver parcel gilt, a little salt which stands in it, + the leather case to the same"
455	74	pot	my 6 silver pots parcel gilt with cover
456	75	salt	my greatest silver salt with cover gilt
457	76	salt	my 2nd silver salt
458	77	salt	my large square salt of silver with cover
518	78	ring	"a gold ring worth 46s 8d with the words ""Live to dye"" on one side and ""R:B"" on the other"
557	79	tablecloth	tablecloth of 8 yards
557	80	towel	long towel of 8 yards
557	81	napkin	dozen napkins of the broadest and best
557	82	standingcup	my 2nd standing gilt cup with cover
562	83	salt	my little gilt salt with cover
567	84	tablecloth	"tablecloth of fine diaper of damask work of 12 yards, a towel of the same, 2 dozen napkins of the same"
567	85	towel	"tablecloth of fine diaper of damask work of 12 yards, a towel of the same, 2 dozen napkins of the same"
567	86	napkin	"tablecloth of fine diaper of damask work of 12 yards, a towel of the same, 2 dozen napkins of the same"
568	87	tablecloth	"tablecloth of fine diaper of damask work of 10 yards, a towel of same and 18 napkins of the same"
568	88	towel	"tablecloth of fine diaper of damask work of 10 yards, a towel of same and 18 napkins of the same"
568	89	napkin	"tablecloth of fine diaper of damask work of 10 yards, a towel of same and 18 napkins of the same"
568	90	standingcup	my best standing cup with a cover
569	91	tablecloth	"tablecloth of fine diaper of damask work of 10 yards, a towel of same and 18 napkins of the same, from the Syncsomer mart"
569	92	towel	"tablecloth of fine diaper of damask work of 10 yards, a towel of same and 18 napkins of the same, from the Syncsomer mart"
569	93	napkin	"tablecloth of fine diaper of damask work of 10 yards, a towel of same and 18 napkins of the same, from the Syncsomer mart"
571	94	standingcup	my gilt standing cup of the Dutch making
588	95	ring	a ring of gold
591	96	ring	a ring of gold
631	97	gown	my best violet gown
633	98	goblet	3 goblets and 1 cover of silver parcel gilt weighing 52oz
668	99	bed	"all my Childbedd linen and furniture for a chamber: i.e. the best bed and bedding, the best sheets and hangings"
668	100	sheets	"all my Childbedd linen and furniture for a chamber: i.e. the best bed and bedding, the best sheets and hangings"
668	101	hangings	"all my Childbedd linen and furniture for a chamber: i.e. the best bed and bedding, the best sheets and hangings"
726	102	suit	a fine suit of damask linen
726	103	tankard	the great silver tankard
726	104	dish	the great silver dish
747	105	boots	my new boots spurs and galocies
748	106	gown	my new gown and rapier
766	107	bed	my damask bed
766	108	bed	my wrought bed
768	109	watch	gold watch that was her mother's
768	110	necklace	pearl necklace that was her mother's
768	111	jewel	a great jewel of diamond which was her mother's
768	112	watch	a gold watch that was her mother's
831	113	spoons	12 silver and gilt spoons
831	114	tankard	my large silver tankard
836	115	plate	a silver plate which I lately bought
837	116	tankard	my silver tankard
838	117	spoons	my biggest silver porringer and spoone
838	118	porringer	my biggest silver porringer and spoone
839	119	spoons	my other silver porringer and spoone
839	120	porringer	my other silver porringer and spoone
844	121	ring	a ring of 10s price
847	122	ring	a ring of 7s in value
848	123	ring	a ring of 7s in value
888	124	ring	my large diamond ring of about £20 value
888	125	ring	4 other gold rings of £5 ea
