bequest_id	bequestdescription
213	"freehold manor of Widford in Herts and diverse parcels of land in Widford, and the parish of Stanstead in Herts (which were sometimes the land of pid252) - have already been conveyed in law to sundry uses"
214	lately conveyed to pid223 and her heirs forever his interest in the Water works or New Cutt and River lately made towards the north part of the city of london
215	"test lately conveyed to pid227 and pid253 upon their marriage all lands, tenements in Widford (Herts) and City of London and in counties of Midsx and Lincs"
216	funeral is to have no pomp and is to be cheap - no more than £50
217	all debts to be paid
218	pid258 has already had everything she should have upon her marriage: can't claim anything else via the custom of the city of london; test (f.189v) doesn't want her to give any of her inheritance away
219	pid258 gets 10s
220	"all wearing apparel linen and wollen belonging to ""my bodie from the crowne of my head to the sole of my foot"" to be sold and the cash equally divided between pid260 and pid261"
221	pid262 gets a ring of gold worth 20s for a remembrance
222	£6 10s which test had lent to pid263  to be free of the provision of corn goes to pid260 and pid261
223	pid264 gest my best diamond ring
224	pid265 gets my diamond ring set with 5 diamonds
225	pid266 gets a ring of gold worth 20s with a death's head engraved and the words 'The Gift of Symond Wood'
226	pid267 gets a ring of gold with a death's head engraved and the words 'The Gift of Symond Wood'
227	pid268 gets my sealed ring of gold engraved with my arms and all my printed books
228	pid258 gets all hh stuff of all kind whatsoever and wheresoever except test's wearing apparel
229	pid268 gets my iron chest and the 500 punds weight of lead in it
230	pid270-272 get resid
231	"all lands, messuages, tenements and hereditaments in City of London bought from pid273-276, and other lands and props in Belkettle (Notts) bought from pid277 and pid278: - pid280-281 are to get £6 13s 4d ea pa from the lands in Notts; pid282 gets £10pa from same lands; pid260-261 ea get £10 pa from property in London; pid284-285 get £6 13s 4d pa from property in London; brother's children are not to have anything else other than what's bequeathed, and they can't sell annuity - if they do the gifts are void and pass to pid267; all annuities to be paid within 28 days of feast annunciation bvm and mich equally - lots of clauses of redress if not paid on time;"
232	"messuage, tenements and hereditaments in City of London goes to pid264 for life (she is to pay the relevant annuities of beqid231); after her death to go to her 1st son and his heirs forever (long list of reversion to heirs of her various putative sons in order; then default of heirs reverts to heirs of pid271 and her putative sons' heirs; then reverts to heirs of pid272 and sons' heirs as above; then to pid267 and heirs as above; then to pid260 as above; and then to test's heirs - whoever inherits is to pay the relevant annuities"
233	"messauge, tenements and hereditaments in Bulcott (Notts) goes to pid286 for life and putative heirs (as beqid232); for default goes to 271 and heirs as above; them pid272; then 260 and heirs as above; then 261 and heirs as above;"
234	"see beqid231: the annuities for pid264 and pid265, until they reach 21yrs, are to be lent to 1 of the 12 companies of London at 5% interest - the interest to go to pid270-272 equally to be paid to them at 21yrs"
235	"parson and ch/w of AH Bread St, where test's 1st wife is buried: receive £4 pa forever from several messauges and tenements called Sign of the Red Cross, Oaketree, and Black Spreadeagle; and messuages, warehouses and tenements adjoining in Watlyng St: to be paid on 29/9 or withing 28 days@@@@ the money is to be spent: 20s to parson or lecturer or any other able minister to preach sermon of thanksgiving on 5/11 for god's deliverance of this land from the ""fearfull & horible Powder plott or Papists Conspiracy"" - the sermon to begin at 8am; 6s 8d to the ringers of AH Bread St to ring on 5/11 between 5am-7am; and ringers get 6s 8d on 17/11 in memory of late Q Eliz, to ring between 5am-7am; 6s 8d to clerk or sexton for his attendance on the ringers and to scour and clean the brass branch (see above), and to clean the monument of that worthy man pid287, and to clean the monument of pid288 ""who gave a good house in Bread Street worth twenty pounds per annum at least to the said parish for ever""; 20s for candles to be burned in the brass branch and elsewhere about the church; 20s for semons and ringing on 20/7 in memeory of god's deliverance against the Spanish armada in 1588"
236	ea exec/super gets a gold ring worth 20s besides the making
237	"all writings/deeds etc to be kept  in the hall of one of the 12 companies at the discretion of execs until the inheritors of land and props reach 21yrs: to the master/wardens of whichever company 10s pa out of the rents of Red Cross, Oaketree and Black Spreadeagle in Watling St for keeping them"
238	20s in bread to poor in Honey Lane
239	6s 8d ea to prisoners in pid298-303
240	40s to pid304 for a dinner after attending dirge
241	pid305 gets lease of my house called the Fawcon in Grasystrete with all hhstuff (except as otherwise given)
242	"pid306 gets my house with all its land lying at Stroude Grene in the lordship of Hiberry in the parish of Islington; and a house with apps in the town of Mallynge; and a house with apps in St Margaret's Parish in Rochester; and 200 marks; a standing cup of gilt with cover weighing 26.5oz; my best standing bed that I lie in, with best featherbed and best covering with the tester hanged with gilt bills and the curtain, and 2 pr of my best sheets; see beqid244-245, 249"
243	lease of my house in Honey Lane in Cheapside to be sold for £11 (or as much as it may): half to go to pid307
244	"pid308 to have custody of pid306 after test's death (see beqid242) and the 200 marks/goods/lands, and is to have all profits until pid306 reaches 21yrs; if pid306 dies before 21yrs or if he dies with no heirs then the Hiberry lands go to 308; of the 200 marks, 100 marks to go to haberdashers company for a 13s 4d obit in AHHL (with payments to clergy for this) - if warden of the company won't do this then the ch/w are responsible for the obit; the other 100 marks - 50 to pid307 and 50 to acts of charity for test's soul"
245	"pid305 gets my gilt cup with cover, standing bed until pid306 is 21yrs  (see beqid242)"
246	pid305 gets another £200
247	parish ch of St Mary Ceetinge in Suffolk gets a white damask vestment embroidered with angels worth 5 marks
248	children of pid305 are to have their father's bequests when they reach 21yrs
249	"see beqid242: if 306 dies before 21yrs, the Malling and Rochester houses are to be sold and the money divided equally among pid309-311"
250	pid312 gets my pewke gown furred with satin and welted with tawny velvet
251	pid313 gets my gown furred with fox and my jacket of chamlet furred
252	pid314 gets my russet gown furred with black lamb
253	pid315 gets my frys night gown
254	pid316 gets my best doublet of russet velvet
255	pid317 gets my other chamlet jacket and my satin doublet
256	pid318 gets 20s
257	pid319 gets 6s 8d
258	pid305 gets black gown worth 6s 8d per yard
259	pid306 gets black gown worth 6s 8d per yard
260	pid320 gets a black gown worth 5s per yard
261	resid to be disposed of by execs for soul
262	"pid321 and pid322 ea receive 40s cash and a black gown worth 6s 8d per yard, and their wives ea gets a black gown of the same value"
263	pid308 gets 40s + black gown worth 6s 8d per yard
264	wants debts to be paid
265	"all goods and money top be divided into 2 parts: 1 part to pid327, the other part goes to perform will"
266	12 poor men are to receive a black gown ea to bear torches over coffin to burial
267	10s to the company of clerks attending the body to the church
268	"5s to a learned man for a sermon, and 5s more for a sermon at test's parish church the following Sunday"
269	£6 to master and livery of pid328 coming to burial after their ancient custom - for a dinner
270	"to ea poor ""household dwelling in alleys and upstayres"" in the parish of St John in Walbroke - 8d to ea ""house"""
271	"12d to every ""poor householder on the streteside of the same"" parish (i.e. St John Walbroke)"
272	"to be distributed among poor householders living within the ward of Walbrok - 8 cartloads of charcoal at execs discretion; 4 cartloads between Hallowtide and Xmas after death, 4 next year in same period: ea poor householder to get 1 sack ea"
273	£40 to poor and needy householders of the town and parish of Kidderminster (Worcs) where test was born - at discretion of 2 bailiffs of the town and super (who was also born in Kidderminster); super is bound to distribute the money accordingly and is to make an account (beqid273-275)
274	£20 to 40 poor maidens in Kidderminster towards their marriages
275	£10 to repair noisome and foul highways in Kidderminster
276	"parish ch of Kidderminster gets a gilt standing cup of 34oz with a cover, to be used at easter"
277	"£10 to poor scholars of Cambridge university, and £10 to poor scholars of Oxford university"
278	£5 to pid332
279	pid333 gets £5
280	pid334 gets part of my worst apparel and 20s
281	pid335 gets 1 of my worst gowns furred with badger
282	pid336 gets 20s
283	pid337 gets 40s
284	pid338 gets part of my worst apparel and 20s
285	pid339 gets 12s
286	pid341 gets £5 of tawny silk
287	pid340 gets my dagger trimmed with silver
288	"pid327 gets black gown, as do execs (pid346) and super (pid347-348)"
289	pid342 gets my coat gardyd with velvet and my frock gown
290	"resid to be distributed for charity esp: maintenance of fatherless childrenof the new hospital in London (pid344), the sick at pid343, and the blind, aged and diseased of pid345"
291	pid346 gets £12
292	£3 6s 8d ea to pid347 and pid348
293	wants debts paid
294	"all goods, hh, plate, clothes, jewels and debts owing to test to be valued at best value by 2 honest men to be appointed by the lord mayor and his brethren the aldermen, then to be divided equally into three according to the custom of city of london: one part goes to pid350; 2nd part to pid351 and pid352 when they reach lawful age or married (ea to be other's heir) - half of this 2nd part to be in the hands of pid353 and pid354 who are to put it to the use of the children, the other half to be in hands of pid350 for use of the children; the 3rd part is to fulfill will"
295	"£5 to pid355-358: pid355-357 gets 50s, pid358 gets 50s"
296	pid359 and pid360 ea get a black gown
297	"£4 to the poorest in Mapfield (Cheshire) where test was born, and parish of Prestburye (Cheshire)"
298	£5 to repair roads between Tottenham (midsx) and the City of London
299	10 poor scholars at pid361 and pid362 that are diligent to study god's word get 40s
300	£3 3s 4d to ea daughter of pid364 and pid365 when they reach 21yrs or married (ea to be other's heir); if both die (ie there are 2) then the money goes to test's poorest kinsfolk in Prestburye (to be distributed by mayor and brethren of Mapfield) and pid366
301	pid368 gets a black gown
302	pid369 gets 40s if she's in test's service when he dies
303	pid370 gets 40s
304	pid371 gets 40s and a black gown
305	pid372 gets 40s
306	pid373 gets £3 for a recreation
307	pid374 gets 40s
308	"pid353, pid375-377 ea get a black gown"
309	pid378 gets a black gown
310	pid379 gets 40s
311	pid380 gets 40s
312	pid381 gets black gown
313	resid: half goes to pid350; other half goes to pid351-352 when they come of age or are married
314	pid350 gets leases and terms of years of any messuage or tenement in City of London or elsewhere along with implements of hh
315	"pid350, 382, 367, 383 ea get £5 and black gown"
316	"all goods in countries of Spain, Bordeux, Roane are to be shipped to England"
317	pid386 gets £5 and a mourning gown
318	pid387 gets a mourning gown
319	"pid388 gets a mourning gown, £10, a goblet of silver all gilt without covering weighing [blank] oz and a long diaper towel (both in test's house in AHHL); a long cushion and 6 smaller cushions all wrought with cruell in needlework and which are in test's home in Stratford Bowe (Midsx)"
320	pid389 gets £5 and mourning gown
321	pid390 gets £5
322	pid391 gets £5 and mourning gown
323	pid392 gets a mourning gown
324	pid393 gets £5
325	pid395 gets £20 and my great silver salt parcel gilt
326	"pid396 gets (if she outlives her husband): 40s, a little silver goblet parcel gilt, 1 little silver salt parcel gilt with a cover, a little pot of silver parcel gilt, 6 silver spoons with knoppes at the end weighing altogether 38oz; to have them after death of husband; if she dies before her husband then to go to pid398 and 399 when they reach 21yrs (ea to be other's heir)"
327	pid398 + 399 get £3 6s 8d ea when 21yrs
328	pid400 gets £5
329	pid402 gets 40s and a mourning gown
330	pid403 gets £40
331	pid404 gets £30
332	pid405 gets £30
333	pid403-405 get equal share of all hh stuff which remains at the house in Stratford Bowe and which is not bequeathed to pid388
334	ea other servant gets 40s
335	pid406 gets 40s
336	pid407 gets 20s
337	pid408 gets 20s
338	pid409 gets 20s
339	pid410 and pid411 get 40s ea
340	pid412 gets 40s
341	pid413 gets 40s
342	pid414 gets 40s
343	pid415 gets 40s plus mourning gown
344	pid416 gets 20s plus mourning gown
345	ea tenant living at Stratford Bowe gets 10s
346	12 por women to follow test to burial ea get a gown of Kentish cloth
347	yearly for 5 years 2 cartloads of coal are to be given to the poor: 1 cartload to the poor living in AHHL and other adjacent parishes in City; the other cartload to the poor in the parish of St Leonard at Stratford Bow
348	"pid403 gets interest, lease and term of years of the house where pid417 lives in AHHL with all shops, cellars, solars and apps; if he wants to sell it, then he's to let pid417 have first choice at no discount"
349	"pid418 gets interest and lease in house, shops, sellars and solars and apps in house where test now lives in AHHL"
350	wants all debts to be paid off
351	"all goods to be divided into three equal portions: 1 to pid422; 2 to pid423 and 424 evenly when 21yrs, ea to be other's heir - if both die then pid425 is to have £40 from it when he reaches 21yrs and rest to go to pid422; 3 part is reserved for will"
352	£10 to the poor at the discretion of execs and super
353	"pid425 gets £40 when 21yrs; £20 of this to be kept by pid426 during nonage of pid425 - he is to be bound to pid422 for this, who is to get the £20 if pid426 dies before 425 reaches seniority;"
354	pid428-431 ea get £3 6s 8d when 21yrs or married
355	pid433-437 ea get £3 6s 8d when 21yrs or married
356	40s to pid439
357	pid440 is forgiven £7 that was owed to test by pid438
358	pid441 is forgiven £14 he owes test
359	pid442 is forgiven all his years from the next feast of the nativity of St J baptist; pid442 is to pay pid422 £6 13s 4d within 2yrs
360	£4 shared amongst rest of servants at the discretion of execs
361	pid443 gets 40s
362	"pid444 is forgiven 20s that she owes test, and receives another 20s"
363	pid445 gets a ring of gold worth £3 6s 8d
364	pid446 gets £3 6s 8d at her marriage
365	pid447 gets £3 6s 8d
366	pid448 is forgiven £10 that he is to pay test for the debt of pid449
367	pid422 gets resid for own use
368	pid450 gets £5
369	"wants a trental at his parish ch in Honey Lane for souls of parents, brothers, sisters and all xian souls, and for welfare of pid454 ""that brought me up in hys service full well to serve god"""
370	"£3 6s 8d in bread, cheese and ale to poor on day of burial"
371	every poor householder in own parish to get 2 quarters coal
372	£6 13s 4d in 2d gifts on day of burial: unspecified recip but presumably to poor?
373	"£6 13s 4d to be paid to poor at month's mind: 1 person to pay the money, another to identify the poor to avoid being beguiled"
374	£6 13s 4d to poor in cash at year's mind
375	"£6 13s 4d ea year for 8 yrs to the poor, who are to pray for souls of test, parents and all xian souls"
376	£3 to the parish ch of Honey Lane
377	30s to parish ch of Frodiswall where born and 20s to the parish ch of Gayton thereby; both churches also get a cope ea woirth 22s
378	"wants no dinner at funeral, and the money that would have been spent is to go to the poor"
379	pid455 gets £150 and is released the rest of his years of apprenticeship and is to be made free
380	"pid455 is to get all wares (listed at end of will - see non-will entry) viz he is to have £25/£100 if the wares arre sold at 29s or 30s/100, or everything if they are sold at 25-27s/100; to have this money for 7yrs; see beqid381"
381	pid456 is to have her part of the wares (see beqid380) as touching her third share
382	"pid455 is to have the test's children's third until they come of age or marry, and is to help them towards good husbands - esp pid457"
383	"pid455 gets: my 2 livery gowns furred with coney, my blue gown furred + puke with sarsnett, my merbull gown; 2 good featherbeds, 4 pillows, 6 pr sheetes, 2 pr of the fine sheets, my best coverlet, 2 middle sort coverlets, the cowche bed with pyllers in the little chamber beneath; my doublets, hose + jackets and shirts, 6 bows, 20 shafts"
384	"pid458 gets to chose 8 of every sort, and isn't to take all of 1 sort - poss shafts, but unstated; see beqid385"
385	pid459 gets another 8 (shafts?) after such sorts; see beqid384
386	my master - poss pid454 - gets 2 bows and all rest of shafts
387	"william - prob pid455 - gets: 6 of my best cushions, my leather chair, half a garnish of vessel, a quart pint, 2 half pint pots, my rings except my ring with lesser ruby and one with maid's head"
388	3 apprentices pid461-463 gets 40s ea; and are released from one yr of their term  - they are to serve out their terms with pid455 or lose their gifts
389	"pid460 gest £3 6s 8d, ""but kepe it from hym tyll he come to age of discrescion"""
390	"pid460-463 are ea to have bought for them a bow and 12 arrows, 'including Harry'; ""I charge you take hede humfrye of lyinge, I pray thee and praye for me [thee?] dayly for thow haste cawse"""
391	pid464 gets 6s 8d
392	pid465 gets my tawny furred gown + 6s 8d
393	20s to my maid
394	30s for a dinner for the genteners and award men
395	pid466 gets 20s
396	pid467 gets 40s
397	pid468 gets 30s
