RECORD	DAT	LRO	CTY	PLA	OSN	PAR	CAT	TYP	EAD	EAT	CMR	VAL	SUM	OSA	COV	AWC	TMD	SCL	SUR	SNM	CLS	CMD	MSS	BAF	MAT	DIM	STT	QUL	TRI	OFF	CHN	COL	RLY	RDS	TPK	ILU	SLU	RLU	QUA	SAN	UTL	MIL	CHH	PUB	PBG	SCH	PRG	RIV	CAN	LAK	HSE	FMY	WDS	PLS	COP	PKS	ARB	GRA	ORC	HPS	GNS	ORN	REC	HTS	CMN	RCK	HAC	SHD	FLD	STP	GLB	HDG	FNC	GAT	ABB	EBB	FBB	OBB	EST	ALL	NMS	NMR	FDN	FAO	FAN	CAR	BOR	NOP	SYM	COM	EXC
PRO 14539	19.05.1994	Hunts RO 1818/7	HNT	Orton Longueville	Orton Longueville		P	K	[Hunts RO enclosure catalogue suggests that 1818/7 also contains a deed of exchange of 1858 for Alwalton, but this is not borne out by the Accession-list cards.]	TL168965	158 SW		1.187	2409.03	X	Drawn on Deed of Exchange; total 1:0:30.	01.01.1858	3	[CTIC]				M	A	C	27 X 28 (map area only)	OC	G				RK				F											P									Y																								R	Y				R		Y	1		Fence lengths in links around exchanged lands.  School.	
PRO 13804	09.12.1993	GHL M.254/GEO	LON	St George Botolph Lane	St George		P	P		TQ330807	L.63.SW.3		1.266	1.26	Y		01.01.1881	0.208333333	T. Chatfield Clarke				M	X	L	56 X 88	V	OK				BRX - sidewalks pale blue, buildings outside boundary grey, church solid red, as OS 1:500; some divisions between properties are red.																																																		Y					Interlaced square corners.	1		Butchers Hall, Church Yard.  Church shown in plan, with pews; there is also an ink drawing of the church, top right.  Steps shown, both across steets and to pulpit.	
PRO 13800	09.12.1993	GHL M.347/LEO	LON	St Leonard Eastcheap	St Leonard		P	X		TQ329807	L.63.SW.3		1.401	1.40	Y	This map is not by the same hand as 13802.	01.01.1838	0.208333333	H.B. Hubbard, Chapel Place, Poultry				M	C	P	68 X 50	V	G				RPX - roads grey-brown, adjoining parishs various colours, school darker tint than roads, chapel, vestry, church yard, church ground blue; title infilled decidedly burnt sienna; vacant land grey.				B																																														Y					Y	1		Chapel, Vestry, School, Church Yard, Church Ground, Monument, `Vacant', Engine House [fire engine], house numbers.  Map shows outlines of former plots under new streets, and both former boundary and boundary settled by Mr Tite's award, with some distances in feet and inches, 22:4:1835.	
PRO 13802	09.12.1993	GHL M.347/LEO [MS 20,225]	LON	St Leonard Eastcheap	St Leonard		P	P		TQ329807	L.63.SW.3		1.401	1.40	Y	Not by the same hand as 13800, though may well be parent survey.	01.01.1829	0.291666667	I.B. Shepherd, 25 Tokenhouse Yard, Bank				M	X	P	63 X 57	V	G				BRX - church yard and church ground blue, adjoining parishes various colours.																																															L			Y				Double circle round title and names of rector and churchwardens.	Y	1		Church Yard, Church Ground, house numbers, Engine House, steps.	
PRO 13880	17.12.1993	GHL La. Pr. (Parish Maps) 347/LEO [MS 20,227]	LON	St Leonard Eastcheap	St Leonard		P	P		TQ329807	L.63.SW.4		1.401	1.40	Y		01.01.1886	0.208333333	Stock Page & Stock, 9 Denman St, London Bridge, S.E.				M	X	P	56 X 66 (reduced for framing by 2 or 3 cm each way at least).	V	G+				BX - walls round railway vents carmine; buildings outside parish grey; title and adjoining (abbreviated) parish names infilled grey; railway named in uncased grey.	YNS											PN																																						Y						1		Site of Weigh House Chapel, Church Yard, Vacant Ground, Open Areas (above railway), Chambers, Buildings, flight of steps; dots may be lampposts.  Churchwardens named.  House numbers.	
PRO 13803	09.12.1993	GHL MAPS 382/MAR.	LON	St Margaret Pattens	St Margaret Pattens		P	P		TQ331808	L.63.SW.1-4		1.591	1.59	Y	Damaged and repaired, and the subtlty of the colours has suffered.	xxxx	0.208333333	R. Tress	CF			M	X	P	74 X 53	V	G				BRX - warehouses, shops, dwellings, open yards distinctively coloured, apparently in blues and greys; garden also coloured, apparently grey.												T			R				Y										A																B		GR			Y					Y	1		Legend explains colours and signs, including parish property and Situation of Boundary Mark (looks like watermill symbol).  Church does not seem to be mapped as a building, but there is a pen and wash drawing, bottom left.  Warehouses, Counting Houses, Stable, Engine House [fire engine], entrance with warehouses over, house numbers, School.  Rector and churchwardens named below title.	
PRO 13805	09.12.1993	GHL M.411/MIC	LON	St Michael le Querne	St Michael le Querne		P	P		TQ321812	L.62.SE.2		1.63	1.63	Y	GHL has two copies of the map; the one described here is the less (or not) cropped of the two.  The map includes a potted history of the parish, and is said to be made pursuant to an order of the vestry, 12:12:1852.	01.01.1853	0.241666667	Messrs Richard Tress & Chambers, Archts				L	X	P	102 X 69	X	G+				BP - both buildings and tinting of views are a greeny-sand colour.																																																		Y					Y	1		House numbers.  Adjoining parish church partly shown in plan.  General Post Office.  Lithographed by King, 63 Queen St, Cheapside.  Rector and churchwardens named.  The map is decorated with three views with hand-coloured tinted ground: the church in 1585; a `pannier' with figure of a nude boy, marking highest point in the City; and `Birds eye view of the parish.  Taken from the Upper Gallery of St Pauls Cathedral.'  The last is a knock-out, though there are no figures or traffic.  `Surveyed and delineated A.D. 1853'.	
PRO 13827	10.12.1993	GHL M.391/MAR	LON	St Mary Bothaw	St Mary Bothaw		P	P		TQ326809	L.63.SW.3		1.874	1.87	Y	Surveyed by SUR.  Has been varnished.	01.01.1854	0.208333333	Richd Tress & Chambers, Cannon St West				M	X		85 X 62 (but cropped, possibly losing 5 cm left to right).	V	G				BRPX - coloured drawings, property divisions deep carmine, sidewalks not coloured, land outside parish grey, churchyard green, `covered yards, sheds &c' light blue.																			Y																															Y					Looping corners (mostly cropped).	1	Church, figures, dray:  on picture bottom left; cab, italianate buildings, figures, dog:  bottom right.	House numbers.  There is a picture of the church, bottom left, with left side now cropped, and `Elevation of south side of Cannon St & Turnwheel Lane', bottom right.  Churchyard but no church on map.	
PRO 14849	16.06.1994	Bucks RO PR 203/25/2	BUC	Taplow	Taplow		P	K		SU908821	255 SW		2	1761.56	X	Exchange involving some almshouses, duly shown in plan, unfortunately without descriptions of rooms.  Scale was recorded as 1:192 (= .2424 chains).UM is arbitary estimate.	02.02.1855	0.25	CTIC				M	A	C	75 X 63	OC	G				RK																																															L									2		Well.  Ground floor layouts shown.	
PRO 16085	22.12.1994	Wilts RO 11/128	WLT	Brinkworth	Brinkworth		P	K		SU013845	252 SW		2	6058.80	X	Glebe exchange, under CTIC auspices.  Drawn directly onto award.  All of 2 acres.	02.02.1871	10					M	C	C	34 x 23 (map area only).	OC	G				RWK																																																							Y	1			
PRO 13821	10.12.1993	GHL La. Pr. Parish Maps 23/AND (1)	LON	St Andrew Hubbard	St Andrew Hubbard		P	B		TQ330808	L.63.SW.3		2.029	2.02	Y	`Survey'd by Order of the Vestry in April 1806...'	01.04.1806	0.241666667	Jas Medland, Newington, Surrey				M	X	P	70 X 55	V					RX - everything except roads within parish infilled grey.																																															L			Y					Y - has rounded corners with inward pointing spikes.	1	Church, vestry: illustrated.	Meeting House, Vestry, boundary abbreviations (not detailed mereings).  Block plan, with no details of buildings.  Names churchwardens.  On left is a wash drawing of the church in 1660, bottom is `The Vestry erected in 1796.'	
PRO 17764	11.10.1995	LAO Leverton Par. 17	LIN	Leverton	Leverton		T and P	K		TF399478	128 NE		2.062	2972.17	X	Usual glebe exchange via CTIC: 1:0:17+0:3:33.   [Badly damaged and really NFP: in with the enclosure award.]	02.02.1868	8	CTIC				M	C	C	25 X 30 (map area only).	OC	G				RK																																																		Y					Y	1			
PRO 13808	09.12.1993	GHL M.324.JOH	LON	St John Zachary	St John Zachary		P	P		TQ322814	L.62.NE.4, SE.2		2.2	2.20	Y	6 X 4" photo, ? late 19th or early 20th century.	01.01.1870	-	John Blyth, Architect & Surveyor, 1 Noble St, City.				M	X		-	L	G+				BR - could be others.																																																							Apparently decorative corners.	1		Church Yard, Goldsmiths Hall, General Post Office, Wax Chandlers Hall, house numbers.  Surveyed by order of the vestry 22:4:70.	
PRO 13819	10.12.1993	GHL M.400/MAR	LON	St Mary Woolchurch Haw	St Mary Woolchurch		P	P		TQ328811	L.63.SW.1		2.302	2.30	Y	`Surveyed by Order of the Vestry'.  Very similar to 13817.	01.01.1900	0.208333333	Messrs Green & Son, 28 & 29 St Swithin's Lane, London				M	X	P	82 X 86	V	G				BPU - walls darker carmine (mansion house is black); north pointer and title infilled grey.	YNS																																																	Y					Interlaced corners.	1		Sidewalks, steps, Booking Hall, Mansion House (with rooms named).  All building exterior walls shown.  House numbers.  Banks named.  North pointer similar to 13817, but coloured.	
PRO 13820	10.12.1993	GHL M.215/EDM [ms 20,222]	LON	St Edmund the King and Martyr	St Edmund the King and Martyr		P	R		TQ329810	L.63.SW.1		2.359	2.35	Y	`Valued by Philip Hardwick'.	01.01.1838	0.208333333	Philip Hardwick				M	X	P	97 X 65	V	G				RDX - church hatched grey; parish property edged green, as explained in note.				X - all property division lengths.																																							X - parish property.							Y					Y	1		House numbers, Vestry Room, Church Yard, Watch House.  North pointer has plumes.  All property division lengths given, in feet and inches.	
PRO 13879	17.12.1993	GHL La. Par. (Parish Maps) 215/EDM (MS 20,221)	LON	St Edmund the King in Lombard St	St Edmund the King and Martyr		P	P		TQ329810	L.63.SW.1		2.359	2.35	Y		01.01.1788	0.241666667	Willm Jupp & Jno. Dugleby Senr				M	X	C	54 X 64	V	G				PUX - multi-colour tinting of cartouches; parish property red; edges of streets carmine.																																																						XRQX - Roccoco surround to title, tinted, and a more elaborate one to the `Reference', q.v. SYM.	Includes dicing, as though latitude and longitude were to be added.	1	Upper cartouche surmounted by vase, scythe, crown and (?) sun, with ? sword, mace and books (all faded) below; lower (with refrerence) has female figures with purple loincloths, vase and leaf-chains on top, and ? mace and intertwined snakes below.	`Tomkins Script.'; surveyed by SUR.  Only parish boundary, frontages and parish property with its divisions are mapped; a boundary rather than a rating map.  Churchwarden named.	
PRO 13882	17.12.1993	GHL MS 20,223 [Map Case]	LON	St Edmund the King and Martyr	St Edmund the King and Martyr		P	P		TQ329810	L.63.SW.1		2.359	2.35	Y		01.01.1901	0.208333333	Messrs Green & Son				M	X	P	74 X 93	V	G				BPU - walls deep carmine, otherwise light carmine; parish boundary deep carmine; grey in title and infilling compass boss.												N		C																																				Y					Interlaced corners.	1		Vestry, Church Yard, steps, staircases, house numbers; numerous banks etc named, with Telegrams and Waiting Room in Hong Kong & Shanghai; pews and organ shown in church, which is named in gothic.  Black lines in banks &c unclear; are they partitions? A few are outside.	
PRO 13881	17.12.1993	GHL MS 22,302	LON	St Mary Aldermary	St Mary Aldermary		P	P		TQ324810	L.63.SE.2		2.37	2.37	Y		01.07.1859	0.291666667	Messrs Tress and Chambers	C			M	X	P	72 X 66	V	G				RPUX - blocks outside the parish grey, church carmine, covered yards blue, open yards green, title infilled grey, adjoining parishes deep crimson												N																																						Y					Fancy corners.	1		Fire Engine House, Stables, Church Yard, Vestry, Tower (of church), house numbers.  Legend explains colours.  Surveyed by SUR, 7:59.  Rector, Churchwardens, Overseers and Vestry Clerk named.	
PRO 13422	01.11.1993	PRO MAF 30/27	CMB	Cummersdale	Cummersdale		P	C		NY387533	17 SE		2.437	2014.50	E	Regulation of common under 1899 Commons Act; covers 2.437 acres; order is MAF 30/27, but it doubles as MAF 1/1133.  CAT=T on OS 6-inch 1st edition.	02.02.1931	3.16					M	A		30 X 33	PE					N																																																								1		Part of Cumberland 23.11, [1920s revision].   Award is printed.	
PRO 13812	09.12.1993	GHL M.414/MIL	LON	St Mildred Poultry	St Mildred		P	P		TQ326811	L.63.SW.1		2.451	2.45	Y		09.07.1771	0.291666667	Rd Sharpe				M	X	C	41 X 53	V	G-				X - unclear why two areas are green.																																																		Y				XRQX - Roccoco surround to title.	Y	1		Interior layour of church, with pews.  Parchment apparently polished to take the lines.  Not a very informative map.	
PRO 13798	09.12.1993	GHL MS 8940 [in MS dept]	LON	St Peter Paul's Wharf	St Peter		P	R		TQ321809	L.62.SE.2,4		2.483	2.48	Y	`Map being bound up a Book. - As agreed with the Board of Guardians œ35.0s.0d.'	02.02.1838	0.458333333					M	X	P	24 X 38	V	G				SPX - shaded grey north pointer, burial ground green, vacant ground grey.																																																		Y						1		Burial Ground, Alms House, Heralds College.  Small unexplained circles; could be supports for open-sided roofed areas.	
PRO 13810	09.12.1993	GHL M.338/MAR(1)	LON	St Mary Abchurch	St Mary		P	P		TQ327809	L.63.SW.1,3		2.565	2.56	Y	Photocopy, with some loss towards the edges.	01.01.1836	1:360*					M	X	-	? 65 X 50	L	G-				BX - evidently buildings, possibly dividing walls.																																																		Y						1		Surveyed 1816, corrected 1836 respecting alterations consequent on rebuilding London Bridge.  Building interiors shown, including pews in church and stair cases; a very poor copy of an apparently very interesting map.  House numbers.  Rector and churchwardens named on map.	
PRO 13801	09.12.1993	GHL M.401/MAR	LON	St Mary Woolnoth	St Mary Woolnoth		P	P		TQ327810	L.63.SW.1		2.573	2.57	Y		01.01.1831	0.291666667	James Coe, Finsbury Chambers, Circus				M	X	P	82 X 56	V	VG				PAX - churchyard (faded green); tinting of drawing of church.				BX - comprehensive tenement and parish boundary lengths.											R																																			Y						1		Church Yard, named Banks, Garraway's Coffee House, named Insurance Offices, house numbers.  Lengths of boundaries given for all premises and for parish boundary, in feet and inches.  Surveyed MDCCCXXXI.  Interior layout of church shown (apparently box pews), and there is a fine drawing of the church, discreetly tinted.  Churchwardens, overseers and rector listed on map.	
PRO 13817	10.12.1993	GHL M.401/MAR	LON	St Mary Woolnoth	St Mary Woolnoth		P	P		TQ327810	L.63.SW.1		2.573	2.57	Y	`Surveyed by Order of the Vestry'; map has been cropped back slightly, as evidenced by the decoarative corners.	01.01.1900	0.208333333	Green & Son, 28 & 29 St Swithin's Lane E.C.				M	X	P	84 X 89	V	G+				BPUX - walls darker carmine than infill; church black; grey infill in title.	YNS											PN		C																																				Y					Interlaced corners.	3		All building exterior walls shown, and most (banks, etc) named.  House numbers.  Bank Station under St Mary Woolnoth mapped, at Booking Hall and Lower [platform] level.  Post Office.  Pews in church shown, also Vestry, Office. Sidewalks indicated, also subway between CLR Bank and CSLR King Wm St stations.  Post Office.  Steps indicated.  Church named in gothic.  North pointer has nastily decorative boss, not tinted; map is otherwise very similar to 13819.	
PRO 13797	09.12.1993	GHL MS 943/3 [in MS dept]	LON	St Botolph	St Botolph		P	P		TQ330806	L.63.SW.3		2.631	2.63	Y	Bound into parish Vestry Book (at front; other plans of parish property at back).  [OSA is for St Botolph, Billingsgate.] Map is diagrammatic: scale is about 1 inch to 40 feet.	01.01.1778	1:480*	J. Baron				M	X	P	38 X 24, but cropped.	V	OK				BWPUX - burial ground; lilac surround to title.				B																																														Y				Skinny sub-rococco surround to title.		1		Some features indicated by letters and key, inclusing `Parish Lamp', which looks like a bag on a pole.  Two boundary lengths, in feet and inches.  `Keys' (quays), named.	
PRO 17233	10.08.1995	Notts AO SC2L	NTT	South Collingham	Collingham		P	K		SK826606	113 SE		2.669	3028.24	X	Glebe exchange under CTIC auspices: 1:1:35 + 1:0:32.  `Skeleton map' at 6 chains plus 3 detail at 1.5 chains.	02.02.1857	1.5	CTIC				M	A	P	67 X 67	OC	G				RK	YN	Y									PT - large one.				R						Y																								T					P					Y	3		Sewer Drain.	
PRO 13826	10.12.1993	GHL M.248/GAB	LON	St Gabriel, Fenchurch St	St Gabriel		P	B		TQ332809	L.63.SW.1-4		2.808	2.80	Y		01.01.1001	1:600*					M	X	P	42 X 34	X	G+				BU - red boundary, grey buildings.												IN																																						Y					Y	1		Undated: looks first half of C19. Burial Ground, House Numbers, incomplete boundary with abbreviations.  Seems to be for boundary; frontages only.  [Shows the church, in the middle of Fenchurch St; 1:600 may be correct.]  Scale measured as about 1 inch to 52 ft.	
PRO 13815	10.12.1993	GHL Map Case 14A [MS 4104/1]	LON	St Benet Fink	St Benet Fink		P	P		TQ329812	L.63.SW.1		2.864	2.86	Y		01.01.1882	0.208333333	Joseph Hewitt, Architect and Surveyor, 5 & 6 Buckersbury, E.C.				M	X	P	99 X 76	X	G				BRPX - sidewalks darker siennan tha roads, public buildings darker carmine, grey infill in title and street and building names, buildings outside parish in grey.																																																		Y						1		Merchant Taylors Hall and Stock Exchange shown in plan, cf 13813.  Numerous Banks named, also Telegraph Companies, Anglo American Telegraph Co.  Numerous `B.P.', some steps,  (and staircases in the buildings with interiors), house numbers.   Some buildings in Old Broad Street not coloured in; being demolished?  Peabody's Statue (also not filled in).	
PRO 13823	10.12.1993	GHL Map Case 50	LON	Allhallows Lombard St	Allhallows		P	P		TQ330810	L.63.SW.1		2.871	2.87	Y	`Drawn & planned from the original in the vestry with all the latest improvements'; `This plan was copied from the original April 1864'.	01.04.1864	0.241666667	W.H. Elkins, 41 Lombard St				M	X	P	67 X 98	V	G+				BRX - area gratings brown, parish church pews yellow (as roads), poultry market stalls grey, churchyard green, outlines of buildings outside the parish grey.												N																																						Y				Shallow-gable `tombstones' round list of parish property and map date with churchwardens' names below.		1		Engine House, Coffee house, bank (named), Offices, boundary marks, Friends Meeting House, steps.  Both Friends Meeting House and church interiors shown; only church has pews, so did Friends Meeting House have chairs?  Poultry Market [Leadenhall], with Stalls.  See also COL and CAR.	
PRO 13883	17.12.1993	GHL OS (Parish Maps) 16/ALL [MS 20,214]	LON	Allhallows in Lombard St	Allhallows		P	P		TQ330810	L.63.SW.1,4		2.871	2.87	Y		01.01.1883	0.241666667	Henry Stock, 6 Duke St, London Bridge				M	X	P	68 X 101	V	G				BPX - title and extra-parish buildings infilled grey; parish church is deeper, pub and shop lighter carmine than `ordinary' buildings; ward names uncased grey.												PN																																						Y						1		Shop, Lombard Restaurant [site of Quaker Meeting House], house numbers, Buildings, Game and Poultry Market, Offices, Post Office; banks named; Churchyard, steps to church.  `Surveyed and drawn Easter 1883'.  At top of map is `Memorandum of the property of the parish'.  Churchwardens and vestry clerk named.	
PRO 13884	17.12.1993	GHL La. Pr. (Parish Maps) M.16/ALL (1)	LON	Allhallows Lombard St	Allhallows		P	B		TQ330810	L.63.SW.1,4		2.871	2.87	Y		01.06.1914	0.225	Heaton Coupe, 28 Austin Friars, London, E.C.				M	X	P	69 X 103	V	G				X - roads, buildings in parish and church in various shades of grey.																																																		Y				Rectangular surround to title		1		`Plan showing boundary plates'; these are duly shown in detail, but no interior information on blocks of buildings is shown, though the interior structure of the church is mapped, including windows.  Much of the lettering is in an up-to-date `artistic' Roman style.  A few house numbers are given; banks named.  Church yard, apparently with tree, and steps to church. Lombard Restaurant, Chambers, Area.	
PRO 16780	07.06.1995	Leeds RO Bardsey parish 28	YOW	Bardsey	Bardsey		P	K		SE366432	70 NW		3.375	2748.23	X	Glebe exchange under CTIC auspices: 3:1:20.  Signed Blamire and Darby.  [OSA is for Bardsey and Rigton township.]	02.02.1849	1	? CTIC				M	A	C	64 X 48	O	G				RK															V																																L								Y	2		School.	
PRO 13795	09.12.1993	GHL MS 4090 [in MS dept]	LON	St Michael Cornhill	St Michael		P	P		TQ328811	L.63.SW.3		3.607	3.60	Y	Bound into a volume with a contemporary Schedule of boundary marks, and also an earlier ditto of 1859.	01.05.1869	0.541666667	Herbert Williams.				M	X	P	39 X 33	V					BX - boundary marks by blue-infilled circles; churchyard green.														C	R																																			Y						1		Churchyard, Royal Exchange, house numbers.  `Block Outline Plan' to show numbers.  Church with dedication in gothic.  Tenement divisions carefully mapped.  Dated 5:69.  Scale measured as 13 inches to 800 ft, probably 1:720, 1 inch to 60 ft.	
PRO 13822	10.12.1993	GHL M. 445/OLA	LON	St Olaves Old Jewry and St Martins Pomroy	St Olave and St Martin Pomery		UP	P		TQ800812	L.62.SE.2, L.63.SW.1		3.609	3.60	Y	[OSA: St Olaves, Old Jewry, 2.468; St Michael, Pomroy, 1.141.]	01.01.1775	1:264*	Wm Lewin				M	X	C	88 X 78	V	G				PX - parishes coloured, north pointer and cartouche muli-coloured, all very faded.																																																		Y				Flowery, with vase on top, round title, a bit old-fashioned looking.		1		Church Yard.  Interior of church shown, with pews.  There are, top left and right, neat ink elevations of the church (east and west ends).  `A' denotes glebe.  Scale is about 32 inches to 700 feet; 1:264 may be intended.	
PRO 13012	03.09.1993	PRO MAF 1/1035	WAR	Stivichall Common	Stivichall	St Michael Coventry	-	C	The county enrolled copy is in Warwickshire RO, and is described at 15964.	SP329778	169 SW	Herbert William Chattaway, Coventry, Warwickshire, Surveyor	4	3067.62	X	[OSA is for St Michael, Coventry.]	01.12.1882	1.8	Herbert W. Chattaway, Coventry		1	05.07.1883	M	A	P	68 X 54	PE	G				RBAX - sale lot, banded red; red lot numbers.																		Y															N												T		L			P					Y	1		Scale is about 8.45 inches to 1000 feet, or about 1:1420.	
PRO 15964	02.12.1994	Warwick RO QS 75/39	WAR	St Michael Coventry	Stivichall		P	C	PRO version is described at 13012.	SP329778	169 SW	Herbert William Chattaway, Coventry, Warwickshire, Surveyor	4	3067.62	X	Stivichall Common.  Scale is in yards, and works out at 1 inch to 135 yards, which is close to 132 yards, or 2 chains.  [OSA is for St Michael.]	02.02.1883	2	CTIC		1	05.07.1883	M	A	C	57 X 48	CC	G				RAX - road cutting common only is coloured; sale lot red, common banded green, as usual.																		Y																											T		L			F					Y	1			X
PRO 13816	10.12.1993	GHL M.387/MAR	LON	St Martin Vintry	St Martin Vintry		P	P		TQ329807	L.62.SE.4		4.385	4.38	E		01.01.1818	0.180555556					M	X	P	57 X 85	X	G+				SX - buildings demolished for southwark bridge have grey-infilled walls.																																																		Y				Square surround to title.	Y	1		Wharfs (named), Chapel, Vintners Hall (with Yard and Garden), Stables, Warehouses, Counting House.  All building interiors shown, with steps and stairs.  Varnished and discoloured.	
PRO 13807	09.12.1993	GHL M.197/DIO	LON	St Dionis Backchurch	St Dionis Backchurch		P	P		TQ331810	L.63.SW.1-4		4.705	4.70	Y		01.01.1847	0.291666667	Richard Suter, 28 Fenchurch St				M	X	-	63 X 58	V	OK				BX - churchyard green, other areas outside parish grey; buildings deep and pale carmine.												N							Y																															Y				Concave-corner rectangular surround to title.		1		Church Yards, yards (numerous), Leadenhall Market, Pewterers Hall.  Surveyed 1847; SUR signs, bottom right.	
PRO 15190	27.07.1994	Hereford RO M5B/149/27	HRE	Eau Withington	Eau Withington		-	K		SO544428	198 SE		4.844	2201.03	X	Exchange; not under CTIC auspices, apparently no accompanying deed.  Total area 4:3:15.  [OSA is for Withington.]	29.11.1878	2					M	X	P	40 x 32	X	G	Y			C - in blue.				F																																									T											1		Some fence lengths: unit uncertain, but don't seem to be links.	
