Table Name	SC	Number of Records	Description	Content	Year Span	Location	Class	Comment
Probate	PECi	312.00	Probate Documents	This table contains the personal details and valuations from the inventories proven in the Peculiar Court.	17C	Oxfordshire Archives	Thame PEC	The probate of most wills was proved in the local Peculiar Court in Thame and the documents are contained in the Thame Parish records held in the Oxfordshire Record Office.
Property_Leases/Deeds	PLD	370.00	Property Leases and Deeds	This table contains the details of the land or property covered by a particular document.	17C	Oxfordshire Archives	Various	Property Leases and Deeds are among the many documents deposited in the private records of Oxfordshire Archives.
PLDSup	PLDSup	217.00	Property Leases and Deeds Records - Supplemental	This table contains the names of the people who are mentioned in the various Property Deeds and their role in the document.	17C	Oxfordshire Archives	Various	Property Leases and Deeds are among the many documents deposited in the private records of Oxfordshire Archives. The details of the properties are contained in the Property_Leases/Deeds Table.
PoorRate	POOR	429.00	Thame Parish Poor Rate Book	This table contains a list of the names extracted from the manuscript sheets with details of the amount paid or due.	1604 & 1609	Bodleian Library	MS Top Oxon c.5	The Parish Poor Rate book for Thame has survived only sparsely and is limited to two sheets for 1604 and 1607.
ProbateSup	PROSup	5545.00	Probate Records - Supplemental	This table contains the details of all persons, who are mentioned in the probate documents together with the role that they perform in the document, their relationship to the subject and details any legacy due or debt owed.	17C	as per the probate document		The probate documents hold information on many persons other than the subject, each individual occurrence of a name from the documents is listed, even though it may be suspected that two or more occurrences are one and the same person.
QuarterSessions	QUA	97.00	Quarter Sessions Records	This table details the names of the officers of the court and the names of the people of Thame who appeared before the court, together with the charge that was levelled against them.	1687-1689	Oxfordshire Archives	Oxon Record Society Transcript	Extracts from the Quarter Sessions Records for Oxfordshire.
Rentals	REN	64.00	Bertie Manuscripts Property Rentals	This table contains the names of all the persons from the rental together with the amount of rent that they paid and the location of the land..	Before 1607	Bodleian Library	MS Top Oxon b262	The Bertie Manuscripts contain a rental of land in Thame prepared in the very early years of the 17C - (certainly before 1607, when two of the tennants died).  Thame is divided into three parts;  Priestend yielding  £24 13s 2d from 22 holdings;   New Thame yielding £51 8s 10d from 52 holdings and Old Thame yielding £107 10s 10d from 94 holdings (these include 4 in Moreton  & 1 in Weston).   The total value was £183 12s 10d per annum.
SchoolAcc	SCH	207.00	Thame Grammar School Accounts	This table contains the names of people who are mentioned in the accounts with a note of the span of years in which the name occurs.	1602-1694	New College Archives	3253	 The accounts of Thame Grammar School for the 17C as transcribed by Mr L Grof.
Misc	TOK	18.00	Trade Tokens	This table contains the names of the people of Thame who are known to have issued their own tokens with brief details of the token.	17C	Oxfordshire Studies	Catalogue of Oxfordshire Tokens by  J G Milne	In the mid 17C the government only issued high value coinage, relying on local tradesmen to issue their own low value Trade Tokens.
Wardens	WAR	366.00	Church Wardens	This table contains the names of the Church Wardens of Thame.	1549-1700	Oxfordshire Archives	History of St Mary's Church  Rev F G Lee	A complete list of the Church Wardens of Thame was complied by the Rev F G Lee in his book the History of St Mary's Church.
