trw_id	struct_idx	sub_idx	county	phillimore	ten_in_chief	lord_86	demesne_86	holding	units	value_86	v_86_code	waste_86
2340	77	1	KEN	P17	Canons of Dover	Canons of Dover	Y	0.83	adjusted		-	N
2370	78	1	KEN	P18	Canons of Dover	Canons of Dover	Y	1.25	adjusted	47.31	-	N
2400	79	3	KEN	P19	Canons of Dover	Ranulf of Colombières	N		-		-	N
2405	79	2	KEN	P19	Canons of Dover	Robert of Romney	N		-		-	N
2410	79	6	KEN	P19	Canons of Dover	Herbert son of Ivo	N		-		-	N
2415	79	5	KEN	P19	Canons of Dover	Lambert	N		-		-	N
2420	79	1	KEN	P19	Canons of Dover	Wadard <of Cogges>	N		-		-	N
2425	79	4	KEN	P19	Canons of Dover	Ralph of Courbépine	N		-		-	N
2430	80	1	KEN	P20	Canons of Dover	Robert of Romney	N		-		-	N
2550	84	4	KEN	"1,1"	King William	Bishop of Rochester	N		-	3	-	N
2610	84	3	KEN	"1,1"	King William	Helto the steward	N	0.1	equal		not separately valued	N
2640	84	1	KEN	"1,1"	King William	King William	Y	1.28	geld	60	20d to the ora;at face value;weighed	N
2670	84	2	KEN	"1,1"	King William	Helto the steward's nephew	N	0.1	equal		not separately valued	N
2700	85	3	KEN	"1,2"	King William	Bishop of Rochester	N		-	0.86	-	N
2730	85	1	KEN	"1,2"	King William	King William	Y	1	geld	20	-	N
2760	85	4	KEN	"1,2"	King William	Ansgot (of Rochester)	N		-	7	-	N
2765	85	2	KEN	"1,2"	King William	Haimo the sheriff	N		-	3	-	N
2790	86	2	KEN	"1,3"	King William	Hugh of Port	N	8.25	geld	20	at face value	N
2820	86	5	KEN	"1,3"	King William	Abbey of Canterbury	N		-	2	at face value	N
2850	86	1	KEN	"1,3"	King William	King William	Y	71.75	geld	178	at face value	N
2855	86	4	KEN	"1,3"	King William	Haimo the sheriff	N		-	12	at face value	N
2860	86	3	KEN	"1,3"	King William	Wadard <of Cogges>	N		-	0.06	-	N
2880	87	1	KEN	"1,4"	King William	King William	Y	7	geld	80	-	N
2940	89	1	KEN	"2,1"	Archbishop of Canterbury	Archbishop of Canterbury	Y		-		-	N
2970	90	1	KEN	"2,2"	Archbishop of Canterbury	Archbishop of Canterbury	Y		-	50	-	N
3000	91	2	KEN	"2,3"	Archbishop of Canterbury	Richard of Tonbridge	N		-	0.5	-	N
3030	91	1	KEN	"2,3"	Archbishop of Canterbury	Archbishop of Canterbury	Y	2	geld	15.5	-	N
3060	92	5	KEN	"2,4"	Archbishop of Canterbury	Richard of Tonbridge	N		-	10	-	N
3090	92	1	KEN	"2,4"	Archbishop of Canterbury	Archbishop of Canterbury	Y	6.5	geld	60	-	N
3120	92	4	KEN	"2,4"	Archbishop of Canterbury	Geoffrey of Rots	N	0.5	equal	4.25	equal	N
3150	92	2	KEN	"2,4"	Archbishop of Canterbury	Robert the interpreter	N	0.5	equal	4.25	equal	N
3180	92	3	KEN	"2,4"	Archbishop of Canterbury	Haimo	N	0.5	equal	3.5	-	N
3210	93	1	KEN	"2,5"	Archbishop of Canterbury	Archbishop of Canterbury	Y	1.5	geld	18	-	N
3240	94	1	KEN	"2,6"	Archbishop of Canterbury	Archbishop of Canterbury	Y	3	geld	20	-	N
3270	95	1	KEN	"2,7"	Archbishop of Canterbury	Archbishop of Canterbury	Y	4	geld	16	-	N
3300	96	1	KEN	"2,8"	Archbishop of Canterbury	Archbishop of Canterbury	Y	2	geld	9	-	N
3330	97	1	KEN	"2,9"	Archbishop of Canterbury	Archbishop of Canterbury	Y	6	geld	27	-	N
3360	97	2	KEN	"2,9"	Archbishop of Canterbury	Richard of Tonbridge	N		-	1.5	-	N
3390	98	4	KEN	"2,10"	Archbishop of Canterbury	"Farman, {a man-at-arms}"	N	0.37	geld	5	-	N
3420	98	2	KEN	"2,10"	Archbishop of Canterbury	"William the bursar, a man-at-arms"	N	1	geld	3	-	N
3450	98	1	KEN	"2,10"	Archbishop of Canterbury	Archbishop of Canterbury	Y	5.62	geld	24	-	N
3480	98	3	KEN	"2,10"	Archbishop of Canterbury	Geoffrey of Rots	N	1	geld	3	-	N
3510	98	5	KEN	"2,10"	Archbishop of Canterbury	Richard of Tonbridge	N		-	15	-	N
3540	99	1	KEN	"2,11"	Archbishop of Canterbury	Archbishop of Canterbury	Y	5.5	geld	20	-	N
3570	99	5	KEN	"2,11"	Archbishop of Canterbury	Wulfric	N	0.25	geld		-	N
3600	99	6	KEN	"2,11"	Archbishop of Canterbury	Cola	N	0.25	geld		-	N
3630	99	3	KEN	"2,11"	Archbishop of Canterbury	Ralph	N	1	geld	2.5	-	N
3660	99	2	KEN	"2,11"	Archbishop of Canterbury	William brother of Bishop Gundulf	N	2	geld	10	-	N
3690	99	4	KEN	"2,11"	Archbishop of Canterbury	Ansketil of Rots	N	1	geld	3	-	N
3700	99	7	KEN	"2,11"	Archbishop of Canterbury	Abbey of Canterbury	N		-	1	-	N
3720	100	2	KEN	"2,12"	Archbishop of Canterbury	Robert Brutin	N		-	1	equal	N
3750	100	3	KEN	"2,12"	Archbishop of Canterbury	Ansketil of Rots	N		-	1	equal	N
3780	100	1	KEN	"2,12"	Archbishop of Canterbury	Archbishop of Canterbury	Y	6	geld	23	-	N
3810	101	1	KEN	"2,13"	Archbishop of Canterbury	Archbishop of Canterbury	Y	8	geld	35	-	N
3840	102	1	KEN	"2,14"	Archbishop of Canterbury	Archbishop of Canterbury	Y	9.65	geld	51.7	-	N
3870	102	2	KEN	"2,14"	Archbishop of Canterbury	Vitalis {of Canterbury}	N	3.35	geld	14.32	-	N
3900	103	2	KEN	"2,15"	Archbishop of Canterbury	Nigel	N	1.25	geld	2	-	N
3930	103	1	KEN	"2,15"	Archbishop of Canterbury	Archbishop of Canterbury	Y	5.25	geld	20	-	N
3960	103	3	KEN	"2,15"	Archbishop of Canterbury	Godfrey {the steward}	N	0.5	geld	6.55	-	N
3970	103	4	KEN	"2,15"	Archbishop of Canterbury	Abbey of Canterbury	N		-	0.45	-	N
3990	104	5	KEN	"2,16"	Archbishop of Canterbury	Vitalis	N	0.25	geld	1	-	N
4020	104	4	KEN	"2,16"	Archbishop of Canterbury	Haimo the sheriff	N	0.5	geld	5	-	N
4050	104	2	KEN	"2,16"	Archbishop of Canterbury	Godfrey {the steward}	N	1	geld	5	-	N
4080	104	1	KEN	"2,16"	Archbishop of Canterbury	Archbishop of Canterbury	Y	4	geld	40	-	N
4110	104	7	KEN	"2,16"	Archbishop of Canterbury	Aethelwold (the chamberlain)	N	0.25	geld	1.5	-	N
4140	104	3	KEN	"2,16"	Archbishop of Canterbury	Alward	N	0.75	geld	2	-	N
4170	104	6	KEN	"2,16"	Archbishop of Canterbury	Robert of Hardres	N	0.25	geld	1.5	-	N
4200	105	1	KEN	"2,17"	Archbishop of Canterbury	Archbishop of Canterbury	Y	6	geld	30	-	N
4230	106	1	KEN	"2,18"	Archbishop of Canterbury	Archbishop of Canterbury	Y	5	geld	30.81	-	N
4260	107	1	KEN	"2,19"	Archbishop of Canterbury	Archbishop of Canterbury	Y	8	geld	34	-	N
4290	108	1	KEN	"2,20"	Archbishop of Canterbury	Archbishop of Canterbury	Y	1	geld	15	-	N
4320	109	2	KEN	"2,21"	Archbishop of Canterbury	Wibert	N	1.5	geld	6	-	N
4350	109	4	KEN	"2,21"	Archbishop of Canterbury	Arnold	N	1.5	geld	6	-	N
4380	109	7	KEN	"2,21"	Archbishop of Canterbury	Heringod	N	0.95	geld	2	-	N
4410	109	3	KEN	"2,21"	Archbishop of Canterbury	Godfrey the arblaster	N	1.5	geld	5	-	N
4440	109	1	KEN	"2,21"	Archbishop of Canterbury	Archbishop of Canterbury	Y	32.55	geld	100	-	N
4470	109	5	KEN	"2,21"	Archbishop of Canterbury	William of Arques	N	1	geld	2	-	N
4500	109	6	KEN	"2,21"	Archbishop of Canterbury	Vitalis	N	1	geld	2.25	-	N
4530	110	1	KEN	"2,22"	Archbishop of Canterbury	Hugh de Montfort	N	6	geld	20	-	N
4560	111	1	KEN	"2,23"	Archbishop of Canterbury	Archbishop of Canterbury	Y	21	geld	101	-	N
4590	112	1	KEN	"2,24"	Archbishop of Canterbury	Ralph {the chamberlain}	N	0.5	geld	2	proportional	N
4620	112	2	KEN	"2,24"	Archbishop of Canterbury	Archbishop of Canterbury	Y	0.5	geld	2	proportional	N
4650	113	2	KEN	"2,25"	Archbishop of Canterbury	Archbishop of Canterbury	Y	0.25	geld	12	-	N
4680	113	1	KEN	"2,25"	Archbishop of Canterbury	Count of Eu	N	1.5	geld	10	-	N
4710	114	3	KEN	"2,26"	Archbishop of Canterbury	Robert of Hardres	N	0.5	geld	2.09	proportional	N
4740	114	4	KEN	"2,26"	Archbishop of Canterbury	Osbern Paisforiere	N	0.12	geld	0.52	proportional	N
4770	114	2	KEN	"2,26"	Archbishop of Canterbury	Robert son of Watson	N	2	geld	8.38	proportional	N
4800	114	1	KEN	"2,26"	Archbishop of Canterbury	Archbishop of Canterbury	Y	4.37	geld	40	-	N
4830	115	1	KEN	"2,27"	Archbishop of Canterbury	Archbishop of Canterbury	Y	1	geld	10	-	N
4890	117	1	KEN	"2,28"	Archbishop of Canterbury	Ansgot {of Rots}	N	1	geld	7	-	N
4920	117	2	KEN	"2,28"	Archbishop of Canterbury	Richard of Tonbridge	N		-		-	N
4930	117	3	KEN	"2,28"	Archbishop of Canterbury	Abbey of Canterbury	N		-	4	-	N
4950	118	2	KEN	"2,29"	Archbishop of Canterbury	Richard of Tonbridge	N		-	3	-	N
4980	118	1	KEN	"2,29"	Archbishop of Canterbury	Ralph son of Ospak	N	6	geld	20	-	N
5010	119	1	KEN	"2,30"	Archbishop of Canterbury	Mauger	N	0.75	geld	2.5	-	N
5040	120	1	KEN	"2,31"	Archbishop of Canterbury	Haimo the sheriff	N	1.5	geld	17	-	N
5070	121	1	KEN	"2,32"	Archbishop of Canterbury	Count of Eu	N	2.5	geld	11	-	N
5100	122	1	KEN	"2,33"	Archbishop of Canterbury	Ralph son of Turold	N	0.5	geld	2	-	N
5130	123	1	KEN	"2,34"	Archbishop of Canterbury	Richard {the constable}	N	1	geld	1	-	N
5160	124	1	KEN	"2,35"	Archbishop of Canterbury	Richard {the constable}	N	1	geld	5	-	N
5170	124	2	KEN	"2,35"	Archbishop of Canterbury	Abbey of Canterbury	N		-	1	-	N
5190	125	1	KEN	"2,36"	Archbishop of Canterbury	Godfrey {the steward}	N	2	geld	8	-	N
5220	126	1	KEN	"2,37"	Archbishop of Canterbury	Godfrey {the steward}	N	0.5	geld	4	-	N
5250	127	1	KEN	"2,38"	Archbishop of Canterbury	Osbern son of Ledhard	N	0.25	geld	0.5	-	N
5280	128	1	KEN	"2,39"	Archbishop of Canterbury	William Follet	N	1	geld	1.5	-	N
5340	129	1	KEN	"2,40"	Archbishop of Canterbury	William Follet	N	1	geld	1.5	-	N
5370	130	1	KEN	"2,41"	Archbishop of Canterbury	Hugh de Montfort	N	7	geld	29.31	-	N
5400	131	1	KEN	"2,42"	Archbishop of Canterbury	William of Adisham	N	0.5	geld	7	-	N
5430	132	1	KEN	"2,43"	Archbishop of Canterbury	Robert of Romney	N	1.5	geld	16	-	N
5490	134	1	KEN	"3,1"	Archbishop of Canterbury	Archbishop of Canterbury	Y	2.5	geld	25	-	N
5520	134	2	KEN	"3,1"	Archbishop of Canterbury	Deormann (of London)	N	0.5	geld		not separately valued	N
5550	135	2	KEN	"3,2"	Archbishop of Canterbury	Richard of Tonbridge	N	2.25	geld	4	-	N
5580	135	1	KEN	"3,2"	Archbishop of Canterbury	Archbishop of Canterbury	Y	3.25	geld	8	-	N
5610	135	3	KEN	"3,2"	Archbishop of Canterbury	1 man	N	0.5	geld		-	N
5640	136	1	KEN	"3,3"	Archbishop of Canterbury	Archbishop of Canterbury	Y	6	geld	30	-	N
5650	136	2	KEN	"3,3"	Archbishop of Canterbury	Bishop Odo of Bayeux	N	0.5	carucates		not separately valued	N
5670	137	1	KEN	"3,4"	Archbishop of Canterbury	Archbishop of Canterbury	Y	10	geld	26	-	N
5700	137	2	KEN	"3,4"	Archbishop of Canterbury	Richard of Tonbridge	N		-	0.92	-	N
5730	138	2	KEN	"3,5"	Archbishop of Canterbury	Abel {the monk}	N	1	geld	6	-	N
5760	138	4	KEN	"3,5"	Archbishop of Canterbury	Richard (of Tonbridge)	N		-	4	-	N
5790	138	1	KEN	"3,5"	Archbishop of Canterbury	Archbishop of Canterbury	Y	4.5	geld	22	-	N
5820	138	3	KEN	"3,5"	Archbishop of Canterbury	Godfrey {the steward}	N	0.5	geld	9	-	N
5850	139	1	KEN	"3,6"	Archbishop of Canterbury	Archbishop of Canterbury	Y	3.5	geld	16	-	N
5880	140	1	KEN	"3,7"	Archbishop of Canterbury	Archbishop of Canterbury	Y	20	geld	40	-	N
5910	141	2	KEN	"3,8"	Archbishop of Canterbury	William of Adisham	N	1	geld	7	-	N
5940	141	1	KEN	"3,8"	Archbishop of Canterbury	Archbishop of Canterbury	Y	3	geld	32	-	N
5970	142	1	KEN	"3,9"	Archbishop of Canterbury	Archbishop of Canterbury	Y	1	geld	17	-	N
6000	143	1	KEN	"3,10"	Archbishop of Canterbury	Blize	N	2	ploughlands	5	-	N
6030	144	1	KEN	"3,11"	Archbishop of Canterbury	Archbishop of Canterbury	Y	1	geld	15	-	N
6060	145	1	KEN	"3,12"	Archbishop of Canterbury	Archbishop of Canterbury	Y	4	geld	25	-	N
6090	146	1	KEN	"3,13"	Archbishop of Canterbury	Archbishop of Canterbury	Y	8	geld	20	-	N
6120	147	1	KEN	"3,14"	Archbishop of Canterbury	Archbishop of Canterbury	Y	3	geld	20	-	N
6150	148	1	KEN	"3,15"	Archbishop of Canterbury	Archbishop of Canterbury	Y	2.5	geld	8.41	-	N
6180	148	2	KEN	"3,15"	Archbishop of Canterbury	William {son of Ermenfrid}	N	0.5	geld	2	-	N
6210	149	1	KEN	"3,16"	Archbishop of Canterbury	Archbishop of Canterbury	Y	7	geld	24.01	-	N
6240	150	1	KEN	"3,17"	Archbishop of Canterbury	Archbishop of Canterbury	Y	7.79	geld	36.51	-	N
6270	151	1	KEN	"3,18"	Archbishop of Canterbury	Archbishop of Canterbury	Y	14	geld	46.81	-	N
6300	151	3	KEN	"3,18"	Archbishop of Canterbury	Roger	N	1	geld	4	-	N
6330	151	2	KEN	"3,18"	Archbishop of Canterbury	Robert son of Watson	N	2	geld	7	-	N
6360	152	1	KEN	"3,19"	Archbishop of Canterbury	Archbishop of Canterbury	Y	1	geld	3	-	N
6390	153	1	KEN	"3,20"	Archbishop of Canterbury	Archbishop of Canterbury	Y	2	geld	16.87	-	N
6420	154	1	KEN	"3,21"	Archbishop of Canterbury	Robert of Romney	N	1	geld	4	-	N
6450	155	1	KEN	"3,22"	Archbishop of Canterbury	Robert son of Watson	N	0.75	geld	3.15	-	N
6480	155	2	KEN	"3,22"	Archbishop of Canterbury	William Follet	N	0.25	geld	0.5	-	N
6510	156	1	KEN	"3,23"	Archbishop of Canterbury	Archbishop of Canterbury	Y		-		-	N
6570	158	1	KEN	"4,1"	Bishop of Rochester	Bishop of Rochester	Y	6	geld	21	-	N
6600	158	2	KEN	"4,1"	Bishop of Rochester	Richard of Tonbridge	N		-	1	-	N
6630	159	1	KEN	"4,2"	Bishop of Rochester	Bishop of Rochester	Y	6	geld	16	-	N
6660	159	2	KEN	"4,2"	Bishop of Rochester	Richard of Tonbridge	N		-	0.75	-	N
6690	160	1	KEN	"4,3"	Bishop of Rochester	Bishop of Rochester	Y	2	geld	8	-	N
6720	161	1	KEN	"4,4"	Bishop of Rochester	Ansketil the priest	N	1	geld	5	-	N
6750	162	1	KEN	"4,5"	Bishop of Rochester	Bishop of Rochester	Y	6	geld	18	-	N
6780	163	1	KEN	"4,6"	Bishop of Rochester	Bishop of Rochester	Y	6	geld	12	-	N
6810	164	1	KEN	"4,7"	Bishop of Rochester	Bishop of Rochester	Y	3	geld	4	-	N
6840	165	1	KEN	"4,8"	Bishop of Rochester	Bishop of Rochester	Y	3	geld	7	-	N
6870	166	1	KEN	"4,9"	Bishop of Rochester	Bishop of Rochester	Y	6	geld	9	-	N
6900	167	1	KEN	"4,10"	Bishop of Rochester	Bishop of Rochester	Y	2.5	geld	10.5	-	N
6930	168	1	KEN	"4,11"	Bishop of Rochester	Bishop of Rochester	Y	2	geld	7.75	-	N
6960	169	1	KEN	"4,12"	Bishop of Rochester	Bishop of Rochester	Y	6	geld	16	-	N
6970	169	2	KEN	"4,12"	Bishop of Rochester	Richard (of Tonbridge)	N		-	0.35	-	N
6990	170	1	KEN	"4,13"	Bishop of Rochester	Bishop of Rochester	Y	10	geld	25	-	N
7000	170	2	KEN	"4,13"	Bishop of Rochester	Richard (of Tonbridge)	N		-	0.5	-	N
7020	171	1	KEN	"4,14"	Bishop of Rochester	Bishop of Rochester	Y	2	geld	10	-	N
7050	172	1	KEN	"4,15"	Bishop of Rochester	Bishop of Rochester	Y	0	-	8	-	N
7080	173	1	KEN	"4,16"	Bishop of Rochester	Bishop of Rochester	Y	5	geld	8.08	-	N
7140	175	1	KEN	"5,1"	Bishop Odo of Bayeux	Hugh of Port	N	0.33	geld	15	20d to the ora	N
7150	175	2	KEN	"5,1"	Bishop Odo of Bayeux	Wilfred	N	0.16	geld	0.25	-	N
7170	176	1	KEN	"5,2"	Bishop Odo of Bayeux	Helto (the steward)	N	10	geld	32	-	N
7180	176	2	KEN	"5,2"	Bishop Odo of Bayeux	Richard (of Tonbridge)	N		-	0.2	-	N
7200	177	1	KEN	"5,3"	Bishop Odo of Bayeux	Ralph son of Turold	N	1	geld	5	-	N
7230	178	1	KEN	"5,4"	Bishop Odo of Bayeux	Ralph	N	0.5	geld	4	-	N
7260	179	1	KEN	"5,5"	Bishop Odo of Bayeux	Ansgot of Rochester	N	0.5	geld	5.5	-	N
7290	180	1	KEN	"5,6"	Bishop Odo of Bayeux	Adam son of Hubert	N	1	geld	4.5	-	N
7320	180	2	KEN	"5,6"	Bishop Odo of Bayeux	Richard of Tonbridge	N		-		not separately valued	N
7350	181	2	KEN	"5,7"	Bishop Odo of Bayeux	2 men	N	0.5	geld	1	-	N
7380	181	3	KEN	"5,7"	Bishop Odo of Bayeux	Richard of Tonbridge	N		-	2	-	N
7410	181	1	KEN	"5,7"	Bishop Odo of Bayeux	Hugh of Port	N	3	geld	6	-	N
7415	181	4	KEN	"5,7"	Bishop Odo of Bayeux	King William	N		-	0.35	-	N
7440	182	1	KEN	"5,8"	Bishop Odo of Bayeux	Geoffrey of Rots	N	1	geld	5	-	N
7445	182	2	KEN	"5,8"	Bishop Odo of Bayeux	King William	N		-	0.5	-	N
7470	183	1	KEN	"5,9"	Bishop Odo of Bayeux	Mauger	N	0.5	geld	3.5	-	N
7475	183	2	KEN	"5,9"	Bishop Odo of Bayeux	King William	N		-	0.5	-	N
7500	184	1	KEN	"5,10"	Bishop Odo of Bayeux	Mauger	N	0.12	geld	0.75	-	N
7505	184	2	KEN	"5,10"	Bishop Odo of Bayeux	King William	N		-	0.4	-	N
7530	185	1	KEN	"5,11"	Bishop Odo of Bayeux	Mauger	N	0.5	geld	0.8	-	N
7560	186	1	KEN	"5,12"	Bishop Odo of Bayeux	Osbern Paisforiere	N	0.5	geld	3.85	-	N
7565	186	2	KEN	"5,12"	Bishop Odo of Bayeux	King William	N		-	0.15	-	N
7590	187	1	KEN	"5,13"	Bishop Odo of Bayeux	Wadard <of Cogges>	N	0.62	geld	6	-	N
7620	188	1	KEN	"5,14"	Bishop Odo of Bayeux	Wadard <of Cogges>	N	0.5	geld	6	-	N
7650	189	1	KEN	"5,15"	Bishop Odo of Bayeux	Arnulf of Hesdin	N	0.75	geld	2.4	-	N
7655	189	2	KEN	"5,15"	Bishop Odo of Bayeux	King William	N		-	0.4	-	N
7680	190	1	KEN	"5,16"	Bishop Odo of Bayeux	Ansketil of Rots	N	0.5	geld	5	-	N
7685	190	2	KEN	"5,16"	Bishop Odo of Bayeux	King William	N		-	0.04	-	N
7710	191	1	KEN	"5,17"	Bishop Odo of Bayeux	Ansketil of Rots	N	0.5	geld	3.5	-	N
7770	192	1	KEN	"5,18"	Bishop Odo of Bayeux	Ansketil of Rots	N	2.5	geld	14	-	N
7775	192	2	KEN	"5,18"	Bishop Odo of Bayeux	King William	N		-	0.25	-	N
7830	193	1	KEN	"5,19"	Bishop Odo of Bayeux	Robert the interpreter	N	10	geld	22	-	N
7860	194	1	KEN	"5,20"	Bishop Odo of Bayeux	Ansgot (of Rochester)	N	1	geld	4	-	N
7890	195	1	KEN	"5,21"	Bishop Odo of Bayeux	Abbey of Canterbury	N	2.25	geld	8	-	N
7920	196	1	KEN	"5,22"	Bishop Odo of Bayeux	Mauger	N	1	geld	5	-	N
7950	197	1	KEN	"5,23"	Bishop Odo of Bayeux	Arnulf of Hesdin	N	2	geld	25	-	N
7980	198	1	KEN	"5,24"	Bishop Odo of Bayeux	Adam son of Hubert	N	1	geld	10	-	N
8010	199	1	KEN	"5,25"	Bishop Odo of Bayeux	Adam son of Hubert	N	1	geld	13	-	N
8040	200	1	KEN	"5,26"	Bishop Odo of Bayeux	Geoffrey of Rots	N	7	geld	24	-	N
8070	200	2	KEN	"5,26"	Bishop Odo of Bayeux	Richard of Tonbridge	N		-	6	-	N
8075	200	3	KEN	"5,26"	Bishop Odo of Bayeux	King William	N		-	1.11	-	N
8100	201	1	KEN	"5,27"	Bishop Odo of Bayeux	Ansketil of Rots	N	0.5	geld	3	-	N
8130	202	1	KEN	"5,28"	Bishop Odo of Bayeux	Ansketil of Rots	N	0.5	geld	3	-	N
8160	203	1	KEN	"5,29"	Bishop Odo of Bayeux	Bishop of Lisieux	N	2	geld	12	-	N
8190	204	1	KEN	"5,30"	Bishop Odo of Bayeux	Haimo the sheriff	N	1.5	geld	20	-	N
8220	205	1	KEN	"5,31"	Bishop Odo of Bayeux	Ralph son of Turold	N	1	geld	5	-	N
8250	206	1	KEN	"5,32"	Bishop Odo of Bayeux	Walter of Douai	N	0.5	geld	5	-	N
8280	207	1	KEN	"5,33"	Bishop Odo of Bayeux	William son of Oger	N	1	geld	7	-	N
8310	208	1	KEN	"5,34"	Bishop Odo of Bayeux	William son of Oger	N	0.5	geld	4	-	N
8340	209	1	KEN	"5,35"	Bishop Odo of Bayeux	Ansketil {of Rots}	N	1.25	geld	6	-	N
8370	210	1	KEN	"5,36"	Bishop Odo of Bayeux	Gilbert Maminot	N	4	geld	24	-	N
8400	211	1	KEN	"5,37"	Bishop Odo of Bayeux	Gilbert Maminot	N	0.5	geld	2	-	N
8430	212	1	KEN	"5,38"	Bishop Odo of Bayeux	Hugh nephew of Herbert (son of Ivo)	N	1.5	geld	8	-	N
8460	213	1	KEN	"5,39"	Bishop Odo of Bayeux	Ansgot of Rochester	N	2	geld	13	-	N
8490	214	1	KEN	"5,40"	Bishop Odo of Bayeux	Adam (son of Hubert)	N	2	geld	8	-	N
8520	214	2	KEN	"5,40"	Bishop Odo of Bayeux	Richard of Tonbridge	N		-	1.2	-	N
8525	214	3	KEN	"5,40"	Bishop Odo of Bayeux	King William	N		-	1.2	-	N
