struct_idx	county	phillimore	ten_in_chief	lord_86	demesne_86	holding	units	value_86	v_86_code	waste_86
181	KEN	"5,7"	Bishop Odo of Bayeux	King William	N		-	0.35	-	N
181	KEN	"5,7"	Bishop Odo of Bayeux	2 men	N	0.5	geld	1	-	N
181	KEN	"5,7"	Bishop Odo of Bayeux	Richard of Tonbridge	N		-	2	-	N
181	KEN	"5,7"	Bishop Odo of Bayeux	Hugh of Port	N	3	geld	6	-	N
182	KEN	"5,8"	Bishop Odo of Bayeux	King William	N		-	0.5	-	N
182	KEN	"5,8"	Bishop Odo of Bayeux	Geoffrey of Rots	N	1	geld	5	-	N
183	KEN	"5,9"	Bishop Odo of Bayeux	Mauger	N	0.5	geld	3.5	-	N
183	KEN	"5,9"	Bishop Odo of Bayeux	King William	N		-	0.5	-	N
184	KEN	"5,10"	Bishop Odo of Bayeux	Mauger	N	0.12	geld	0.75	-	N
184	KEN	"5,10"	Bishop Odo of Bayeux	King William	N		-	0.4	-	N
185	KEN	"5,11"	Bishop Odo of Bayeux	Mauger	N	0.5	geld	0.8	-	N
186	KEN	"5,12"	Bishop Odo of Bayeux	Osbern Paisforiere	N	0.5	geld	3.85	-	N
186	KEN	"5,12"	Bishop Odo of Bayeux	King William	N		-	0.15	-	N
187	KEN	"5,13"	Bishop Odo of Bayeux	Wadard <of Cogges>	N	0.62	geld	6	-	N
188	KEN	"5,14"	Bishop Odo of Bayeux	Wadard <of Cogges>	N	0.5	geld	6	-	N
189	KEN	"5,15"	Bishop Odo of Bayeux	Arnulf of Hesdin	N	0.75	geld	2.4	-	N
189	KEN	"5,15"	Bishop Odo of Bayeux	King William	N		-	0.4	-	N
190	KEN	"5,16"	Bishop Odo of Bayeux	Ansketil of Rots	N	0.5	geld	5	-	N
190	KEN	"5,16"	Bishop Odo of Bayeux	King William	N		-	0.04	-	N
191	KEN	"5,17"	Bishop Odo of Bayeux	Ansketil of Rots	N	0.5	geld	3.5	-	N
192	KEN	"5,18"	Bishop Odo of Bayeux	Ansketil of Rots	N	2.5	geld	14	-	N
192	KEN	"5,18"	Bishop Odo of Bayeux	King William	N		-	0.25	-	N
193	KEN	"5,19"	Bishop Odo of Bayeux	Robert the interpreter	N	10	geld	22	-	N
194	KEN	"5,20"	Bishop Odo of Bayeux	Ansgot (of Rochester)	N	1	geld	4	-	N
195	KEN	"5,21"	Bishop Odo of Bayeux	Abbey of Canterbury	N	2.25	geld	8	-	N
196	KEN	"5,22"	Bishop Odo of Bayeux	Mauger	N	1	geld	5	-	N
197	KEN	"5,23"	Bishop Odo of Bayeux	Arnulf of Hesdin	N	2	geld	25	-	N
198	KEN	"5,24"	Bishop Odo of Bayeux	Adam son of Hubert	N	1	geld	10	-	N
199	KEN	"5,25"	Bishop Odo of Bayeux	Adam son of Hubert	N	1	geld	13	-	N
200	KEN	"5,26"	Bishop Odo of Bayeux	King William	N		-	1.11	-	N
200	KEN	"5,26"	Bishop Odo of Bayeux	Geoffrey of Rots	N	7	geld	24	-	N
200	KEN	"5,26"	Bishop Odo of Bayeux	Richard of Tonbridge	N		-	6	-	N
201	KEN	"5,27"	Bishop Odo of Bayeux	Ansketil of Rots	N	0.5	geld	3	-	N
202	KEN	"5,28"	Bishop Odo of Bayeux	Ansketil of Rots	N	0.5	geld	3	-	N
203	KEN	"5,29"	Bishop Odo of Bayeux	Bishop of Lisieux	N	2	geld	12	-	N
204	KEN	"5,30"	Bishop Odo of Bayeux	Haimo the sheriff	N	1.5	geld	20	-	N
205	KEN	"5,31"	Bishop Odo of Bayeux	Ralph son of Turold	N	1	geld	5	-	N
206	KEN	"5,32"	Bishop Odo of Bayeux	Walter of Douai	N	0.5	geld	5	-	N
207	KEN	"5,33"	Bishop Odo of Bayeux	William son of Oger	N	1	geld	7	-	N
208	KEN	"5,34"	Bishop Odo of Bayeux	William son of Oger	N	0.5	geld	4	-	N
209	KEN	"5,35"	Bishop Odo of Bayeux	Ansketil {of Rots}	N	1.25	geld	6	-	N
210	KEN	"5,36"	Bishop Odo of Bayeux	Gilbert Maminot	N	4	geld	24	-	N
211	KEN	"5,37"	Bishop Odo of Bayeux	Gilbert Maminot	N	0.5	geld	2	-	N
212	KEN	"5,38"	Bishop Odo of Bayeux	Hugh nephew of Herbert (son of Ivo)	N	1.5	geld	8	-	N
213	KEN	"5,39"	Bishop Odo of Bayeux	Ansgot of Rochester	N	2	geld	13	-	N
214	KEN	"5,40"	Bishop Odo of Bayeux	Adam (son of Hubert)	N	2	geld	8	-	N
214	KEN	"5,40"	Bishop Odo of Bayeux	Richard of Tonbridge	N		-	1.2	-	N
214	KEN	"5,40"	Bishop Odo of Bayeux	King William	N		-	1.2	-	N
215	KEN	"5,41"	Bishop Odo of Bayeux	Ansketil {of Rots}	N	1	geld	5	-	N
216	KEN	"5,42"	Bishop Odo of Bayeux	Haimo the sheriff	N	1	geld	8	-	N
217	KEN	"5,43"	Bishop Odo of Bayeux	Vitalis	N	0.75	geld	5	-	N
218	KEN	"5,44"	Bishop Odo of Bayeux	Richard (of Tonbridge)	N		-	0.06	-	N
218	KEN	"5,44"	Bishop Odo of Bayeux	Ralph son of Turold	N	0.75	geld	4	-	N
218	KEN	"5,44"	Bishop Odo of Bayeux	King William	N		-	0.42	-	N
219	KEN	"5,45"	Bishop Odo of Bayeux	Hugh of Port	N	0.5	geld	2	-	N
220	KEN	"5,46"	Bishop Odo of Bayeux	Hugh of Port	N	2.5	geld	6	-	N
221	KEN	"5,47"	Bishop Odo of Bayeux	Hugh of Port	N	1	geld	1.5	-	N
222	KEN	"5,48"	Bishop Odo of Bayeux	Ranulf of Colombières	N	1	geld	5	-	N
223	KEN	"5,49"	Bishop Odo of Bayeux	Robert the interpreter	F	0.5	geld	2	-	N
224	KEN	"5,50"	Bishop Odo of Bayeux	Robert the interpreter	F	0.25	geld	0.5	-	N
225	KEN	"5,51"	Bishop Odo of Bayeux	Ralph son of Turold	N	2.5	geld	6	-	N
226	KEN	"5,52"	Bishop Odo of Bayeux	Ralph son of Turold	N	1.75	geld	6	-	N
226	KEN	"5,52"	Bishop Odo of Bayeux	Richard (of Tonbridge)	N		-	0.25	-	N
227	KEN	"5,53"	Bishop Odo of Bayeux	Richard (of Tonbridge)	N		-	0.08	-	N
227	KEN	"5,53"	Bishop Odo of Bayeux	Ralph son of Turold	N	2.62	geld	8	-	N
228	KEN	"5,54"	Bishop Odo of Bayeux	Herbert son of Ivo	N	2.25	geld	11	-	N
229	KEN	"5,55"	Bishop Odo of Bayeux	Wadard <of Cogges>	N	2	geld	5	-	N
230	KEN	"5,56"	Bishop Odo of Bayeux	Ansketil {of Rots}	N	1	geld	4.45	-	N
230	KEN	"5,56"	Bishop Odo of Bayeux	Richard of Tonbridge	N		-	0.55	-	N
231	KEN	"5,57"	Bishop Odo of Bayeux	Ralph of Courbépine	N	6	geld	12	-	N
232	KEN	"5,58"	Bishop Odo of Bayeux	Bishop of Rochester	N		-	0.35	-	N
232	KEN	"5,58"	Bishop Odo of Bayeux	Ralph of Courbépine	N	6	geld	12	-	N
233	KEN	"5,59"	Bishop Odo of Bayeux	Corbin (of Agneaux)	N	2	geld	8	-	N
233	KEN	"5,59"	Bishop Odo of Bayeux	King William	N		-	2	-	N
234	KEN	"5,60"	Bishop Odo of Bayeux	Richard of Tonbridge	N	6	geld	30	-	N
235	KEN	"5,61"	Bishop Odo of Bayeux	2 free men	N	0.5	geld	1	-	N
