struct_idx	borough_id	county	phillimore	text	notes
24	480	KEN	D24	"In `Limen' Lathe, in {Briseuuei} the King has a customary due, namely 2 carts and 2 sticks of eels, for one Escort; and in the land of {Sophis} he has 12d for one Escort; and from 1 yoke of `Northborough' 12d for one Escort; and from Dean [Court] 18d, and from {Gara} one Escort. These lands lie in Wye. Men from these lands guard the King at Canterbury or at Sandwich for 3 days if the King comes there."	Customs
25	500	KEN	D25	"In the Lathe of Sutton and in the Lathe of Aylesford, these had full jurisdiction: Young Brictsi, Aethelwold of Eltham, Eskil of Beckenham, Azur of Lessness, Alwin Horne, Wulfward White, Ording of Horton, Esbiorn of Chelsfield, Leofnoth of Sutton, Edward of Stone, Wulfstan of Wateringbury and Leofric of Wateringbury, Osward of Norton, Edith of Asholt and Alred of Yalding."	Customs
51	520	KEN	C1	"In the City of CANTERBURY King Edward had 51 burgesses who paid tribute and another 212 over whom he had full jurisdiction; and 3 mills at 40s. Now there are 19 burgesses who pay tribute. [The houses] of 32 others who were there have been destroyed, 11 in the city ditch, the Archbishop of Canterbury has 7 of them, the Abbot of St Augustine's another 14 in exchange for the castle. There are still 212 burgesses over whom the King has full jurisdiction; and the 3 mills pay 108s. The toll pays 68s; 8 acres of meadow which used to be the King's messengers' now pay 15s in tribute; 1000 acres of unproductive woodland which produce 24s. In total, value before 1066, £51; as much when Haimo the sheriff acquired it; now assessed at £50. However the present holder pays £30 assayed and weighed, and £24 at face value. Over and above all this the sheriff has 110s."	Waste: houses destroyed. Population: 21 houses assumed by Darby to imply burgesses. Values: toll included in render for 1086
52	540	KEN	C2	"A monk of Canterbury Church took away two houses of two burgesses, one outside, the other inside, the City. These were situated on the King's road."	
53	560	KEN	C3	"The burgesses had 45 messuages outside the City, from which they had tribute and customary dues; the King however had full jurisdiction. These burgesses also had from the King 33 acres of land for their tax. Ranulf of Colombières holds these houses and this land. He also has 80 acres of land over and above these, which the burgesses held in freehold from the King. He also holds 5 acres of land which rightly belong to a church. For all these Ranulf appeals to the Bishop of Bayeux as his protector."	"Church possibly recorded elsewhere. Acres assumed to be field, not geld, acres."
54	580	KEN	C4	"Ralph of Courbépine has 4 messuages in the City, which (Earl) Harold's concubine held; of which the full jurisdiction is the King's, but up to the present he has not had it."	
55	600	KEN	C5	"Ralph of Courbépine also holds another 11 messuages from the Bishop of Bayeux in the City itself; they belonged to Esbiorn Big, and paid 11s 2 1/2d."	
56	620	KEN	C6	"The King has full jurisdiction throughout the whole City of Canterbury, apart from the land of Holy Trinity Church, of St Augustine's, of Queen Edith, of Young Alnoth (of Kent), of Esbiorn Big and of Sired of Chilham. It was agreed about the straight roads which have entry and exit through the City, that whoever does wrong on them shall pay the fine to the King; likewise regarding the straight roads outside the City as far as 1 league, 3 perches and 3 feet. If anyone digs or fixes a post within these public roads within the City or outside it, the King's reeve follows him wherever he has gone, and receives the fine for the King's works."	Customs; fines
57	640	KEN	C7	The Archbishop (of Canterbury) claims the fine on roads outside the City on both sides where the land is his.	Customs; fines
58	660	KEN	C8	"A reeve, named Brunmann, took the customs from foreign merchants before 1066 in the land of Holy Trinity and of St Augustine's; after 1066 he acknowledged before Archbishop Lanfranc and the Bishop of Bayeux that he had received them wrongfully; he swore on the sacrament that these Churches had their customs exempt before 1066. From then on both Churches had their customs in their land, by the judgement of the King's barons, who tried the case."	
59	680	KEN	R1	"?R? The City of ROCHESTER was valued at 100s before 1066; when the Bishop acquired it, the same; value now £20; however the holder pays £40."	
1913	700	HAM	S1	In the Borough of SOUTHAMPTON The King has in lordship 76 [[79]] men who pay £7 of land tribute; before 1066 they paid as much. 27 of them each pay 8d; 2 [of them] 12d; and another 50 in number each pay 6d.	"Population: 76 men probably a scribal error for 79, the sum of the details"
1914	720	HAM	S2	"Before 1066 these had exempt land in the same Borough from the King himself: Odo of Winchester, Eskil the priest, Ketil, Fugel, (Earl) Tosti; the sons of Alric had 16 acres of land; Gerin [had] 18 acres; Cypping <of Headbourne> had 3 exempt houses and now Ralph of Mortimer holds them; Godwin [had] 3 houses that Bernard Pancevolt holds. Since King William came to England 65 Frenchmen and 31 Englishmen have been settled in Southampton. These all pay amongst themselves £4 6d for all customary dues."	"Geld: 34 acres assumed to be field, not geld, acres."
1915	740	HAM	S3	These listed below have the customary dues of their houses in Southampton by grant of King William: Bishop G[eoffrey dues] of 1 house; the Abbot of Cormeilles 1; the Abbot of Lyre 1; the Count of Evreux 2; Ralph of Mortimer 2; Gilbert of Bretteville 2; William son of Stur 2; Ralph of Tosny 1; Durand of Gloucester 2; Hugh of Port 1; Hugh of Grandmesnil 2; the Count of Mortain 5; Aiulf the chamberlain 5; Humphrey his brother 1; Osbern Giffard 1; Nigel the doctor 4; Richere of Les Andelys 4; Richard Poynant 1; Stephen the steersman 2; Turstin the chamberlain 2; Turstin the engineer 2; Ansketil son of Osmund 3; Reginald [son of] Croc 1. The Abbess of Wherwell has 1 fishery and a little land. Then it paid 100d; now 10s.	
2027	760	BRK	B1	"In the Borough of WALLINGFORD King Edward had 8 virgates of land, and in them were 276 sites, which paid £11 in tribute. Those who lived there did service for the King with horses, or by water, as far as Blewbury, Reading, Sutton [Courtenay] and Benson. The reeve gave wages or allowances to those who did so, not from the King's tribute, but from his own. All customary dues in this Borough are now as they were before. But there are 13 fewer sites. 8 were destroyed for the castle; a moneyer has 1, exempt so long as he coins money; Saewulf of Oxford has 1; (Alwy), Alsi of Faringdon's son 1, which the King gave him, as he states; Humphrey Visdeloup has 1, for which he calls the King to warrant; Nigel 1 from Henry (of Ferrers), through Swarting's inheritance, but the burgesses testify that they never had it. The King does not have the customary dues of these 13, and, further, William of Warenne has 1 site from which the King does not have customary dues. In addition there are 22 Frenchmen's messuages which pay 6s 5d. King Edward had 15 acres in which his Guards lived; Miles Crispin holds them; the [burgesses] do not know how; one of them lies in [the lands of] [Long] Wittenham, Walter Giffard's manor."	"Customs. Waste: houses destroyed for castle. Geld: hides may be size of area rather than assessment. Values: tribute, assumed to apply to both dates. Population: 22 Frenchmen's houses assumed to imply 22 Frenchmen."
2028	780	BRK	B2	"Bishop Walkelin (of Winchester) has 27 sites at 25s; they are assessed in his manor of Brightwell. The Abbot of Abingdon has 2 acres, in which are 7 messuages at 4s; they belong to Oxford. Miles (Crispin), 20 messuages at 12s 10d; they lie in [the lands of] Newnham [Murren]; moreover, 1 acre, in which are 6 sites at 18d; in Haseley, 6 messuages which pay 44d; in [North] Stoke 1 messuage at 12d; in Chalgrove 1 messuage at 4d; in Sutton [Courtenay] 1 acre, in which are 6 messuages at 12d; in Bray 1 acre, and 11 messuages there at 3s. All this land belongs to Oxfordshire; however it is WALLINGFORD [lands]."	Unassigned messuages assumed to be held by Miles Crispin
2029	800	BRK	B3	"Reginald has 1 acre, in which are 11 messuages at 26d; they belong to Albury, which is in Oxford[shire]. The Archbishop (of Canterbury), 6 messuages at 26d. Walter Giffard has 1 acre and 10 messuages at 6s and 3 halfpence. Robert d'Oilly, 4 messuages at 20d. Gilbert of Ghent, 1 messuage at 2 1/2d. Hugh the large of Scoca, 1 messuage at 4d. Ralph son of Seifrid, 2 sites at 12d. Hugh of [B]olbec, 1 site at 4d. Ranulf Peverel, 1 at 4d. Walter son of Other, 6 sites at 4d less 1/2d [each]. William Lovet, a piece of land at 4d."	
2030	820	BRK	B4	"In Ilsley, 3 messuages at 3d. The Abbot of Battle has 5 messuages in Berkshire at 20d. 1 site, which was Bishop Peter's (of Chester), at 4d. The King, 3 sites at 6d. Henry of Ferrers, 6 sites which customarily gave 62d, before 1066 and also after, in the King's revenue; but now they give nothing. Bishop Remigius (of Lincoln), 1 site at 4d. Earl Hugh, 1 site at 16d. Godric, 1 site at 2d. Doda, 1 site at 2d. Algar, 1 at 2d. The smiths, 5 sites at 10d."	
2031	840	BRK	B5	"The King, in Aldermaston, 2 sites at 5d. The Count of Evreux, 2 sites at 2 1/2d. Hugh [of] [B]olbec, 1 site at 2d. Roger of Lacy, 1 site at 12d. Robert d'Oilly, 1 site at 6d."	
2032	860	BRK	B6	"The King, 1 site at 6d. Bishop Osmund (of Salisbury), 7 sites at 28d. Robert d'Oilly, 2 sites at 10d. Roger of Lacy, 5 sites at 21d. Ralph Piercehedge, 7 sites at 50d. Reinbald the priest, 1 site at 4d. (Abbey of) St Albans, 1 site, contested; it is in dispute. Brictric, 1 site at 2d. Leofeva, 1 site at 2d. Godwin, 1 site at 2d. Alwin, 1 site at 2d."	
2033	880	BRK	B7	"Almer the priest, another Almer the priest, Brunmann, Edwy, Edmund, William son of Osmund, Leoffled, Lambert the priest, Alwold and Godric have the tribute from their houses, and the [fines for] blood shed there, if any. If a man should be taken therein before he was charged by the King's reeve [***] except on Saturdays, because of the market, for then the King has the fine. They have the fines for adultery and for robbery, in their own houses. But other fines are the King's."	Customs; fines
2034	900	BRK	B8	"Value before 1066 £30; later £40; now £60; however, it pays £80 at face value in revenue; what belongs to {Adbrei}, 7s; Miles Molay's land, 24[s]; what the Abbot of Abingdon has, 8s; what Roger of Lacy [has], 7s; what Reginald [has], 4s."	Values: 'pays £80 at face value'; unclear whether other values are additional
2035	920	BRK	B9	"The undermentioned Oxfordshire thanes had land in WALLINGFORD: Archbishop Lanfranc, 4 houses which belong in Newington, paying 6s. Bishop Remigius, 1 house which belongs to Dorchester, paying 12d. The Abbot of St Albans, 1 house at 4s. Abbot R[hiwallon] 1 house, in Ewelme, paying 3s. Earl Hugh, 1 house, in Pyrton, paying 3s. Walter Giffard, 3 houses, in Caversham, paying 2s. Robert d'Oilly, 2 houses, in Watlington, paying 2s; and, in [Water]perry, 1 house at 2s. Ilbert of Lacy, Roger son of Seifrid, and Ordgar, 3 houses at 4s. Hugh of Bolbec, 3 houses, in Crowmarsh [Gifford], paying 3s. Hugh the large of Scoca, 1 house at 12d. Drogo, 3 houses, in Shirburn and in [South] Weston, at 4s. Robert of Armentières, 1 house, in Ewelme, at 12d. Wace, 1 house, in Ewelme, paying 3s."	"Despite the past tense and the reference to 'thanes', these landowners are all post-Conquest."
2036	940	BRK	B10	"When tax was given before 1066, commonly throughout Berkshire the hide gave 3 1/2d before Christmas and as much at Whitsun. If the King sent an army anywhere, one man-at-arms only went from 5 hides and for his supplies or pay 4s were given to him for 2 months from each hide; they did not send this money to the King, but gave it to the men-at-arms. If anyone was summoned for an expedition, but did not go, he forfeited the whole of his land to the King. But if anyone who had [the reason to] stay behind promised to send another man in his place, but the man who was to be sent stayed behind, his lord was cleared for 50s. At his death, a thane or a King's household man-at-arms sent to the King as death-duty all his arms and horse, one with a saddle, another without a saddle; but if he had dogs or hawks, they were presented to the King, to accept if he wished."	Customs; fines; death-duties. Geld.
2037	960	BRK	B11	"If anyone killed a man who had the King's peace, his body and all his substance were forfeit to the King. Whoever broke into the City at night paid 100s fine to the King, not to the sheriff. A man who, summoned for game-beating for a hunt, did not go paid the King 50s fine."	Customs; fines
2410	980	WIL	M1	"In the Borough of MALMESBURY the King has 26 occupied messuages, and 25 messuages in which are houses which do not pay tax any more than waste land; each of these messuages pays 10d in tribute, that is 43s 6d altogether."	
2411	1000	WIL	M2	"Of the Bishop of Bayeux's Holding, half a unoccupied messuage which pays no service."	Waste: 1/2 unoccupied messuage.
2412	1020	WIL	M3	"The Abbot of Malmesbury has 4 1/2 messuages, and outside the Borough 9 Cottagers who pay tax with the burgesses."	
2413	1040	WIL	M4	The Abbot of Glastonbury has 2 messuages.	
2414	1060	WIL	M5	"Edward the sheriff, 3 messuages."	
2415	1080	WIL	M6	"Ralph of Mortimer, 1 1/2 messuages."	
2416	1100	WIL	M7	"Durand of Gloucester, 1 1/2 messuages."	
2417	1120	WIL	M8	"William of Eu, 1 messuage."	
2418	1140	WIL	M9	"Humphrey de l'Isle, 1 messuage."	
2419	1160	WIL	M10	"Osbern Giffard, 1 messuage."	
2420	1180	WIL	M11	"Alfred of Marlborough, half a unoccupied messuage."	Waste: 1/2 unoccupied messuage.
2421	1200	WIL	M12	"Geoffrey the marshal, the same."	
2422	1220	WIL	M13	"Tovi, 1, and the fourth part of 1 messuage."	
2423	1240	WIL	M14	"Drogo son of Poyntz, 1/2 messuage."	
2424	1260	WIL	M15	"Edric (of Oldbury)'s wife, 1 messuage."	
2425	1280	WIL	M16	"Roger of Berkeley, 1 messuage, of the King's revenue; Arnulf of Hesdin 1 messuage, likewise of the King's revenue, which he received injudiciously. These two pay no service."	
2426	1300	WIL	M17	"The King has 1 unoccupied messuage, of the land which Azur held."	Waste: 1 unoccupied messuage.
2430	1380	WIL	B1	The King has £50 from the Borough of WILTON; it paid £22 when Hervey [* of Wilton *] acquired it in charge.	
2431	1400	WIL	B2	From Wiltshire the King has £10 for a hawk; 20s for a packhorse; for hay 100s and 5 {ora}.	
2432	1420	WIL	B3	From 1/2 mill at SALISBURY the King has 20s by weight.	
2433	1440	WIL	B4	"From the third penny of SALISBURY the King has £6; from the third penny of MARLBOROUGH, £4; from the third penny of CRICKLADE, £5; from the third penny of BATH, £11; from the third penny of MALMESBURY, £6. From the increase, £60 by weight. Edward the sheriff pays this."	Third penny.
2434	1460	WIL	B5	"Walter Hussey pays £8 to the King from the two parts of the Borough of MALMESBURY. The Borough itself paid as much before 1066. In this revenue were the pleas of Chedglow and Startley Hundreds, which belonged to the King. From its Mint the Borough itself pays 100s. Also in this Borough Earl Harold had an acre of land, on which are 4 messuages and 6 others unoccupied, and a mill which pays 10s. The whole paid 100s before 1066. When the King went on an expedition by land or sea, he had from this Borough either 20s to feed his boatmen, or he took with him one man for [each] Honour of five hides."	Customs. Waste: 6 unoccupied messuages.
3086	1480	DOR	B1	"IN DORCHESTER before 1066 there were 172 houses. They answered for every service of the King and paid tax for 10 hides; that is, 1 silver mark for the use of the Guards, apart from the customary dues which belong to the night's revenue. There were 2 moneyers, each of them paying to the King 1 silver mark and 20s whenever the coinage was changed. Now there are 88 houses there; 100 have been completely destroyed from the time of Hugh the sheriff until now."	Customs. Waste: 100 houses completely destroyed. Geld.
3087	1500	DOR	B2	"IN BRIDPORT before 1066 there were 120 houses. They answered for every service of the King and paid tax for 5 hides; that is, 1/2 silver mark for the use of the King's Guards, apart from the customary dues which belong to one night's revenue. There was 1 moneyer who paid to the King 1 silver mark and 20s whenever the coinage was changed. Now there are 100 houses there; 20 have been so neglected that those who live in them are not able to pay tax."	Waste: 20 'neglected' houses. Customary payments. Geld
3088	1520	DOR	B3	"IN WAREHAM before 1066 there were 143 houses in the King's lordship. This town answered for every service of the King and paid tax for 10 hides; that is, 1 silver mark for the King's Guards, apart from the customary dues which belong to one night's revenue. There were 2 moneyers, each paying to the King 1 silver mark and 20s whenever the coinage was changed. Now there are 70 houses there; 73 have been completely destroyed from the time of Hugh the sheriff. In the part [belonging to] Abbey of St Wandrille's there are 45 houses standing and 17 are unoccupied; in the parts [belonging to] the other barons there are 20 houses standing and 60 have been destroyed."	"Geld. Customary payments. Waste: 73 houses destroyed. Houses of unnamed barons assigned to King, including 5 unassigned."
3089	1540	DOR	B4	"IN THE BOROUGH OF SHAFTESBURY before 1066 there were 104 houses in the King's lordship. This town answered for every service of the King and paid tax for 20 hides; that is, 2 silver marks for the King's Guards. There were 3 moneyers; each paid 1 silver mark and 20s whenever the coinage was changed. Now there are 66 houses there; 38 houses have been destroyed from the time of Hugh the sheriff until now. In the part [belonging to] the Abbess there were 153 houses before 1066; now there are 111 houses there; 42 have been utterly destroyed. The Abbess (of Shaftesbury) has 151 burgesses and 20 empty messuages and 1 garden. Value 65s."	Customary payments. Waste: 80 houses destroyed; unassigned houses attributed to king. Geld
4442	1560	DEV	C1	"In the City of EXETER the King has 300 houses, less 15, which pay customary dues."	
4443	1580	DEV	C2	This [City] pays £18 a year. Of these B[aldwin] the sheriff has £6 weighed and assayed and Colwin (the reeve) £12 at face value from the administration of [the property of] Queen Edith.	Customs. Payments: perhaps the third penny though the phrase is not employed.
4444	1600	DEV	C3	In this City 48 houses have been destroyed since the King has come to England.	Waste: 48 houses destroyed since 1066.
4445	1620	DEV	C4	"Before 1066 this City [Exeter] only paid tax when London, York and Winchester paid tax; that was, 1/2 silver mark for the use of the men-at-arms."	Customs. Geld: 1/2 mark should be the equivalent of 5 hides; see next entry
4446	1640	DEV	C5	"Whenever an expedition went out by land or by sea, this City gave [as much] service as 5 hides of land."	Customs. Geld
4447	1660	DEV	C6	"Barnstaple, Lydford and Totnes gave [as much] service as this City."	"Customs. Geld: 5 hides, perhaps collectively"
4448	1680	DEV	C7	The burgesses of the City of EXETER have outside the City land for 12 ploughs which pays no customary dues except to the City itself.	
6123	1700	HRT	B1	"The Borough of HERTFORD answered for 10 hides before 1066, but does not now do so. There were 146 burgesses in King Edward's jurisdiction."	Geld
6124	1720	HRT	B2	Of these Count Alan now has 3 houses which paid dues then and now.	
6125	1740	HRT	B3	"Eudo the steward has 2 houses which were Algar of Cokenach's, which paid dues then and now; Eudo also has a third house, which was Wulfmer of Eaton's, which does not pay dues."	
6126	1760	HRT	B4	"Geoffrey of Bec, 3 houses which pay dues."	
6127	1780	HRT	B5	"Humphrey of Anneville holds 2 houses with one garden under Eudo (the steward). One of these was leased to a reeve of the King's; the other, with its garden, was a burgess's, and now the burgesses claim them back, as wrongfully taken from them."	
6128	1800	HRT	B6	"King William has another 18 burgesses who were Earl Harold's and Earl Leofwin's men, who pay all dues."	
6129	1820	HRT	B7	"Peter of Valognes has 2 churches with 1 house, which he bought from Wulfwy of Hatfield, which pay all dues. Wulfwy could grant and sell them."	
6130	1840	HRT	B8	"Geoffrey de Mandeville has some premises which were Esger the constable's, and 7 houses which paid no dues except the King's tax, when it was collected."	
6131	1860	HRT	B9	Ralph Baynard has 2 houses which paid dues then and now.	
6132	1880	HRT	B10	"Hardwin of Scales has 14 houses which Aki had; before 1066 they gave no dues except the King's tax. Hardwin cites the King as protector for them. Further, Hardwin has one house by the King's gift, which was a burgess's, which pays all dues."	
6133	1900	HRT	B11	"This borough town pays £20, assayed and weighed, and 3 mills pay £10 at face value; when Peter the sheriff acquired it, it paid £15 at face value; before 1066 £7 10s at face value."	
6511	1920	BUK	B1	"BUCKINGHAM with BOURTON answered for 1 hide before 1066 and does the same now. Land for 8 ploughs; in lordship 2. The villagers have 3 1/2 ploughs; a further 2 1/2 possible. 26 burgesses, 11 smallholders and 2 slaves. 1 mill at 14s; meadow for 8 ploughs; pasture for the village livestock. In total value it paid £10 at face value before 1066; now it pays £16 in white silver."	Geld. Manorial details recorded in Statistics database
6512	1940	BUK	B2	"Bishop Remigius holds the church of this Borough. Land for 4 ploughs, which belong to it. 4 ploughs there. 3 villagers, 3 smallholders and 10 cottagers. 1 mill, 10s; meadow for 2 ploughs; wood for fencing. The value is and was £6; before 1066 £7. Bishop Wulfwy held this church from King Edward."	Manorial details recorded in Statistics database
6513	1960	BUK	B3	"In this Borough the Bishop of Coutances has 3 burgesses, whom Wulfward son of Edeva held. They pay 6s 6d a year, and pay the King 11d."	
6514	1980	BUK	B4	"Earl Hugh has 1 burgess who was Burghard of Shenley's man. He pays 26d a year, and 5d to the King."	
6515	2000	BUK	B5	"Robert d'Oilly has 1 burgess who was Azur son of Toti's man. He pays 16d, and 5d to the King."	
6516	2020	BUK	B6	"Roger of Ivry has 4 burgesses who were also Azur son of Toti's men. They pay 7s 6d, and 13d to the King."	
6517	2040	BUK	B7	"Hugh of Bolbec has 4 burgesses who were Alric's men. They pay 28d, and 12d to the King."	
6518	2060	BUK	B8	"Mainou the Breton has 4 burgesses who were men of Edeva, wife of Sired. They pay 29d; they owe nothing to the King."	
6519	2080	BUK	B9	"Hascoit Musard has 1 burgess who was Azur son of Toti's man. He pays 16d, and 2d to the King."	
6520	2100	BUK	B10	"Arnulf of Hesdin has 1 burgess who was Wiglaf <of Barton>'s. He pays 2s a year, and 3d to the King."	
6521	2120	BUK	B11	"William of Castellion has 2 burgesses, of the Holding of the Bishop of Bayeux, who were Earl Leofwin's men. They pay 16d, and now nothing to the King; but before 1066 they paid 3d."	
6522	2140	BUK	B12	"From Earl Aubrey's Holding, 1 burgess pays 2d to the King."	
6523	2160	BUK	B13	"Leofwin of Nuneham has 5 burgesses, and had them before 1066. They pay him 4s a year, and 12d to the King."	
6975	2180	OXF	B1	"Before 1066 OXFORD paid to the King £20 a year and 6 sesters of honey for tolls, tribute and all other customary dues; and to Earl Algar £10, in addition to the mill which he had within the City."	Customs
6976	2200	OXF	B2	"When the King went on a [military] expedition, 20 burgesses went with him for all the others; or they gave £20 to the King, that all might be free."	Customs
6977	2220	OXF	B3	"Now OXFORD pays £60 at face value, at 20 [pence] to the {ora}."	Customs
6978	2240	OXF	B4	"In this town, within and without the wall, are 243 houses which pay tax; apart from them, there are 500 houses less 22 so unoccupied and destroyed that they cannot pay tax."	"Waste: 'In this town, within and without the wall, are 243 houses which pay tax; apart from them, there are 500 houses less 22 [478] so unoccupied and destroyed that they cannot pay tax'"
6979	2260	OXF	B5	"The King has 20 Wall-messuages which were Earl Algar's before 1066, and which paid 14s less 2d then and now. He has 1 messuage which pays 6d and belongs to Shipton[-under-Wychwood]; another at 4d which belongs to Bloxham; a third which pays 30d and belongs to [Princes] Risborough; and 2 others at 4d which belong to Twyford in Buckinghamshire; one of them is unoccupied. The reason that they are called Wall-messuages is that if there is need and if the King commands, they repair the wall."	Waste: 1 unoccupied wall-messuage.
6980	2280	OXF	B6	To the lands which Earl Aubrey held belong 1 church and 3 messuages; two of them lie [with the lands of] St Mary's Church and pay 28d; the third lies with Burford [lands] and pays 5s.	Most of the lands of Earl Aubrey were in the king's hands in 1086.
6981	2300	OXF	B7	To the lands which Earl William held belong 9 messuages which pay 7s; 3 of them are unoccupied.	Waste: 3 unoccupied messuages. Most of the lands of Earl William were in the king's hands in 1086.
6982	2320	OXF	B8	"The Archbishop of Canterbury has 7 messuages which pay 38d; 4 of them are unoccupied. The Bishop of Winchester, 9 messuages which pay 62d; 3 of them are unoccupied. The Bishop of Bayeux, 18 messuages which pay 13s 4d; 4 of them are unoccupied. The Bishop of Lincoln has 30 messuages which pay 18s 6d; 16 of them are unoccupied. The Bishop of Coutances has 2 messuages which pay 14d. The Bishop of Hereford has 3 messuages which pay 13d; 1 of them is unoccupied. St Edmund's Abbey has 1 messuage which pays 6d and belongs to Taynton. Abingdon Abbey has 14 messuages which pay 7s 3d; 8 of them are unoccupied. Eynsham Abbey has 1 church and 13 messuages which pay 9s; 7 of them are unoccupied."	Waste: 43 unoccupied messuages.
