claims_id	struct_idx	county	phillimore	vill	holding	ten_in_chief	lord_86	overlord_66	lord_66	claimant	defendant	jurors	xref	notes	text
240	9412	HC	D11	[Hail] Weston	1 1/2 hides	Eustace the sheriff	Eustace the sheriff	Earl Tosti	Algeat <of Weston>	Countess Judith	Eustace the sheriff	[Toseland Hundred]	"19,27"	"Judith's claim is re-stated in the entry for Eustace's fief (19,27). The jurors imply that the sheriff's predecessor did not confer title, supporting the claim of Countess Judith as heir to her husband, Earl Waltheof, Algeat's lord."	"Concerning the 1 1/2 hides of land ^[in [Hail] Weston]^ which were Algeat <of Weston>'s, the men who have sworn say that Alfgeat held them himself from Earl Tosti, with full jurisdiction, and afterwards from [* Earl *] Waltheof."
260	9413	HC	D12	Boughton	1 hide	Eustace the sheriff	Eustace the sheriff	Earl Waltheof	Godric the priest	Countess Judith?	Eustace the sheriff	[Toseland Hundred]	"19,31"	"Judith's claim is not re-stated in the entry for Eustace's fief (19,31). The jurors imply that the sheriff's predecessor did not confer title, supporting the claim of Countess Judith as heir to her husband, Earl Waltheof, Godric's lord."	Godric the priest likewise held 1 hide of land ^[in Boughton]^ from Earl Waltheof before 1066. Now Eustace ^[the sheriff]^ holds it.
280	9414	HC	D13	[Hail] Weston	1/2 hide	Eustace the sheriff	Eustace the sheriff	-	Godwin	Robert (son of) Fafiton	Eustace the sheriff	[Toseland Hundred]	"19,28"	"The jurors implicitly support the tenure of Eustace against a possible but unrecorded claim by Robert, who acquired another holding in Weston from Saxi (25,1)."	"They say that the land of Godwin in [Hail] Weston in no way belonged to Saxi, the predecessor of ^[Robert son of]^ Fafiton."
300	9415	HC	D14	Swineshead	3 1/2 hides	William of Warenne	Eustace the sheriff	-	Earl Harold	Eustace the sheriff?	William of Warenne?	['Leightonstone' Hundred]	"13,3"	"By emphasising Earl Harold's tenure of this dependency of Kimbolton, the jurors may be supporting Warenne's title against an unrecorded claim by Eustace the sheriff, his tenant."	"The men of the County testify that King Edward gave Swineshead to Earl Siward [and] full jurisdiction, and so Earl Harold had it in the same way except that [its men] paid tax in the Hundred, and went with them against the enemy."
320	9416	HC	D15	Swineshead	1/2 hide	Eustace the sheriff	Ralph	King Edward	Fursa	King William?	Eustace the sheriff	['Leightonstone' Hundred]	"19,11"	"The implication is that Fursa's land was not held with full jurisdiction, as stated in 19,11, and that Eustace's title was not well-founded."	"Concerning Fursa's land, it was a jurisdiction of the King [* in Swineshead *]."
340	9417	HC	D16	Pertenhall	1 virgate	Bishop of Lincoln	William	King Edward	Alwin Devil	King William	Bishop of Lincoln	['Leightonstone' Hundred]	"2,9"	"In 2,9 the  royal officers claim the virgate for the king's use; Pertenhall was possibly part of Kimbolton."	"Concerning Alwin Devil's 1 virgate of land in Pertenhall, King Edward had the jurisdiction."
360	9418	HC	D17	Catworth	1 hide	William of Warenne	Eustace the sheriff	King Edward	Young Wulfwin	Eustace the sheriff?	William of Warenne	['Leightonstone' Hundred]	"13,4?"	"In emphasising King Edward's jurisdiction and denying Harold's tenure, the jurors appear to impugn Warenne's title, possibly supporting an unrecorded claim by Eustace (the sheriff), his tenant: see also D10;18."	They say that the hide of land which Young Wulfwin had in Catworth was in the King's jurisdiction and that Earl Harold did not have it.
380	9419	HC	D18	Little Catworth	1 hide	William of Warenne	Thorth	King Edward	Young Wulfwin	Countess Judith	William of Warenne	['Leightonstone' Hundred]	"13,5"	"The jurors appear to be supporting a claim based upon jurisdiction buttressed by royal grant, against Warenne's rights to the dependencies of Kimbolton: see also D10;17."	In Little Catworth the same ^[Young]^ Wulfwin had 1 hide over which King Edward always had full jurisdiction; but he could give and sell the land to whom he would. But the Countess' ^[Judith]^ men say that the King gave the land to Earl Waltheof.
400	9420	HC	D19	Easton	1/3 of 1/2 hide	Abbey of Ely	Abbey of Ely	-	Abbey of Ely	Abbey of Ely	Eustace the sheriff	['Leightonstone' Hundred]	"4,4"	"The sheriff's depredation is not mentioned in the entry which records the abbey's holding in Easton (4,4)"	The County testifies that the third part of 1/2 hide which lies in Easton and pays tax in Bedfordshire belongs to the Abbot of Ely's manor of Spaldwick. The Abbot had it in the same way before 1066 and for 5 years after the arrival of King William. Eustace [* the sheriff *] seized this [land] by force from the church and kept it.
420	9421	HC	D20	Keyston	4 hides	King William	King William	-	King Edward	King William	Eustace the sheriff	['Leightonstone' Hundred]	"1,7"	"The sheriff's depredation is not mentioned in the entry which records the King's holding (1,7), where Ranulf son of Ilger is stated to be 'in charge'."	"They say that Keyston was and is [part] of King Edward's revenue; and although Aelfric the sheriff resided in that village, yet he always paid the King's revenue from it, and his sons after him, until Eustace ^[the sheriff]^ received the sheriffdom; they have never seen or heard of the sealed [writ] of ?r? King Edward's which had put it outside his revenue."
440	9422	HC	D21	[Great] Gidding	4.5 hides	Eustace the sheriff	Ingelrann	King Edward	Alwold and his brothers	Alwold and his brothers	Eustace the sheriff	['Leightonstone' Hundred]	"19,15"	"The claim is repeated in 19,15 where William the artificer also claimed part of the land; he held elsewhere in the vill (26,1)."	"Alwold and his brothers claim that Eustace ^[the sheriff]^ unjustly took away from them their land ^[in [Great] Gidding]^. The County denies that they have seen the seal, or an installer who had put him in possession of it."
460	9423	HC	D22	[Great] Gidding	-	King William	King William	-	King Edward	King William	Eustace the sheriff?	['Leightonstone' Hundred]	"1,6"	"The statement is repeated in 1,6. None of the holdings in Gidding are identified as outliers so the purpose of this pronouncement is unclear."	"In 1066 [Great] Gidding was an outlier of Alconbury, in the King's revenue."
480	9424	HC	D23	Buckworth	10 hides	(Robert) Count of Eu	(Robert) Count of Eu	-	(Earl) Tosti	Countess Judith	(Robert) Count of Eu	['Leightonstone' Hundred]	"10,1"	"Buckworth is recorded as a manor in 1086 (10,1). Paxton was held by Countess Judith (20,8) so the statement may imply a claim on her behalf, though none is recorded. Tosti held both Buckworth and Paxton before 1066"	The County testifies that Buckworth was an outlier of [Great] Paxton before 1066.
500	9425	HC	D24	Brampton	15 hides	King William	King William	-	King Edward	Richard the artificer	King William	['Leightonstone' Hundred]	"1,8"	Richard's holding is not recorded but was probably part of the royal manor of 15 hides (36  is an error). He was presumably trying to avoid paying dues on the grounds that his was exempt Forest land.	"They say that the 36 hides of land in Brampton, which Richard the artificer claims belong to the Forest, were [part] of the King's lordship revenue, and did not belong to the Forest."
520	9426	HC	D25	Grafham	5 hides	Eustace the sheriff	Eustace the sheriff	-	King Edward	King William	Eustace (the sheriff)	['Leightonstone' Hundred]	"19,22?"	"Eustace held 1/2 hide (possibly a duplicate of part of 1,9) in Grafham (19,22) which this statement could allude to and so also to the royal manor at 1,9."	They say that Grafham was and is a jurisdiction of the King's and that they have seen neither writ nor installer who had delivered it to Eustace [* the sheriff *].
540	9427	HC	D26	Conington	6 hides	Countess Judith	Countess Judith	Abbey of Thorney	Thorkil (the Dane)	Abbey of Thorney	Countess Judith	[Normancross Hundred]	"20,1"	"The bare facts are repeated in the entry in Countess Judith's fief, implicitly supporting the title of the abbey to 6 of the 9 hides of that entry."	"Concerning the 6 hides in Conington, they said that they had heard that they formerly lay in [the lands] of the Church of Thorney and that they had been granted to Thorkil [* the Dane *] on this condition that after his death they should return to the church with the other 3 hides of the same village. They said that they had heard but had not seen this, nor had they been involved in it."
560	9428	HC	D27	Sawtry	3 hides & 3 1/2 virgates	Eustace the sheriff	Walter (of Beaumais)	-	Tosti <of Sawtry>	Abbey of Ramsey	Eustace the sheriff	[Normancross Hundred]	"19,1"	"This land was held by Eustace (19,1), where there is no reference to this claim. The jurors support the title of the abbey against the tenure of Eustace and his tenant."	"Concerning the land of Tosti <of Sawtry> in Sawtry, they say that his brother Erik <of Tealby> bequeathed it by name to the Church of Ramsey after the death of himself, his brother and his sister."
580	9429	HC	D28	[Old] Fletton	5 hides	Abbey of Peterborough	Abbey of Peterborough	-	Abbey of Peterborough	Abbey of Peterborough	Abbey of Peterborough	[Normancross Hundred]	"8,1"	The abbey held the only holding in Fletton at both dates so it is unclear what prompted this affirmation of its title.	"Concerning [Old] Fletton, they say that in King Edward's day it all lay in [the lands of] the Church of Peterborough, and ought to lie there."
600	9430	HC	D29	Orton [Waterville]	3 hides & 1 virgate	Bishop of Lincoln	Bishop of Lincoln	Bishop of Dorchester	Leofric	Bishop of Lincoln	King William	[Normancross Hundred]	"2,6"	The Bishopric of Lincoln was established in 1072 so this detail is anachronistic.	"Concerning Leofric's land ^[in Orton [Waterville]]^, they say that it was in the King's jurisdiction, but Bishop Remigius has shown the writ of King Edward by which he gave Leofric, with all [his] land, to the Bishopric of Lincoln, with full jurisdiction."
640	17334	YC	CN1	Fyling_[Old_Hall]	1 carucate	Earl Hugh	William of Percy	-	Earl Siward	Earl Hugh	William of Percy	[North Riding {Maneshou} Wapentake]	"13N1. SN,L1"	"William of Percy held a carucate in Fyling on his own fief and another ar part of the manor of Whitby, held from Earl Hugh; the claim evidently relates to the former. YS accords a carucate each to Hugh and William"	"For copyright reasons, the text for Yorkshire cannot be displayed."
660	17335	YC	CN2	Stonegrave	6 bovates	Archbishop of York	Canons of York	-	Ulf	Ralph Payenel	Archbishop of York	[North Riding {Maneshou} Wapentake]	"2N15. SN,Ma21"	"The 6 bovates are recorded as a gift by Ulf to the Canons (2N15); Ralph held the remainder of the 6-carucate vill as a jurisdiction of his manor of Nunnington (16N1), acquired from Merleswein. YS agrees with DB about both Stonegrave holdings."	"For copyright reasons, the text for Yorkshire cannot be displayed."
680	17336	YC	CN3	Stokesley	6 carucates	Uhtred	Uhtred	-	Havarthr	Robert Malet	Uhtred	[North Riding {Maneshou} Wapentake]	"29N8-9. SN,L40"	"Apart from the royal lands (1N22-24;118;120-22. SN,L29-30. SN,A3-4) - all without tenants - Havarthr's only other holding was the manor of Stokesley (29N8) and its dependencies (29N9) held by Uhtred in DB but by the king in YS. See also CE34."	"For copyright reasons, the text for Yorkshire cannot be displayed."
700	17337	YC	CN4	[Sand] Hutton	7 carucates	Hugh son of Baldric	Wulfbert	-	Sprot	Robert Malet	Hugh son of Baldric	[North Riding `Bulford' Wapentake]	23N30	These 7 carucates were held by Hugh son of Baldric in DB; they do not appear to be recorded in YS. See also CE34.	"For copyright reasons, the text for Yorkshire cannot be displayed."
720	17338	YC	CN5	[Sheriff] Hutton	4 carucates	King William	King William	-	Thorulf & Thorkil & Thorsten	King William	Nigel Fossard	[North Riding `Bulford' Wapentake]	"1N87. SN,B3"	"This holding is recorded as royal land, without tenants in DB & YS. Nigel held elsewhere from the Count of Mortain in [Sheriff] Hutton (5N54 & SN,B3)."	"For copyright reasons, the text for Yorkshire cannot be displayed."
740	17339	YC	CE1	[South] Cliffe?	2 carucates	King William & Northmann?	King William & Northmann?	-	Basing	King William & Northmann?	Nigel Fossard	[East Riding Cave Wapentake]	"1Y6. 29E5. SE,C5"	"These 2 carucates are recorded in YS and may be the one carucate each attributed to the king (1Y6) and to Northmann (29E5) in DB; but see SE,C5 note to the printed text."	"For copyright reasons, the text for Yorkshire cannot be displayed."
760	17340	YC	CE2	Ellerton	2 carucates	Count of Mortain	Nigel Fossard	-	Barn & Ulf	King William	Nigel Fossard	[East Riding Cave Wapentake]	"5E24? SE,C8"	The holding of Barn and Ulf is not separately recorded in DB. YS attributed 2 carucates in Ellerton to both the King and the Count of Mortain but DB records only the Mortain holding (5E24).	"For copyright reasons, the text for Yorkshire cannot be displayed."
780	17341	YC	CE3	Middleton [on the Wolds]	1 carucate	Count of Mortain	Nigel Fossard	-	Mulagrimr	King William?	Nigel Fossard	[East Riding {Sneculfcros} Wapentake]	"SE,Sn1"	"YS attributes 12 carucates and 1 1/3 bovates to the Count of Mortain, of which 4 carucates and 2 bovates do not appear in DB; this holding is one of them though it might be included in 5E21; see also CE4-7."	"For copyright reasons, the text for Yorkshire cannot be displayed."
800	17342	YC	CE4	Middleton [on the Wolds]	1/2 carucate & 1/3 bovate	Count of Mortain	Nigel Fossard	-	King Edward	King William	Nigel Fossard	[East Riding {Sneculfcros} Wapentake]	"5E22. SE,Sn1"	"YS attributes 12 carucates and 1 1/3 bovates to the Count of Mortain, of which 4 carucates and 2 bovates do not appear in DB; this holding, however, is described in 5E22; see also CE3;5-7."	"For copyright reasons, the text for Yorkshire cannot be displayed."
820	17343	YC	CE5	Middleton [on the Wolds]	2 carucates & 5 bovates	Count of Mortain	Nigel Fossard	-	Gamal?	King William?	Hamelin	[East Riding {Sneculfcros} Wapentake]	"SE,Sn1"	"YS attributes 12 carucates and 1 1/3 bovates to the Count of Mortain, of which 4 carucates and 2 bovates do not appear in DB; this holding is one of them though it might be included in 5E21; see also CE3-4;6-7."	"For copyright reasons, the text for Yorkshire cannot be displayed."
840	17344	YC	CE6	Middleton [on the Wolds]	3 carucates & 5 bovates	Count of Mortain	Richard of Sourdeval	-	Aldgyth <of Middleton>	King William?	Richard of Sourdeval	[East Riding {Sneculfcros} Wapentake]	"5E27. SE,Sn1"	"YS attributes 12 carucates and 1 1/3 bovates to the Count of Mortain, of which 4 carucates and 2 bovates do not appear in DB; this holding, however, is described in 5E27 where title is also denied; see also CE3-5;7."	"For copyright reasons, the text for Yorkshire cannot be displayed."
860	17345	YC	CE7	Middleton [on the Wolds]	6 bovates	Count of Mortain	Richard of Sourdeval	-	King Edward	King William	Richard of Sourdeval	[East Riding {Sneculfcros} Wapentake]	"5E28. SE,Sn1"	"This holding is described in 5E28 which states that Richard 'has the land, but the King does not have the jurisdiction', meaning that it had been withheld, or 'not returned', by Richard."	"For copyright reasons, the text for Yorkshire cannot be displayed."
880	17346	YC	CE8	[North] Dalton	2 carucates & 1 bovate	Count of Mortain	Nigel Fossard	-	Northmann	King William	Nigel Fossard	[East Riding Warter Wapentake]	"5E43? SE,Wa2?"	"Nigel had 8 carucates in Dalton (acquired from Northmann and others) according to DB, 6 in YS, where the King is accorded 3.625 carucates not described in DB; Northmann's share may have been included in this though the totals still do not match exactly."	"For copyright reasons, the text for Yorkshire cannot be displayed."
900	17347	YC	CE9	Naburn	2 carucates	King William	King William	-	Thorkil	King William	Robert Malet	[East Riding Warter Wapentake]	"1E8. SE,Wa1"	The 2 carucates are recorded as held by the king in both DB and YS.	"For copyright reasons, the text for Yorkshire cannot be displayed."
920	17348	YC	CE10	Croom [House]	2 carucates	King William	King William	-	Mylnugrimr	King William	Nigel Fossard	[East Riding {Toreshou} Wapentake]	"1E58. 5E73. SE,Th8"	"The same facts are recorded in the entry on the fief of the Count of Mortain (5E73). YS attributed 4 carucates in Croom to the king, this holding (1E58) and another of 2 carucates (1E59)."	"For copyright reasons, the text for Yorkshire cannot be displayed."
940	17349	YC	CE11	[Cherry] Burton	1 carucate	Count of Mortain	Nigel Fossard	-	(Earl) Morcar	Canons of Beverley	Nigel Fossard	[East Riding {Sneculfcros} Wapentake]	5.00E+37	"The DB entry agrees with these statements. DB attributes a manor of 12.75 carucates to the Canons; YS 14.25 (SE,Sn7), which may therefore include this carucate though the totals still do not match. Earl Morcar had held Welton (3Y1)."	"For copyright reasons, the text for Yorkshire cannot be displayed."
960	17350	YC	CE12	Belby [House]	4 bovates	King William	King William	-	Orm & Basing	King William	Bishop of Durham	[East Riding Howden Wapentake]	"1E2. SE,How7"	These 4 bovates are attributed to the king in both DB and YS.	"For copyright reasons, the text for Yorkshire cannot be displayed."
980	17351	YC	CE13	Brantingham & [North] Cave	-	Count of Mortain	Nigel Fossard	-	Northmann son of Ulf & Ulf the deacon	Robert Malet	Nigel Fossard	[East Riding Cave Wapentake]	"5E1;9. SE,C2. SE,Wel6."	Ulf had held part of North Cave (5E1) but Brantingham is recorded as Ulfkil's (5E9). Both Nigel and Malet had predecessors named Ulf and Northmann; several other Malet claims relate to land held by a Northmann: see also CE23;34.	"For copyright reasons, the text for Yorkshire cannot be displayed."
1000	17352	YC	CE14	Lund	3 1/2 bovates	Gilbert Tison	Gilbert Tison	-	Alwin	Ralph of Mortimer	Gilbert Tison	[East Riding Hessle Wapentake]	"15E5. 21E5. SE,He8"	"DB attributes to Ralph and Gilbert holdings in both vills from the named predecessors, of 2 1/2 carucates and 1 1/2 carucates respectively; YS agrees."	"For copyright reasons, the text for Yorkshire cannot be displayed."
1020	17353	YC	CE15	-	-	William of Percy & Gamal	William of Percy & Gamal	-	Asa	Robert Malet	William of Percy & Gamal	[East Riding] & Yorkshire	"13E5;10-11. 29E13. SE,Sn9. SE,P1-2. SE,Bt3"	"The recorded holdings of Asa were held by William of Percy and Gamal in DB, the Percy holdings being also recorded in YS where Gamal's is subsumed in that of the king; see also CE26;31;34."	"For copyright reasons, the text for Yorkshire cannot be displayed."
1040	17354	YC	CE16	Burland [House]	1 carucate	Bishop of Durham	Bishop of Durham	-	King Edward	Gilbert Tison	Bishop of Durham	[East Riding Howden Wapentake]	"SE,How2"	The bishop's holding in Burland is recorded in YS but not in DB proper though the account of Howden includes its jurisdictions (3Y4).	"For copyright reasons, the text for Yorkshire cannot be displayed."
1060	17355	YC	CE17	Belby [House]	14 bovates	Bishop of Durham	Bishop of Durham	-	Muli & Egbrand & Basing & Orm	Bishop of Durham	Robert Malet	[East Riding Howden Wapentake]	"3Y5. SE,How4"	"The bishop's holding is recorded in DB and subsumed with another of his holdings (3Y4) is YS. Muli, Orm and Basing are recorded as predecessors of Robert Malet (11E2;5)."	"For copyright reasons, the text for Yorkshire cannot be displayed."
1080	17356	YC	CE18	Aughton	6 carucates	Count of Mortain	Nigel Fossard	-	Ernwin the priest	Ernwin the priest	Nigel Fossard	[East Riding Cave Wapentake]	"5E7. SE,C8"	Aughton is recorded as held by Nigel in both DB and YS; Ernwin had held it before 1066.	"For copyright reasons, the text for Yorkshire cannot be displayed."
1100	17357	YC	CE19	North Duffield	7 carucates (and 2 bovates)	Count of Mortain	Nigel Fossard	-	King Edward	Robert Malet	Nigel Fossard	[East Riding Howden Wapentake]	"5E13. SE,How8"	"Both DB & YS record Nigel's holding, though give its size as 7 carucates and 2 bovates. See also CE34."	"For copyright reasons, the text for Yorkshire cannot be displayed."
1120	17358	YC	CE20	South Duffield	8 carucates	Count of Mortain	Nigel Fossard	-	5 brothers	Robert Malet	Nigel Fossard	[East Riding Acklam Wapentake]	"5E11;26? SE,How8"	"DB and YS record a Mortain holding of 7 carucates and 5 bovates; DB additionally records 14 bovates in both Daltons, half of which would make this 8 carucates. Neither source records a connection with the royal manor of Pocklington (1Y10). See also CE34."	"For copyright reasons, the text for Yorkshire cannot be displayed."
1140	17359	YC	CE21	Cliffe & Osgodby	6 carucates	Count of Mortain	Nigel Fossard	-	King Edward & Northmann & Toki	Robert Malet	Nigel Fossard	[East Riding Howden Wapentake]	"5E14-15;17. SE,How7;9"	"DB and YS attribute both holdings to the Mortain fief though DB is 1/2 bovate short in Osgodby. Both holdings had some dependency on Howden, the bishop of Durham's manor, but no apparent Malet connection unless it be through Northmann. See also CE34."	"For copyright reasons, the text for Yorkshire cannot be displayed."
1160	17360	YC	CE22	Sancton	7 1/2 carucates	Gilbert Tison	3 men-at-arms	-	Northmann	Robert Malet	Gilbert Tison	[East Riding Weighton Wapentake]	"21E10. SE,Wei3"	"Both DB & YS attribute 15 carucates in Sancton to Gilbert, held by Northmann, a predecessor of Robert Malet elsewhere (11E3). Robert also held a jurisdiction in the vill (11E8). See also CE34."	"For copyright reasons, the text for Yorkshire cannot be displayed."
1180	17361	YC	CE23	-	-	-	-	-	Northmann son of Maelcolumban	Robert Malet	-	Yorkshire	-	"Malet was named in several of the 14 claims relating to a Northmann. In the East Riding, the Count of Mortain and William of Percy succeeded to the bulk of the lands held by a Northmann but several other tenants-in-chief had an interest. See also CE34."	"For copyright reasons, the text for Yorkshire cannot be displayed."
1200	17362	YC	CE24	Welton? & Gardham	6 carucates & 2 bovates	Bishop of Durham	Bishop of Durham	-	Canons of Beverley	Bishop of Durham	Canons of Beverley	[East Riding {Sneculfcros} Wapentake]	"3Y1. SE,Sn8"	"DB & YS attribute Welton & Gardham to the bishop and do not mention the Canons' claim. The carucate in Gardham is recorded in DB and YS, and the 5 carucates and 2 bovates presumably subsumed in the total given for Welton in both."	"For copyright reasons, the text for Yorkshire cannot be displayed."
1220	17363	YC	CE25	{Ianulfestorp}	2 bovates	William of Percy	William of Percy	-	Healfdene	Archbishop of York	William of Percy	[East Riding {Sneculfcros} Wapentake]	"13E6. SE,Sn9"	The holding is attributed to William of Percy in both DB and YS; the archbishop and Canons had a manor in Clifton (C30).	"For copyright reasons, the text for Yorkshire cannot be displayed."
1240	17364	YC	CE26	Scoreby [Manor] & {Ianulfestorp} & Dunnington	6 carucates & 14 bovates	William of Percy	William of Percy	-	Northmann & Healfdene	Robert Malet	William of Percy	[East Riding {Sneculfcros} Wapentake]	"13E5-7. SE,Sn9-10"	These holdings are attributed to William of Percy in both DB and YS; see also CE15;31. Several other Malet claims relate to land held by a Northmann: see CE23;34.	"For copyright reasons, the text for Yorkshire cannot be displayed."
1260	17365	YC	CE27	Grimston	2 carucates	Count of Mortain	Nigel Fossard	-	Sunnulfr	William of Percy & Ernwin the priest	Nigel Fossard	[East Riding {Sneculfcros} Wapentake]	"5E38. SE,Sn10"	"Both DB and YS attribute the 2 carucates to the Mortain fief; William of Percy held a carucate in the same vill (13E8. SE,Sn10)."	"For copyright reasons, the text for Yorkshire cannot be displayed."
1280	17366	YC	CE28	Thorpe [le Street]	6 bovates	Gilbert Tison	Gilbert Tison	-	Alwin	Archbishop of York	Gilbert Tison	[East Riding Pocklington Wapentake]	"21E12. SE,P3"	Both DB & YS attribute these 6 bovates to Gilbert Tison; the basis of the archbishop's claim is not apparent.	"For copyright reasons, the text for Yorkshire cannot be displayed."
1300	17367	YC	CE29	Elvington	6 carucates	William of Percy	Alulf	-	Ulfkil	Robert Malet	William of Percy	[East Riding Pocklington Wapentake]	"13E14. SE,P7"	Both DB & YS attribute these 6 carucates to William of Percy. See also CE34.	"For copyright reasons, the text for Yorkshire cannot be displayed."
1320	17368	YC	CE30	Wheldrake	4 carucates	William of Percy	William of Colleville	-	Northmann	Robert Malet	William of Percy	[East Riding Pocklington Wapentake]	"13E13. SE,P7"	Neither DB nor YS mention the jurisdiction in Clifton; both attribute the whole vill of 6 carucates and 6 bovates to William of Percy. Several other Malet claims relate to land held by a Northmann: see CE23;34.	"For copyright reasons, the text for Yorkshire cannot be displayed."
