struct_idx	county	phillimore	overlord_66	lord_66	holding	units	value_66	v_66_code	waste_66	idx_overlord_66	idx_lord_66
112	KEN	"2,24"	-	"Canterbury (Christ Church), archbishop of"	1	geld	11	-	N		135500
113	KEN	"2,25"	-	"Canterbury (Christ Church), archbishop of"	0.25	geld	12	-	N		135500
113	KEN	"2,25"	"Canterbury (Christ Church), archbishop of"	Alfhere	1.5	geld	8	-	N	135500	33000
114	KEN	"2,26"	-	"Canterbury (Christ Church), archbishop of"	7	geld	24	-	N		135500
115	KEN	"2,27"	"Canterbury (Christ Church), archbishop of"	Leofric	1	geld	5	-	N	135500	334150
117	KEN	"2,28"	-	"Canterbury (Christ Church), archbishop of"	1	geld	7	-	N		135500
118	KEN	"2,29"	-	"Canterbury (Christ Church), archbishop of"	6	geld	16	-	N		135500
119	KEN	"2,30"	-	"free man, one"	0.75	geld	2	-	N		643050
120	KEN	"2,31"	"Canterbury (Christ Church), archbishop of"	Abbot Alnoth	1.5	geld	10	-	N	135500	50700
121	KEN	"2,32"	"Canterbury (Christ Church), archbishop of"	Alfhere	2.5	geld	10	-	N	135500	33000
122	KEN	"2,33"	"Canterbury (Christ Church), archbishop of"	Ratel	0.5	geld	2	-	N	135500	426900
123	KEN	"2,34"	"Canterbury (Christ Church), archbishop of"	deacon of Canterbury	1	geld	1.5	-	N	135500	640350
124	KEN	"2,35"	-	"Canterbury (Christ Church), archbishop of"	1	geld	5	-	N		135500
125	KEN	"2,36"	-	"Canterbury (Christ Church), archbishop of"	2	geld		1086 value	N		135500
126	KEN	"2,37"	"Canterbury (Christ Church), archbishop of"	Osward (of Norton)	0.5	geld	1.5	-	N	135500	395060
127	KEN	"2,38"	-	"Canterbury (Christ Church), archbishop of"	0.25	geld		1086 value	N		135500
128	KEN	"2,39"	"Canterbury (Christ Church), archbishop of"	Godwin	0.5	geld	1	equal	N	135500	241950
128	KEN	"2,39"	"Canterbury (Christ Church), archbishop of"	Leofnoth	0.5	geld	1	equal	N	135500	332150
129	KEN	"2,40"	-	"Canterbury (Christ Church), archbishop of"	1	geld	1	-	N		135500
130	KEN	"2,41"	-	Earl Godwin	7	geld	16	-	N		244550
131	KEN	"2,42"	-	Godric the deacon	0.5	geld	3	-	N		239100
132	KEN	"2,43"	-	Earl Godwin	1.5	geld	10	-	N		244550
134	KEN	"3,1"	-	"Canterbury (Christ Church), archbishop of"	3	geld	15	-	N		135500
135	KEN	"3,2"	King Edward	Edric (of Elham)	0.5	geld		not separately valued	N	171350	166930
135	KEN	"3,2"	-	"Canterbury (Christ Church), archbishop of"	5.5	geld	12	-	N		135500
136	KEN	"3,3"	-	"Canterbury (Christ Church), archbishop of"	6	geld	20	-	N		135500
137	KEN	"3,4"	-	"Canterbury (Christ Church), archbishop of"	10	geld	15.5	-	N		135500
138	KEN	"3,5"	-	"Canterbury (Christ Church), archbishop of"	6	geld	16	-	N		135500
139	KEN	"3,6"	-	"Canterbury (Christ Church), archbishop of"	3.5	geld	6	-	N		135500
140	KEN	"3,7"	-	"Canterbury (Christ Church), archbishop of"	20	geld	20	-	N		135500
141	KEN	"3,8"	-	"Canterbury (Christ Church), archbishop of"	4	geld	22	-	N		135500
142	KEN	"3,9"	-	"Canterbury (Christ Church), archbishop of"	1	geld	17	-	N		135500
143	KEN	"3,10"	-	"Canterbury (Christ Church), archbishop of"	2	ploughlands	1.25	-	N		135500
144	KEN	"3,11"	-	"Canterbury (Christ Church), archbishop of"	1	geld	10	-	N		135500
145	KEN	"3,12"	-	"Canterbury (Christ Church), archbishop of"	4	geld	12	-	N		135500
146	KEN	"3,13"	-	"Canterbury (Christ Church), archbishop of"	8	geld	12	-	N		135500
147	KEN	"3,14"	-	"Canterbury (Christ Church), archbishop of"	3	geld	12	-	N		135500
148	KEN	"3,15"	-	"Canterbury (Christ Church), archbishop of"	3	geld	5	-	N		135500
149	KEN	"3,16"	-	"Canterbury (Christ Church), archbishop of"	7	geld	17.56	-	N		135500
150	KEN	"3,17"	-	"Canterbury (Christ Church), archbishop of"	7.79	geld	26.51	-	N		135500
151	KEN	"3,18"	-	"Canterbury (Christ Church), archbishop of"	17	geld	40	-	N		135500
152	KEN	"3,19"	-	"Canterbury (Christ Church), archbishop of"	1	geld	1	-	N		135500
153	KEN	"3,20"	-	"Canterbury (Christ Church), archbishop of"	2	geld	6	-	N		135500
154	KEN	"3,21"	-	"Canterbury (Christ Church), archbishop of"	1	geld	2.5	-	N		135500
155	KEN	"3,22"	-	"Canterbury (Christ Church), archbishop of"	1	geld	3.15	-	N		135500
156	KEN	"3,23"	-	"Canterbury (Christ Church), archbishop of"		-		-	N		135500
158	KEN	"4,1"	-	"Rochester (St Andrew), bishop of"	6	geld	11	-	N		460700
159	KEN	"4,2"	-	"Rochester (St Andrew), bishop of"	6	geld	13	-	N		460700
160	KEN	"4,3"	-	"Rochester (St Andrew), bishop of"	2	geld	7	-	N		460700
161	KEN	"4,4"	-	Ansketil the priest	1	geld	3.5	-	N		86050
162	KEN	"4,5"	-	"Rochester (St Andrew), bishop of"	6	geld	12.5	-	N		460700
163	KEN	"4,6"	-	"Rochester (St Andrew), bishop of"	6	geld	8	-	N		460700
164	KEN	"4,7"	-	"Rochester (St Andrew), bishop of"	3	geld	2	-	N		460700
165	KEN	"4,8"	-	"Rochester (St Andrew), bishop of"	3	geld	3	-	N		460700
166	KEN	"4,9"	-	"Rochester (St Andrew), bishop of"	6	geld	6	-	N		460700
167	KEN	"4,10"	-	"Rochester (St Andrew), bishop of"	2.5	geld	4.5	-	N		460700
168	KEN	"4,11"	-	"Rochester (St Andrew), bishop of"	2	geld	5	-	N		460700
169	KEN	"4,12"	-	"Rochester (St Andrew), bishop of"	6	geld	7	-	N		460700
170	KEN	"4,13"	-	"Rochester (St Andrew), bishop of"	10	geld	8	-	N		460700
171	KEN	"4,14"	-	"Rochester (St Andrew), bishop of"	2	geld	6	-	N		460700
172	KEN	"4,15"	-	"Rochester (St Andrew), bishop of"	0	-	3	-	N		460700
173	KEN	"4,16"	-	Earl Godwin	5	geld	8.08	-	N		244550
175	KEN	"5,1"	-	-	0.5	geld		1086 value	N		
176	KEN	"5,2"	-	-	10	geld	20	-	N		
177	KEN	"5,3"	-	"woman, one"	1	geld	3	-	N		683100
178	KEN	"5,4"	King Edward	Leofstan	0.5	geld	4	-	N	171350	339300
179	KEN	"5,5"	King Edward	Estan <of Farningham>	0.5	geld	4	-	N	171350	192350
180	KEN	"5,6"	King Edward	Siward	1	geld	3	-	N	171350	494100
181	KEN	"5,7"	King Edward	Godric	3	geld	7	-	N	171350	235450
181	KEN	"5,7"	King Edward	"men, two"	0.5	geld	1	-	N	171350	665950
182	KEN	"5,8"	King Edward	Brictsi the noble	1	geld		QR value	N	171350	125250
183	KEN	"5,9"	King Edward	Bruning	0.5	geld	3	-	N	171350	129600
184	KEN	"5,10"	-	Brunsunu	0.12	geld	0.75	-	N		130550
185	KEN	"5,11"	-	Alfred	0.5	geld	0.8	-	N		34800
186	KEN	"5,12"	-	Siward Sot	0.5	geld	3	-	N		496500
187	KEN	"5,13"	-	Estan <of Farningham>	0.62	geld	4	-	N		192350
188	KEN	"5,14"	(Earl) Harold	Wulfstan	0.5	geld	3	-	N	269450	622950
189	KEN	"5,15"	-	Deoring	0.75	geld	3	-	N		146500
190	KEN	"5,16"	King Edward	Aelfric	0.5	geld	5	-	N	171350	6700
191	KEN	"5,17"	King Edward	Osgeard <of Darenth>	0.5	geld	3	-	N	171350	390000
192	KEN	"5,18"	Brictsi (the noble)	Godel	1	geld	4	-	N	125260	229200
192	KEN	"5,18"	King Edward	Ording (of Horton)	0.5	geld	2	-	N	171350	381300
192	KEN	"5,18"	(Earl) Harold	Alward (the noble)	1	geld	4	-	N	269450	65685
193	KEN	"5,19"	-	Azur	10	geld	20	-	N		98050
194	KEN	"5,20"	King Edward	Eskil	1	geld	3	-	N	171350	190700
195	KEN	"5,21"	King Edward	Brictsi the noble	2.25	geld	10	-	N	171350	125250
196	KEN	"5,22"	King Edward	Alward (the noble)	1	geld	4	-	N	171350	62450
197	KEN	"5,23"	King Edward	Toki	2	geld	16	-	N	171350	531950
198	KEN	"5,24"	King Edward	Toli	1	geld	6	-	N	171350	533350
199	KEN	"5,25"	King Edward	Godric son of Karli	1	geld	8	-	N	171350	238950
200	KEN	"5,26"	King Edward	Brictsi the noble	7	geld	30	-	N	171350	125250
201	KEN	"5,27"	King Edward	Leofric	0.5	geld	4	-	N	171350	334150
202	KEN	"5,28"	Alnoth the noble (of Kent)	Alwin	0.5	geld	4	-	N	50830	66950
203	KEN	"5,29"	-	Earl Harold	1	geld	4	equal	N		269400
203	KEN	"5,29"	-	Brictsi (the noble)	1	geld	4	equal	N		125260
204	KEN	"5,30"	King Edward	Aethelwold (of Eltham)	1.5	geld	16	-	N	171350	19710
205	KEN	"5,31"	King Edward	Eskil	1	geld	5	-	N	171350	190700
206	KEN	"5,32"	King Edward	Alwin	0.5	geld	3	-	N	171350	66950
207	KEN	"5,33"	King Edward	Godwin brother of Alward	0.5	geld	3.5	equal	N	171350	244150
207	KEN	"5,33"	King Edward	Alward (the noble)	0.5	geld	3.5	equal	N	171350	65685
208	KEN	"5,34"	King Edward	Godwin Foot	0.5	geld	4	-	N	171350	245250
209	KEN	"5,35"	King Edward	Alwin	1.25	geld	5	-	N	171350	66950
210	KEN	"5,36"	-	-	4	geld	20	-	N		
211	KEN	"5,37"	King Edward	Esbiorn Bicga	0.5	geld	3	-	N	171350	188800
212	KEN	"5,38"	"Canterbury (Christ Church), archbishop of"	Bondi (the constable)	1.5	geld	8	-	N	135500	115325
213	KEN	"5,39"	King Edward	Eskil	2	geld	9	-	N	171350	190700
214	KEN	"5,40"	Earl Godwin	Thorgisl	2	geld	8	-	N	244550	521850
215	KEN	"5,41"	Alnoth the noble (of Kent)	Wulfric	1	geld	5	-	N	50830	617400
216	KEN	"5,42"	King Edward	Esbiorn (Bicga)	1	geld	8	-	N	171350	188810
217	KEN	"5,43"	-	Leofwin	0.37	equal	1	equal	N		341150
217	KEN	"5,43"	-	Wulfwin	0.37	equal	1	equal	N		627300
218	KEN	"5,44"	-	Alnoth the noble (of Kent)	0.75	geld	3	-	N		51275
219	KEN	"5,45"	King Edward	Godric	0.5	geld	1	-	N	171350	235450
220	KEN	"5,46"	King Edward	Aelfric	2.5	geld	8	-	N	171350	6700
221	KEN	"5,47"	King Edward	Godric	1	geld	2	-	N	171350	235450
222	KEN	"5,48"	-	Earl Leofwin	1	geld	3	-	N		343700
223	KEN	"5,49"	King Edward	Wulfnoth	0.5	geld	1.5	-	N	171350	615700
224	KEN	"5,50"	King Edward	Godwin	0.25	geld	0.5	-	N	171350	241950
225	KEN	"5,51"	King Edward	Alred (of Yalding)	2.5	geld	8	-	N	171350	51850
226	KEN	"5,52"	-	Earl Leofwin	1.75	geld	4	-	N		343700
227	KEN	"5,53"	-	Earl Leofwin	2.62	geld	6	-	N		343700
228	KEN	"5,54"	-	Godwin	0.75	equal	3.33	equal	N		241950
228	KEN	"5,54"	-	Leofric	0.75	equal	3.33	equal	N		334150
228	KEN	"5,54"	-	Wulfwin	0.75	equal	3.33	equal	N		627300
229	KEN	"5,55"	King Edward	Wulfstan	2	geld	4	-	N	171350	622950
230	KEN	"5,56"	Alnoth the noble (of Kent)	Wulfric	1	geld	5	-	N	50830	617400
231	KEN	"5,57"	King Edward	Esbiorn Bicga	6	geld	12	-	N	171350	188800
232	KEN	"5,58"	-	Earl Leofwin	6	geld	10	-	N		343700
233	KEN	"5,59"	-	Earl Leofwin	2	geld	12	-	N		343700
234	KEN	"5,60"	King Edward	Edeva (the fair)	6	geld	30	-	N	171350	157560
235	KEN	"5,61"	-	"free men, two"	0.5	geld		1086 value	N		652350
236	KEN	"5,62"	King Edward	Edeva (the fair)	0.25	geld	0.75	-	N	171350	157560
237	KEN	"5,63"	King Edward	Osward (of Norton)	2	geld	10	-	N	171350	395060
238	KEN	"5,64"	Earl Godwin	Alwin	1	geld	4	-	N	244550	66950
239	KEN	"5,65"	Earl Godwin	Alwin	0.25	geld	1	-	N	244550	66950
240	KEN	"5,66"	King Edward	(Earl) Leofwin	1	geld	1	-	N	171350	343720
241	KEN	"5,67"	-	Earl Leofwin	3	geld	16	-	N		343700
242	KEN	"5,68"	King Edward	Godwin	1	equal	2	equal	N	171350	241950
242	KEN	"5,68"	King Edward	Alwin	1	equal	2	equal	N	171350	66950
243	KEN	"5,69"	King Edward	Aelfeva	2	geld	4	-	N	171350	4500
244	KEN	"5,70"	King Edward	Osward (of Norton)	3	geld	9	-	N	171350	395060
245	KEN	"5,71"	-	Earl Leofwin	4	geld	12	-	N		343700
246	KEN	"5,72"	-	Alnoth the noble (of Kent)	3	geld	12	-	N		51275
247	KEN	"5,73"	King Edward	Leofnoth	1.5	geld	10	-	N	171350	332150
248	KEN	"5,74"	King Edward	Thorgisl	2	geld	6	-	N	171350	521850
249	KEN	"5,75"	King Edward	Thorgisl	1.5	geld	3	-	N	171350	521850
250	KEN	"5,76"	King Edward	Alward (the noble)	0.5	geld	0.5	-	N	171350	65685
251	KEN	"5,77"	King Edward	Godric	0.5	geld	1	-	N	171350	235450
252	KEN	"5,78"	King Edward	Edith	1	geld	4	-	N	171350	158650
253	KEN	"5,79"	Earl Godwin	Alwin	1	geld	8	-	N	244550	66950
254	KEN	"5,80"	King Edward	Edwin	1	geld	4	-	N	171350	174600
255	KEN	"5,81"	King Edward	Wulfgeat	0.5	geld	5	-	N	171350	610400
256	KEN	"5,82"	King Edward	Wulfgeat	0.5	geld	2	-	N	171350	610400
257	KEN	"5,83"	King Edward	Alwin	1.25	geld	4	-	N	171350	66950
258	KEN	"5,84"	Earl Godwin	Aelfric	1	geld	3	-	N	244550	6700
259	KEN	"5,85"	Earl Godwin	Alwin	1	geld	4	-	N	244550	66950
260	KEN	"5,86"	King Edward	Esbiorn Bicga	3	geld	10	-	N	171350	188800
261	KEN	"5,87"	King Edward	Esbiorn Bicga	1	geld	1.5	-	N	171350	188800
262	KEN	"5,88"	-	-	0.5	geld	2	-	N		
263	KEN	"5,89"	-	Earl Godwin	6	geld	12	-	N		244550
264	KEN	"5,90"	King Edward	Godric	1.25	geld	3	-	N	171350	235450
265	KEN	"5,91"	King Edward	Osward (of Norton)	1	geld	5	-	N	171350	395060
266	KEN	"5,92"	King Edward	Eskil	2	geld	5	-	N	171350	190700
267	KEN	"5,93"	-	Earl Godwin	50	geld	69.5	-	N		244550
268	KEN	"5,94"	King Edward	Godric	0.25	geld	0.3	-	N	171350	235450
269	KEN	"5,95"	King Edward	Alnoth the noble (of Kent)	1	geld	8	-	N	171350	51275
270	KEN	"5,96"	King Edward	Northmann <of Mereworth>	3	geld	8	-	N	171350	372060
271	KEN	"5,97"	King Edward	Leofeva	2	geld	2	-	N	171350	327600
272	KEN	"5,98"	King Edward	Godhild <of Greensted>	2	geld	4	-	N	171350	231700
273	KEN	"5,99"	King Edward	"brothers, three"	1	geld	5	-	N	171350	636750
274	KEN	"5,100"	Alnoth the noble (of Kent)	Godric	0.25	geld	1	-	N	50830	235450
275	KEN	"5,101"	-	-	0.25	geld	0.75	-	N		
276	KEN	"5,102"	-	Alnoth the noble (of Kent)	7	geld	25	-	N		51275
277	KEN	"5,103"	-	Edwin	0.75	equal	1	equal	N		174600
277	KEN	"5,103"	-	Godwin	0.75	equal	1	equal	N		241950
278	KEN	"5,104"	-	Godwin son of Dudemann	4	geld	7	-	N		246700
279	KEN	"5,105"	-	Godwin son of Karli	2.5	equal	6	equal	N		246900
279	KEN	"5,105"	-	Toli	2.5	equal	6	equal	N		533350
280	KEN	"5,106"	Earl Leofwin	Wulfwin	1.5	geld	2	-	N	343700	627300
281	KEN	"5,107"	Earl Leofwin	Wulfwin	0.5	geld	0.5	-	N	343700	627300
282	KEN	"5,108"	Earl Harold	Hunef <of Oakleigh>	1	geld	2	-	N	269400	302950
283	KEN	"5,109"	Earl Godwin	Godwin	0.5	geld	1	-	N	244550	241950
284	KEN	"5,110"	King Edward	Ordric brother of Aelfric	0.25	equal	0.75	equal	N	171350	382750
284	KEN	"5,110"	King Edward	Aelfric brother of Ordric	0.25	equal	0.75	equal	N	171350	9000
285	KEN	"5,111"	King Edward	Osward (of Norton)	0.75	geld	2.5	-	N	171350	395060
286	KEN	"5,112"	-	-	0.25	geld	1	-	N		
287	KEN	"5,113"	King Edward	God	0.5	geld	1	-	N	171350	226950
288	KEN	"5,114"	King Edward	Wulfward White (the noble)	0.5	geld	0.5	-	N	171350	626100
289	KEN	"5,115"	King Edward	Osward (of Norton)	3.5	geld	7	-	N	171350	395060
290	KEN	"5,116"	-	Osward (of Norton)	2	geld		1086 value	N		395060
291	KEN	"5,117"	-	Osward (of Norton)	0.87	geld		1086 value	N		395060
292	KEN	"5,118"	-	Osward (of Norton)	2	geld	7	-	N		395060
293	KEN	"5,119"	-	-	6	geld	18	-	N		
294	KEN	"5,120"	King Edward	Edwin	2	geld	7	-	N	171350	174600
295	KEN	"5,121"	King Edward	Alred (of Yalding)	0.25	geld	3	-	N	171350	51850
296	KEN	"5,122"	King Edward	(Earl) Leofwin	2	geld	12	-	N	171350	343720
297	KEN	"5,123"	King Edward	Azur	1	geld	6	-	N	171350	98050
298	KEN	"5,124"	King Edward	Alfred Bicga	4	geld	25	-	N	171350	35550
298	KEN	"5,124"	King Edward	Sired (of Chilham)	0.5	carucates	3	-	N	171350	492660
299	KEN	"5,125"	-	burgesses of Canterbury	0	-		1086 value	N		638200
300	KEN	"5,126"	-	burgesses of Canterbury	0.5	geld	3	-	N		638200
301	KEN	"5,127"	-	burgesses of Canterbury	0.5	geld	5	-	N		638200
302	KEN	"5,128"	-	Earl Godwin	40	geld	110	-	N		244550
303	KEN	"5,129"	King Edward	Edric (of Elham)	6	geld	30	-	N	171350	166930
304	KEN	"5,130"	King Edward	Thorgisl	0.12	geld	0.5	-	N	171350	521850
305	KEN	"5,131"	-	-	0.5	geld	1	-	N		
306	KEN	"5,132"	-	-	0.25	geld	0.5	-	N		
307	KEN	"5,133"	-	-	0.25	geld		-	N		
308	KEN	"5,134"	King Edward	Alnoth the noble (of Kent)	3	geld	9	-	N	171350	51275
309	KEN	"5,135"	-	Alwin	1	geld	3	-	N		66950
310	KEN	"5,136"	King Edward	"free men, two"	1	geld	3	-	N	171350	652350
311	KEN	"5,137"	King Edward	Wulfric	0.12	geld	0.2	-	N	171350	617400
312	KEN	"5,138"	King Edward	Archbishop Stigand	6	geld	40	-	N	171350	505050
313	KEN	"5,139"	King Edward	Edward Snook	0.5	geld	1.05	-	N	171350	173150
314	KEN	"5,140"	King Edward	Wulfsi	0.25	geld	0.5	-	N	171350	621450
315	KEN	"5,141"	King Edward	Thorgisl	2	geld	4	-	N	171350	521850
316	KEN	"5,142"	Earl Godwin	Thorgisl	2	geld	3	-	N	244550	521850
317	KEN	"5,143"	King Edward	Osward (of Norton)	4	geld	8	-	N	171350	395060
318	KEN	"5,144"	King Edward	Sired (of Chilham)	5	geld	40	-	N	171350	492660
319	KEN	"5,145"	-	-	7.5	geld	20	-	N		
320	KEN	"5,146"	-	-	1	geld	3	-	N		
321	KEN	"5,147"	King Edward	Burgnoth	1	geld	4	-	N	171350	131950
322	KEN	"5,148"	-	Saewold <of Macknade>	0.25	geld	0.2	-	N		478700
323	KEN	"5,149"	"Canterbury (St Augustine), abbey of"	Godric Wisce	1	geld	3	-	N	135200	240600
324	KEN	"5,150"	King Edward	Wulfwy	0.25	geld	0.8	-	N	171350	630400
325	KEN	"5,151"	King Edward	Wulfeva	0.5	geld	1.2	-	N	171350	608050
326	KEN	"5,152"	King Edward	Leofward	0.25	geld	1	-	N	171350	339950
326	KEN	"5,152"	King Edward	Saeward	0.75	geld	4	-	N	171350	477050
327	KEN	"5,153"	King Edward	Osward (of Norton)	0.75	geld	0.5	-	N	171350	395060
328	KEN	"5,154"	King Edward	Leofwold	0.25	geld	1	-	N	171350	346350
329	KEN	"5,155"	King Edward	Wulfnoth	3	geld	7	-	N	171350	615700
330	KEN	"5,156"	-	Thorgot	0.5	geld	1	-	N		522500
331	KEN	"5,157"	King Edward	Thorgot	0.25	geld	0.6	-	N	171350	522500
332	KEN	"5,158"	King Edward	Wulfnoth	1	geld	3	-	N	171350	615700
