name,surname,surname_id,recipient_match,control_match,recipient_surname,control_surname,surname_metaphone,surname_soundex,surname_mp_se,mp_se_id,u_id,found_control_group,recipient_control_group,found_treatment_group,recipient_treatment_group
"Agget, W. & Son, 162",Agget,,0.0,0.0,0.0,0.0,AKT,A203,AKT A203,29.0,29.0,0,0,0,0
"Agra, Judge of the High Court of, 195",Agra,,0.0,0.0,0.0,0.0,AKR,A260,AKR A260,12609.0,12609.0,0,0,0,0
"Albanian, S.S., 8",Albanian,7830.0,0.0,0.0,0.0,0.0,ALPNN,A410505,ALPNN A410505,7830.0,7830.0,0,0,0,0
"Aldenham, Herts., 41",Aldenham,7831.0,0.0,0.0,0.0,0.0,ALTNM,A430505,ALTNM A430505,7831.0,7831.0,0,0,0,0
"Aldershot, Hants., 9",Aldershot,7832.0,0.0,0.0,0.0,0.0,ALTRXT,A4306203,ALTRXT A4306203,7832.0,7832.0,0,0,0,0
"Aldridge, Joseph, 251(2); Mary, 251; Raymond, 88",Aldridge,12026.0,0.0,0.0,0.0,0.0,ALTRJ,A4360320,ALTRJ A4360320,12026.0,12026.0,0,0,0,0
"Alexander, Edith, 288; Emma, 277; Eva, Harvey, 288; Hilda, 269; R., 277; Ralph, 269",Alexander,54.0,0.0,0.0,0.0,0.0,ALKSNTR,A40205306,ALKSNTR A40205306,54.0,54.0,0,0,0,0
"Alfington, 2, 348",Alfington,,0.0,0.0,0.0,0.0,ALFNKTN,A41052305,ALFNKTN A41052305,10877.0,10877.0,0,0,0,0
"Alford, Lincs., 275",Alford,55.0,0.0,0.0,0.0,0.0,ALFRT,A41063,ALFRT A41063,55.0,55.0,0,0,0,0
"Alford, Ann, Arthur, 340; Daniel, 293; Francis, 340; Mary, 226; Richard, 340; William, 101",Alford,55.0,0.0,0.0,0.0,0.0,ALFRT,A41063,ALFRT A41063,55.0,55.0,0,0,0,0
"Alfordisworthy, 40",Alfordisworthy,7833.0,0.0,0.0,0.0,0.0,ALFRTSR0,A41063020630,ALFRTSR0 A41063020630,7833.0,7833.0,0,0,0,0
"Algar, Edward, 297; Reuben, 62",Algar,,0.0,0.0,0.0,0.0,ALKR,A4206,ALKR A4206,57.0,57.0,0,0,0,0
"Allard, Clarissa, John, 179",Allard,,0.0,0.0,0.0,0.0,ALRT,A4063,ALRT A4063,77.0,77.0,0,0,0,0
"Allcock, A., Mary, 27",Allcock,,0.0,0.0,0.0,0.0,ALKK,A4202,ALKK A4202,48.0,48.0,0,0,0,0
"Allen, Alleyne, Allin, Etheldreda, 322; George, 286, 340(2); Georgiana, 170, 176(2); Harold, 189; James, 322; John, 176, 274, 286; Katherine, 340; Les, 37; Marianne, 286; Mim, 37; William, 170, 322",Allen,80.0,0.0,0.0,0.0,0.0,ALN,A405,ALN A405,80.0,80.0,0,0,0,0
"Allington, East, 2-5; rector of, 2",Allington,66.0,0.0,0.0,0.0,0.0,ALNKTN,A4052305,ALNKTN A4052305,66.0,66.0,0,0,0,0
"Allsford, R., 80",Allsford,13089.0,0.0,0.0,0.0,0.0,ALSFRT,A421063,ALSFRT A421063,13089.0,13089.0,0,0,0,0
"Allwork, A., 49",Allwork,7834.0,0.0,0.0,0.0,0.0,ALRK,A4062,ALRK A4062,7834.0,7834.0,0,0,0,0
"Alusaker, Astrid, Glen, Kirsty, Neal, Norma, 106",Alusaker,7835.0,0.0,0.0,0.0,0.0,ALSKR,A4020206,ALSKR A4020206,7835.0,7835.0,0,0,0,0
"Alvington, West, 5-6, 7",Alvington,10877.0,0.0,0.0,0.0,0.0,ALFNKTN,A41052305,ALFNKTN A41052305,10877.0,10877.0,0,0,0,0
"Amethyst, H.M.S., 246",Amethyst,7836.0,0.0,0.0,0.0,0.0,AM0ST,A503023,AM0ST A503023,7836.0,7836.0,0,0,0,0
"Amy, H., 205",Amy,,0.0,0.0,0.0,0.0,AM,A500,AM A500,82.0,82.0,0,0,0,0
"Ancutt, Wilfred, 284",Ancutt,13090.0,0.0,0.0,0.0,0.0,ANKT,A5203,ANKT A5203,13090.0,13090.0,0,0,0,0
"Anderson, Clara, 268; Eliza, 199; Elizabeth, 286; Emily, 199; J., 130; Sir John, 199; Larz, 268; Melvill, 269; Richard, Robert, 268",Anderson,7116.0,0.0,0.0,0.0,0.0,ANTRSN,A5306205,ANTRSN A5306205,7116.0,7116.0,0,0,0,0
"Anderton, Cornwall, 239",Anderton,,0.0,0.0,0.0,0.0,ANTRTN,A5306305,ANTRTN A5306305,90.0,90.0,0,0,0,0
"Andrew, family, 11; Caroline, 78(2), 170; Emily, 155; Frank, 165; George, 62; James, 312; S., 155; William, 170(2)",Andrew,94.0,0.0,0.0,0.0,0.0,ANTR,A5360,ANTR A5360,94.0,94.0,0,0,0,0
"Andrews, Colin, 331; Gertrude, 46; Irene, 15; Margaret, 60; William, 84",Andrews,,0.0,0.0,0.0,0.0,ANTRS,A53602,ANTRS A53602,5978.0,5978.0,0,0,0,0
"Anne, Millington, 157, 159; William, 157",Anne,8445.0,0.0,0.0,0.0,0.0,AN,A500,AN A500,8445.0,8445.0,0,0,0,0
"Anning, Ann, 178; George, T., 76; William, 178(3)",Anning,10966.0,0.0,0.0,0.0,0.0,ANNK,A5052,ANNK A5052,10966.0,10966.0,0,0,0,0
"Anstey, East, 6, 8; West, 8; rector of, 8",Anstey,105.0,0.0,0.0,0.0,0.0,ANST,A5230,ANST A5230,105.0,105.0,0,0,0,0
"Anstie, William, 87",Anstie,,0.0,0.0,0.0,0.0,ANST,A5230,ANST A5230,105.0,105.0,0,0,0,0
"Anstis, George, 173",Anstis,106.0,0.0,0.0,0.0,0.0,ANSTS,A52302,ANSTS A52302,106.0,106.0,0,0,0,0
"Antelope, H.M.S., 247",Antelope,7837.0,0.0,0.0,0.0,0.0,ANTLP,A5304010,ANTLP A5304010,7837.0,7837.0,0,0,0,0
"Anther House, 62",Anther,13091.0,0.0,0.0,0.0,0.0,AN0R,A5306,AN0R A5306,13091.0,13091.0,0,0,0,0
"Antrim, H.M.S., 246",Antrim,13092.0,0.0,0.0,0.0,0.0,ANTRM,A53605,ANTRM A53605,13092.0,13092.0,0,0,0,0
"Appledore, 8-9; vicar of, 8",Appledore,,0.0,0.0,0.0,0.0,APTR,A1403060,APTR A1403060,11416.0,11416.0,0,0,0,0
"Appropriated brasses and slabs, 13, 14, 66, 68, 286",Appropriated,7838.0,0.0,0.0,0.0,0.0,APPRTT,A160160303,APPRTT A160160303,7838.0,7838.0,0,0,0,0
"Ararat, S.S., 8",Ararat,7839.0,0.0,0.0,0.0,0.0,ARRT,A60603,ARRT A60603,7839.0,7839.0,0,0,0,0
"Archer, Amy, 245; Fanny, 282; Fulbert, 245; Mary, 318; R., 161",Archer,118.0,0.0,0.0,0.0,0.0,ARXR,A6206,ARXR A6206,118.0,118.0,0,0,0,0
"Ardent, H.M.S., 247",Ardent,7840.0,0.0,0.0,0.0,0.0,ARTNT,A63053,ARTNT A63053,7840.0,7840.0,0,0,0,0
"Ardrossan, Ayrshire, 10",Ardrossan,7841.0,0.0,0.0,0.0,0.0,ARTRSN,A6360205,ARTRSN A6360205,7841.0,7841.0,0,0,0,0
"Arethusa, H.M.S., 212",Arethusa,7842.0,0.0,0.0,0.0,0.0,AR0S,A603020,AR0S A603020,7842.0,7842.0,0,0,0,0
"Argonaut, H.M.S., 247",Argonaut,7843.0,0.0,0.0,0.0,0.0,ARKNT,A620503,ARKNT A620503,7843.0,7843.0,0,0,0,0
"Ark Royal, H.M.S., 88",Ark,,0.0,0.0,0.0,0.0,ARK,A620,ARK A620,11529.0,11529.0,0,0,0,0
"Arkwright, M., 322",Arkwright,7844.0,0.0,0.0,0.0,0.0,ARKRT,A62060203,ARKRT A62060203,7844.0,7844.0,0,0,0,0
"Armstrong, Bewes, Gen., 45",Armstrong,7845.0,0.0,0.0,0.0,0.0,ARMSTRNK,A65236052,ARMSTRNK A65236052,7845.0,7845.0,0,0,0,0
"Arnold, F., 225; Leonore, 30; Reuben, 6",Arnold,127.0,0.0,0.0,0.0,0.0,ARNLT,A65043,ARNLT A65043,127.0,127.0,0,0,0,0
"Arscott, 39; Frederick, 73; John, 39; Thomas, 326",Arscott,,0.0,0.0,0.0,0.0,ARSKT,A6203,ARSKT A6203,129.0,129.0,0,0,0,0
"Arthur, Doreen, 11; Florence, 13(3); J., James, 13; Jessie, 106; John, 226; Mary, 13, 226; Thomas, 13; William, 13(3), 106",Arthur,131.0,0.0,0.0,0.0,0.0,AR0R,A6306,AR0R A6306,131.0,131.0,0,0,0,0
"Arundell, Elizabeth, 30, 32; Sarah, 60; Sir Thomas, 30; William, 60",Arundell,132.0,0.0,0.0,0.0,0.0,ARNTL,A605304,ARNTL A605304,132.0,132.0,0,0,0,0
"Ash, Celia, 195; William, 262",Ash,145.0,0.0,0.0,0.0,0.0,AX,A200,AX A200,145.0,145.0,0,0,0,0
"Ashill, 348",Ashill,,0.0,0.0,0.0,0.0,AXL,A204,AXL A204,137.0,137.0,0,0,0,0
"Ashbrittle, 66",Ashbrittle,7846.0,0.0,0.0,0.0,0.0,AXPRTL,A20160340,AXPRTL A20160340,7846.0,7846.0,0,0,0,0
"Ashcombe Hall, Cheshire, 146",Ashcombe,7847.0,0.0,0.0,0.0,0.0,AXKMP,A2020510,AXKMP A2020510,7847.0,7847.0,0,0,0,0
"Ashdown Park, Berks., 203",Ashdown,,0.0,0.0,0.0,0.0,AXTN,A20305,AXTN A20305,144.0,144.0,0,0,0,0
"Ashridge, 294",Ashridge,142.0,0.0,0.0,0.0,0.0,AXRJ,A2060320,AXRJ A2060320,142.0,142.0,0,0,0,0
"Ashurst Lodge, Kent, 33",Ashurst,7848.0,0.0,0.0,0.0,0.0,AXRST,A20623,AXRST A20623,7848.0,7848.0,0,0,0,0
"Ashworth, Doreen, 38; E., 237; Thomas, 299",Ashworth,12156.0,0.0,0.0,0.0,0.0,AXR0,A20630,AXR0 A20630,12156.0,12156.0,0,0,0,0
"Aspinall, Clara, 82; John, 164",Aspinall,7849.0,0.0,0.0,0.0,0.0,ASPNL,A210504,ASPNL A210504,7849.0,7849.0,0,0,0,0
"Aston, North, Oxon., 215",Aston,151.0,0.0,0.0,0.0,0.0,ASTN,A2305,ASTN A2305,151.0,151.0,0,0,0,0
"Atherley, Arthur, 130, 133, 135",Atherley,7182.0,0.0,0.0,0.0,0.0,A0RL,A30640,A0RL A30640,7182.0,7182.0,0,0,0,0
"Atherton, Edward, 256",Atherton,13093.0,0.0,0.0,0.0,0.0,A0RTN,A306305,A0RTN A306305,13093.0,13093.0,0,0,0,0
"Atkins, Henry, 303; Richard, 256",Atkins,153.0,0.0,0.0,0.0,0.0,ATKNS,A32052,ATKNS A32052,153.0,153.0,0,0,0,0
"Ault, H., M., 276",Ault,13094.0,0.0,0.0,0.0,0.0,ALT,A043,ALT A043,13094.0,13094.0,0,0,0,0
"Auton, Charles, Joe, 340",Auton,,0.0,0.0,0.0,0.0,ATN,A0305,ATN A0305,172.0,172.0,0,0,0,0
"Avery, Elizabeth, James, Mary, 164; Thomas, 164(2)",Avery,168.0,0.0,0.0,0.0,0.0,AFR,A1060,AFR A1060,168.0,168.0,0,0,0,0
"Avonwick, 15; priest-in-charge of, 15",Avonwick,7850.0,0.0,0.0,0.0,0.0,AFNK,A10502,AFNK A10502,7850.0,7850.0,0,0,0,0
"Aylesbury, Bucks., 275",Aylesbury,7851.0,0.0,0.0,0.0,0.0,ALSPR,A04021060,ALSPR A04021060,7851.0,7851.0,0,0,0,0
"Aylesbury, Henry, 84",Aylesbury,7851.0,0.0,0.0,0.0,0.0,ALSPR,A04021060,ALSPR A04021060,7851.0,7851.0,0,0,0,0
"Aylton, Herefs., 275",Aylton,13095.0,0.0,0.0,1.0,0.0,ALTN,A04305,ALTN A04305,13095.0,13095.0,0,0,0,0
"Ayre, H., 203",Ayre,177.0,0.0,0.0,0.0,0.0,AR,A060,AR A060,177.0,177.0,0,0,0,0
"Ayshford, 54",Ayshford,8522.0,0.0,0.0,0.0,0.0,AXFRT,A0201063,AXFRT A0201063,8522.0,8522.0,0,0,0,0
"Babbacombe, 306",Babbacombe,,0.0,0.0,0.0,0.0,PPKMP,B01020510,PPKMP B01020510,181.0,181.0,0,0,0,0
"Babbage, Percy, 197",Babbage,,0.0,0.0,0.0,0.0,PPJ,B01020,PPJ B01020,459.0,459.0,0,0,0,0
"Babbett, Robert, 313, 315",Babbett,13096.0,0.0,0.0,0.0,0.0,PPT,B0103,PPT B0103,13096.0,13096.0,0,0,0,0
"Baber, Elizabeth, Mary, 70",Baber,,0.0,0.0,0.0,0.0,PPR,B0106,PPR B0106,460.0,460.0,0,0,0,0
"Babington, Howard, J., Mary, 215; Somerset, 16; Walter, 215",Babington,184.0,0.0,0.0,0.0,0.0,PPNKTN,B01052305,PPNKTN B01052305,184.0,184.0,0,0,0,0
"Back, E., 130",Back,,0.0,0.0,0.0,0.0,PK,B020,PK B020,688.0,688.0,0,0,0,0
"Backhouse, Horace, Lionel, 111",Backhouse,13097.0,0.0,0.0,0.0,0.0,PKS,B02020,PKS B02020,13097.0,13097.0,0,0,0,0
"Backs, J., 158",Backs,,0.0,0.0,0.0,0.0,PKS,B020,PKS B020,565.0,565.0,0,0,0,0
"Bacon, Percy & Bros., 43",Bacon,193.0,0.0,0.0,0.0,0.0,PKN,B0205,PKN B0205,193.0,193.0,0,0,0,0
"Badcock, Elizabeth, 132; Ethel, 332; Samuel, 132",Badcock,194.0,0.0,0.0,0.0,0.0,PTKK,B03202,PTKK B03202,194.0,194.0,0,0,0,0
"Baddow, Little, Essex, 203",Baddow,,0.0,0.0,0.0,0.0,PT,B030,PT B030,734.0,734.0,0,0,0,0
"Bag Park, 336",Bag,,0.0,0.0,0.0,0.0,PK,B020,PK B020,688.0,688.0,0,0,0,0
"Bailey, Winifred, 9",Bailey,698.0,0.0,0.0,0.0,0.0,PL,B040,PL B040,698.0,698.0,0,0,0,0
"Baker, Alice, 202; Anthony, 181; Arthur, Caroline, 35; Cecil, 181; Charlotte, 211; Elizabeth, 225(2); Emma, 33; Fleur, 294; Frances, 33; Frederick, 203, 211(2); George, 294; Henry, 26, 35; Holway, 26; James, 35; Jane, 33; John, 33, 268; Kington, 181; Mary, 181, 301; Nathaniel, 181(2); R., 247; Robert, 26; Samuel, 240; Thomas, 33; Sir Thomas, 35; William, 33, 202",Baker,473.0,0.0,0.0,1.0,0.0,PKR,B0206,PKR B0206,473.0,473.0,0,1,0,0
"Baker-Beall, Kathleen, 21",BakerBeall,7852.0,0.0,0.0,0.0,0.0,PKRPL,B0206104,PKRPL B0206104,7852.0,7852.0,0,0,0,0
"Baldwin, Prewdence, 101",Baldwin,,0.0,0.0,0.0,0.0,PLTN,B04305,PLTN B04305,9369.0,9369.0,0,0,0,0
"Bale, Eliza, 84;Emma, 340; J., 1; James, 340; John, 84; W., 20",Bale,698.0,0.0,0.0,0.0,0.0,PL,B040,PL B040,698.0,698.0,0,0,0,0
"Balfour, George, 275-6; Georgiana, 275",Balfour,13098.0,0.0,0.0,0.0,0.0,PLFR,B04106,PLFR B04106,13098.0,13098.0,0,0,0,0
"Balkwill, Henry, Reginald, William, 145",Balkwill,192.0,0.0,0.0,0.0,0.0,PLKL,B04204,PLKL B04204,192.0,192.0,0,0,0,0
"Ball, Marja, 292",Ball,698.0,0.0,0.0,0.0,0.0,PL,B040,PL B040,698.0,698.0,0,0,0,0
"Ballyman, John, Martha, 161",Ballyman,,0.0,0.0,0.0,0.0,PLMN,B040505,PLMN B040505,8422.0,8422.0,0,0,0,0
"Balman, M., 20",Balman,219.0,0.0,0.0,0.0,0.0,PLMN,B04505,PLMN B04505,219.0,219.0,0,0,0,0
"Bamford, Lilian, 27",Bamford,10977.0,0.0,0.0,0.0,0.0,PMFRT,B051063,PMFRT B051063,10977.0,10977.0,0,0,0,0
"Bampfield, Bampfylde, Amias, 204; Robert, 39",Bampfield,,0.0,0.0,0.0,0.0,PMPFLT,B051043,PMPFLT B051043,225.0,225.0,0,0,0,0
"Banbury, Frank, 179",Banbury,6051.0,0.0,0.0,0.0,0.0,PNPR,B051060,PNPR B051060,6051.0,6051.0,0,0,0,0
"Bancroft, George, 15",Bancroft,,0.0,0.0,0.0,0.0,PNKRFT,B0526013,PNKRFT B0526013,7701.0,7701.0,0,0,0,0
"Bancroft-Wilson, Douglas, 161",BancroftWilson,7853.0,0.0,0.0,0.0,0.0,PNKRFTLSN,B052601304205,PNKRFTLSN B052601304205,7853.0,7853.0,0,0,0,0
"Band, Edward, Hermana, 178",Band,503.0,0.0,0.0,1.0,0.0,PNT,B053,PNT B053,503.0,503.0,0,0,0,0
"Banks, Winifred, 198",Banks,,0.0,0.0,0.0,0.0,PNKS,B052,PNKS B052,11277.0,11277.0,0,0,0,0
"Bannister, George, Mary, 62",Bannister,,0.0,0.0,0.0,0.0,PNSTR,B0502306,PNSTR B0502306,5588.0,5588.0,0,0,0,0
"Barham, H.M.S., 157, 244",Barham,,0.0,0.0,0.0,0.0,PRM,B0605,PRM B0605,11615.0,11615.0,0,0,0,0
"Baring-Gould, Alexander, Allan, Henry, Mary, Merriol, Robert, Sabine, 187(2)",BaringGould,7854.0,0.0,0.0,0.0,0.0,PRNKLT,B06052043,PRNKLT B06052043,7854.0,7854.0,0,0,0,0
"Barkell, Ernest, 45",Barkell,,0.0,0.0,0.0,0.0,PRKL,B06204,PRKL B06204,11888.0,11888.0,0,0,0,0
"Barker, C., 314; John, 216",Barker,,0.0,0.0,0.0,0.0,PRKR,B06206,PRKR B06206,244.0,244.0,0,0,0,0
"Barlow, Sarah, 222; William, 20",Barlow,,0.0,0.0,0.0,0.0,PRL,B0640,PRL B0640,710.0,710.0,0,0,0,0
"Barnes, Ann, 113; Anne, 133; Charles, 279; George, 279(4); Emma, 53; Frederick, 75; Hanbury, 171; Harriet, 279; Henry, 76(4); James, 279; Jemima, 203; John, 76; Katharine, 113; Laura, 279; Maria, 113; Mark, 203; Mercy, 242; Nancy, 76; Nellie, 76(2); Philippa, 113; Ralph, 75, 112; Thomas, 242",Barnes,10722.0,0.0,0.0,0.0,0.0,PRNS,B06502,PRNS B06502,10722.0,10722.0,0,0,0,0
"Barney, Ethel, John, 15",Barney,,0.0,0.0,0.0,0.0,PRN,B0650,PRN B0650,712.0,712.0,0,0,0,0
"Barons, William, 15",Barons,,0.0,0.0,0.0,0.0,PRNS,B06052,PRNS B06052,10600.0,10600.0,0,0,0,0
"Barraronta, H.M.S., 2",Barraronta,7855.0,0.0,0.0,0.0,0.0,PRRNT,B06060530,PRRNT B06060530,7855.0,7855.0,0,0,0,0
"Barriball, Flo, 270",Barriball,,0.0,0.0,0.0,0.0,PRPL,B060104,PRPL B060104,6980.0,6980.0,0,0,0,0
"Barrington, Mary, Robert, 343",Barrington,,0.0,0.0,0.0,0.0,PRNKTN,B06052305,PRNKTN B06052305,524.0,524.0,0,0,0,0
"Barrow, Dorothea, 139; Minnie, 273; Richard, 144; Shaun, 45",Barrow,725.0,0.0,0.0,0.0,0.0,PR,B060,PR B060,725.0,725.0,0,0,0,0
"Barrow-in-Furness, 157",BarrowinFurness,7856.0,0.0,0.0,0.0,0.0,PRNFRNS,B0605106502,PRNFRNS B0605106502,7856.0,7856.0,0,0,0,0
"Barry, William, 60",Barry,725.0,0.0,0.0,0.0,0.0,PR,B060,PR B060,725.0,725.0,0,0,0,0
"Barter, Ken, 261",Barter,521.0,0.0,0.0,0.0,0.0,PRTR,B06306,PRTR B06306,521.0,521.0,0,0,0,0
"Bartholomew, Christopher, 80; Robert, 155; Theresa, 80",Bartholomew,262.0,0.0,0.0,0.0,0.0,PR0LM,B06304050,PR0LM B06304050,262.0,262.0,0,0,0,0
"Bartlett, Charlotte, 109; Eliza, 257; Frank, 109; Freda, 157; J., 109; Mary, 50; R., 257; Robert, 257(2); Thomas, 257; Timon, 324; Vernon, 157; William, 50",Bartlett,357.0,0.0,0.0,0.0,0.0,PRTLT,B063403,PRTLT B063403,357.0,357.0,0,0,0,0
"Barton, 26",Barton,704.0,0.0,0.0,0.0,0.0,PRTN,B06305,PRTN B06305,704.0,704.0,0,0,0,0
"Barton, Cecil, 80, 257; Charles, 215; Edward, 163(2); Julia, 215",Barton,704.0,0.0,0.0,0.0,0.0,PRTN,B06305,PRTN B06305,704.0,704.0,0,0,0,0
"Barttelot, Georgiana, 275, 277; Nigel, 277; Sir Walter, 276, 277",Barttelot,,0.0,0.0,0.0,0.0,PRTLT,B0630403,PRTLT B0630403,9207.0,9207.0,0,0,0,0
"Bashford, Percy, 88",Bashford,13099.0,0.0,0.0,0.0,0.0,PXFRT,B0201063,PXFRT B0201063,13099.0,13099.0,0,0,0,0
"Basset, Bassett, Eleanor, 22; Elizabeth, 13, 14; Honor, 13, 14; Sir John, 13, 14; Kenneth, 47",Basset,,0.0,0.0,0.0,0.0,PST,B0203,PST B0203,731.0,731.0,0,0,0,0
"Basson, Jean, 11",Basson,,0.0,0.0,0.0,0.0,PSN,B0205,PSN B0205,11213.0,11213.0,0,0,0,0
"Bastard, Anne, Caroline, 346; Edmund, 346(2); Reginald, Rosamond, 346; William, 5, 7, 346(3)",Bastard,276.0,0.0,0.0,0.0,0.0,PSTRT,B023063,PSTRT B023063,276.0,276.0,0,0,0,0
"Bastin, Edward, 220; Percy, 49",Bastin,,0.0,0.0,0.0,0.0,PSTN,B02305,PSTN B02305,277.0,277.0,0,0,0,0
"Bat, Richards, 242",Bat,,0.0,0.0,0.0,0.0,PT,B030,PT B030,734.0,734.0,0,0,0,0
"Bateman, Gregory, 41",Bateman,,0.0,0.0,0.0,0.0,PTMN,B030505,PTMN B030505,9602.0,9602.0,0,0,0,0
"Bates, Albert, 8",Bates,,0.0,0.0,0.0,0.0,PTS,B0302,PTS B0302,288.0,288.0,0,0,0,0
"Bath & Wells, bishop of, 82",Bath,283.0,0.0,0.0,0.0,0.0,P0,B030,P0 B030,283.0,283.0,0,0,0,0
"Bath, Somerset, 83, 195, 256",Bath,283.0,0.0,0.0,0.0,0.0,P0,B030,P0 B030,283.0,283.0,0,0,0,0
"Bath, Alice, 38; Earls of, 41, 198; Leslie, 38",Bath,283.0,0.0,0.0,0.0,0.0,P0,B030,P0 B030,283.0,283.0,0,0,0,0
"Batstone, W., 227",Batstone,286.0,0.0,0.0,0.0,0.0,PTSTN,B0323050,PTSTN B0323050,286.0,286.0,0,0,0,0
"Battan, Batten, Batting, Battyn, Ivy, 239; John, 39, Patrick, 305; Richard, 8",Battan,,0.0,0.0,0.0,0.0,PTN,B0305,PTN B0305,551.0,551.0,0,0,0,0
"Batte, J., 162",Batte,734.0,0.0,0.0,0.0,0.0,PT,B030,PT B030,734.0,734.0,0,0,0,0
"Baugh, W., 261",Baugh,12015.0,0.0,0.0,0.0,0.0,P,B020,P B020,12015.0,12015.0,0,0,0,0
"Bawden, Bawdon, Bowden, Georgina, 205; Humphry, Jane, 204; Joshua, 204(2); William, 180",Bawden,,0.0,0.0,0.0,0.0,PTN,B0305,PTN B0305,551.0,551.0,0,0,0,0
"Baxter, Emily, George, 275",Baxter,11111.0,0.0,0.0,0.0,0.0,PKSTR,B02306,PKSTR B02306,11111.0,11111.0,0,0,0,0
"Bayford Grange, Hereford, 273",Bayford,,0.0,0.0,0.0,0.0,PFRT,B01063,PFRT B01063,555.0,555.0,0,0,0,0
"Bayley, Bayly, Sarah, 29; William, 184, 274; Zachary, 29",Bayley,,0.0,0.0,0.0,0.0,PL,B040,PL B040,698.0,698.0,0,0,0,0
"Baynes, Edith, Geoffrey, Richard, 275",Baynes,11774.0,0.0,0.0,0.0,0.0,PNS,B0502,PNS B0502,11774.0,11774.0,0,0,0,0
"Bazeley, Bazley, Ellen, Frances, Francis, 29; Frank, 203; Henry, 29(2), 30; Robert, 176; William, 29",Bazeley,,0.0,0.0,0.0,0.0,PSL,B02040,PSL B02040,8707.0,8707.0,0,0,0,0
"Beach, Caoline, 331",Beach,,0.0,0.0,0.0,0.0,PX,B020,PX B020,727.0,727.0,0,0,0,0
"Beadel, Leila, 24",Beadel,,0.0,0.0,0.0,0.0,PTL,B0304,PTL B0304,399.0,399.0,0,0,0,0
"Beard, F., 239",Beard,356.0,0.0,0.0,0.0,0.0,PRT,B063,PRT B063,356.0,356.0,0,0,0,0
"Beare, Grace, 225, 229",Beare,725.0,0.0,0.0,0.0,0.0,PR,B060,PR B060,725.0,725.0,0,0,0,0
"Bearman, Harry, Madelein, 5",Bearman,,0.0,0.0,0.0,0.0,PRMN,B06505,PRMN B06505,562.0,562.0,0,0,0,0
"Bearne, Austen, 292; Eliza, Lewis, 212",Bearne,,0.0,0.0,0.0,0.0,PRN,B0650,PRN B0650,712.0,712.0,0,0,0,0
