NAME,FORENAME,OCCPN/STATUS,PLACE,P.A.B./NOTE,YEAR,FOLIO
,,,"(architormentor of)H.M. Tower of London - legatees in Topsham, Devon)",,,
DODINGTON,"Charles,","gent, lieut in capt Waggett's coy",,-62,1696,46
,,"brig Erl's btn of foot, Plymouth, Devon",,,,
DOVEY,Jonathan,,"(Plymouth, Devon)",-43,1694,51
,,,"(H.M.S. ""Monke"")",,,
DOWDALL,John,merchant,city of Exeter,-112,1698,139
DOWNE,Richard,,Barnstaple,(nuncup) (14),1694,7
,,,,(sentence 173 Coker (1693)),,
DOWNE,Thomas,,Pinhoe,-63,1699,57
DRAKE,John,,"(bro. of Buckland Monachorum, Dev)",-230,1697,277
,,,(commander of (d. at sea in),,,
,,,"H.M.S. ""Seahorse"")",,,
DRAKE,"Katherine,",wid,Churchtaunton,-71,1695,47
,,,[Churchstanton],,,
DRAKE,"William,",arm. esq,Ivybridge,-218,1695,174
,,,(d. oversea),,,
DREWE,"Mary,",wid.,Exeter,-197,1699,155
DUCKE,"Richard,",esq,Mountradford,-29,1696,8
,,,[Plymstock],,,
DUNING,Cornelius,mar & cooper,Plymouth,-5,1697,6
,,,"(d. in H.M.S. ""Ipswich"")",,,
DURONG,Leonard,mar,(bro. of Plymouth),-172,1697,182
,,,"(d. in H.M.S. ""Romney"")",,,
DYER,Margaret. wid.,,Uffculme,-171,1696,200
EASTCHURCH,"William,",gent,"Lawell, Chudley",-232,1693,232
EDGECUMB,"Sir Richard,",bt,"Balneo, Mount Edgcumb, Devon",will registered 30 Ent (1689),1694,p30
,,,[Mount Edgecombe in parish Maker],,,
EDGER,Robert,(wid.),Devon,-81,1699,72
,,,"(ship ""Foresight"")",,,
ELLIS,Richard,sayler (bach),Clovelly,-171,1700,136
,,,,"(H.M.S. ""Northumberland"")",,
EXTON,Thomas,taylor,City of Exeter,-218,1695,175
FARRINGTON,Isay (Isaiah in Cal),mar,"Rotherhithe, Surrey",-177,1696,201
,,,"(H.M.S. ""Captain""; d. Plymouth, Devon)",,,
FARTHING,John,mar,Cullimton,-242,1695,233
,,,"(H.M.S. ""Colchester"")",,,
,,,[Cullompton],,,
FERRY,Richard,,"(wife of Wapping, Whitechapel, Midx)",,,
,,,"d. Plymouth, Devon",-119,1699,92
,,,"(H.M.S. ""Hampton Court""; ""Cumberland""; ""Rupert"")",,,
FINCHER,"Blanch,",wid.,"Exeter, Devon; Bristol",-157,1700,113
FLOYER,"Ellenor,",spin.,Topsham,-42,1695,209
FLY,John,mar,Brankston,-175,1697,184
,,,"(d. in H.M.S. ""Winchester"")",,,
,,,Branscombe,,,
FORTESCUE,"Robert,",gent,Filleigh,,1698,p228
,,,will registered 112 Bence (1676),,,
FROND,Peter,seaman,Paynton,-148,1695,129
,,,"(H.M.S. ""Capitain"")",,,
,,,"(d at sea in HMS ""Royal Sovereign"")",,,
FULFORD,"Francis,",esq,Fulford,-212,1700,122
,,,,Sentence,1700,196
FURZE,Humphrey,seaman,Paynton,-148,1695,129
,,,"(T.M.S. ""Royal Sovereign"" (at sea))",,,
GAMON,Phillip,clothier,Pilton,-93,1697,93
GANDY,"John,","esq., alderman",City of Exeter,-172,1696,204
GARRETT see JOLLETT,,,,,,
GEATHAM als GEATON,John,carpenter,Topsham,-94,1699,73
,,,"(H.M.S. ""Foresight"")",,,
GEOGHEGHAN,Thomas,captain in brig Thomas Earl's regt of foot,(city of Exeter),-86,1695,72
GILBERD,John,clothier,Tiverton,-230,1697,281
GILBERT,Thomas (senr),merchant,Tiverton,-85,1700,72
GILL,John,yeo,Bickley (Bickleigh),-50,1694,54
,,,,sentence,1694,21
GRAY,Robert,vintner,Axminster,-26,1695,24
HAGGETT,John,mar,born in Brandenburg,-235,1699,190
,,,"(H.M.S. ""(blank)"")",,,
,,,"(ship ""Exeter"" at Plymouth)",,,
HAINE,Thomas,mar,Thorncombe,-90,1695,74
,,,"(H.M.S. ""Archangel"")",,,
HALL,"Elizabeth,",wid,Plymouth,-26,1695,24
HAM,"John, gent",,Uplowman,-136,1694,154
HAMILTON,"James,",bach,Plymouth,-4,1698,10
,,,"(T.M.S. ""Bredah"")",,,
HAMLIN,Thomas,mar,Topsham,-77,1698,102
HANNIFORD,Andrew,mar,Kingsware,-119,1698,141
,,,"(H.M.S. ""Little Rusell"")",,,
HARTNUP,John,shipwright,"Stephney, Mdx",-196,1696,223
,,,(d. at Plymouth),,,
HAWKINS,John,mar,Plymouth,-10,1695,6
,,,"(d. in H.M.S. ""Samuel & Henry"" at sea)",,,
HAYMAN,John,mar,Exeter,-194,1695,149
,,,"(d. in) T.M. hired ship ""Loyal"" merchant",,,
,,,(at sea),,,
HAYNE,Willaim,esq.,Dartmouth,Sentence,1700,192
HAYNES,Richard,(wid) mar,Plymouth,-169,1697,185
,,,"ships ""Royal Katherine"" ""Swiftsure""",,,
,,,"(d. in H.M.S. ""George"")",,,
HELE,Nicholas,M.D.,Exeter,-230,1697,283
HELE,"William, gent",,Cornewood,-52,1698,72
,,,"(d. in St Andrew, Holborn, Lond.)",,,
HELLINGS,George,clothier,Culmestoke,-148,1695,131
HERBERT,Henry,mar,Topsham,-242,1697,286
,,,"(H.M.S. ""Duchess""; d. in H.M.S. ""Trident"")",,,
HEWES see HUGHES,,,,,,
HICKES,Dorothy,,(city of Exeter),-20,1700,24
,,,"St Eve, Cornwall",,,
,,,,Sentence,1700,191
HILL,Grace,,Ottery St Mary,-122,1695,116
HILSON,"John,bach",seaman,Plymouth,-38,1695,211
,,,"(d. in T.M.S. ""Advice""",,,
HINGSTONE,"Agnes,",wid.,Plymouth,-62,1696,49
HODY,"John,","arm., esq.",Nethway,-228,1698,250
,,,Kingswear,,,
HOLWAY,"Mary,",wid.,Dunkeswell,,1699,p157
,,,,will registered 64 Reeve (1678),,
HOOPER,"William,",gent.,Ottery St Mary,-100,1696,94
HOPKINS,"William,",gent,Bideford,-148,1695,131
HORNE,Samuel,merchant,"(native of Ead,Exeter)",-145,1697,161
,,,Ide (d. in Antigua),,,
HEWES,Robert,mar,Topsham,-8,1700,8
,,,"(ship ""Warspite"")",,,
HUGH,Henry,silk weaver,Exeter,-62,1696,49
HUGH,Thomas,yeo,Shabbrook (Shobbrooke),-92,1699,74
HUNT,"Edward,",clerk,Southmolton,-219,1695,179
HUTCHINGS,"John,",gent,Patrickstowe (Patrickson),,,
,,,[Petrockstowe],-130,1698,165
HYDE,Michael (senr),bookseller,Exeter,-182,1697,202
IFFE,James,boatswain's assistant,,-49,1694,57
,,,"(wife of How, Brimstock, Devon)",,,
,,,"(H.M.S. ""Experiment"" d. at sea)",,,
,,,[Plymstock],,,
JAGO,Joseph,mar,Plymouth,-229,1700,181
,,,"(St Olave, Southwark, Surrey, d. overseas)",,,
JENNINGS,"Elizabeth,",wid.,Plymouth,-194,1695,151
JENNENS,"Elizabeth,",wid.,Plymouth,-60,1698,75
JESSOX (JESSOPP),Samuel,mar,Plymouth,-152,1698,187
,,,"T.M.S. ""Crown""",,,
JOHNSON,Elias,mar,(exor of Plymouth),-26,1697,39
,,,"(d. O.H.M.S. in HMS ""Hampshire"")",,,
JOLLETT als GARRETT,Robert,pav(iour),(d. in Hospital in Plymouth),-242,1697,288
,,,"St Giles-in-Fields, Mdx",,,
,,,"(H.M.S. ""Montague"", Plymouth)",,,
JONES,"Elizabeth,",wife of John J Burlesombe (Boilescombe),,,,
,,,[Burlescombe],-239,1699,191
JONES,John,mar,Newport,-104,1696,93
,,,"(H.M.S. ""Montague"")",,,
JOPE,Thomas,mar,"Exeter; Rotherhithe, Surrey",-204,1697,241
KEIG(H)WIN,John,,Mousehole,-56,1694,57
,,,"but sick and (d. at) Huish, Devon",,,
,,,"[Mousehole, Cornwall]",,,
KELLOND,Charles,esq,Painsford,-194,1695,152
,,,[Ashprington],,,
KNIGHT,Nicholas,yeo,Broadhembury,-131,1697,142
KNOTESFORD,Thomas,apothecary,Plymouth,-157,1699,135
LAMPREY,John,mar,Branton,-27,1694,36
,,,"(H.M.S. ""Mitford"")",,,
,,,[Braunton],,,
LANDON,"Roger,",gent,"Lugwordine, Devon",-88,1696,73
,,,"(Herefs; d. St Martin-in-the Fields, Mdx)",,,
,,,[Lugwardine is a parish in Hertfordshire],,,
,,,,,,
LANE,Caleb,mar,Shout,-9,1697,12
,,,"(H.M.S. ""London"")",,,
,,,[Shute],,,
LANG,Ellis,ropelayer,"Oarston, Plymstocke, Dev (12)",,1700,9
LANGDON,George,mar,Ham,-189,1697,205
,,,"(H.M.S. ""Advice"")",,,
,,,"(ship ""Cumberland""; d. in ship ""Rupert"")",,,
,,,[?Abbotsham ?South Hams],,,
LANGDON,Gilbert,mar,(father of Brixham),-153,1696,187
,,,"(fireship ""Vesuvius"" d. O.H.M.S. at sea)",,,
LAWRENCE,Thomas,mar,Plymouth,-59,1698,76
,,,"(HMS ""Adventure"")",,,
LEACH,Charles,esq,Lane,---,1700,189
,,,(74 Sentence May 1720),,,
,,,?Pancrasweek,,,
LEATT,John,mar,Heavytree,-205,1698,235
,,,"(H.M.S. ""Sheerness"" galley)",,,
LEE,"Richard,",bach,St John. Exeter,-17,1694,13
,,,"(d. in HMS ""Lion"")",,,
LEE,"Roger,",gent,Sowton,-195,1695,153
LEVERTON,Thomas,mar (wid),"East Stonehouse,",-215,1695,182
,,,Plymouth,,,
,,,"(T.M.S. ""Deptford"")",,,
LEY,"Phillip,",gent,East Downe,--,1699,p221
,,,,will registered 61 Barrington (1628),,
LIBBY,Edward,mar,Plymouth,-134,1699,118
,,,"(ship ""Lowther"" galley)",,,
LIGHT,John,clothier,Plymouth,-67,1694,81
LIPINGCOTT,Henry,yeo,Culmstock,-32,1699,26
LLOYD,John,mar,Plymton St Mary,-159,1698,188
,,,"(T.M.S. ""Kingfisher""; HMS ""Dragon"")",,,
LOVELL,Francis,mar,Exeter,-155,1699,136
,,,"(H.M.S. ""Lancaster"")",,,
LOVERING,John senr,mar,Bideford,-228,1698,252
LOVEWELL,John,mar,"HMS ""Foresight""",-23,1697,34
,,,"(wife of Creechurch Lane, Lond.)",,,
,,,"(d. Plymouth, Dev)",,,
MACOMBER,Thomas,,city of Exeter,-49,1699,45
MAIN,Thomas,mar,Dartmouth,-196,1696,227
,,,"(d. in H.M.S. ""Prince of Orange"")",,,
MANATON,Ambrose,esq.,Killworthy,-27,1697,36
,,,[Tavistock],,,
MARSHALL,Edward Junr,,Uffculme,-49,1699,45
MARTIN,Robert,mar,(father of Ashburne),-29,1696,16
,,,[Ashburton],,,
,,,"(d. at sea in T.M.S. ""Devonshire"")",,,
MARTYN,John,esq,Plymouth,-153,1696,188
MARTYN,William,,Plymouth,---,1696,p153
,,,,will registered 46 Dyke (1690),,
MARWOOD,Daniel,esq,Coryton,Sentence,1694,263
,,,,will registered 44 Coker (1693),,
MARWOOD,"Frances,",wid.,"Blamphayne, Colyton",-85,1700,77
MAYNE,"Zachary,",gent,city of Exeter,-122,1695,119
MEACOCK,Thomas,,"St Botolph, Aldgate, Mdx",-44,1694,60
,,,"(d. Plymouth in H.M.S. ""Humber"")",,,
MENHEIRE,Thomas,merchant,city of Exeter,-12,1694,14
MERRIMOTH,John,,"Chardstock, Dorset",-36,1694,37
MILFORD,"William,",gent,Wickington,---,1697,p211
,,,,will registered 6 Essex (1648),,
,,,[South Tawton],,,
MILLER,Nicholas,mar,Kings Castle,-231,1695,241
,,,"(ship ""Albermarle"")",,,
,,,[Kingskerswell],,,
MILLET,Augustine,mar,Plymouth; Lond.,-60,1699,60
,,,"(ship ""Norwich"")",,,
MITCHELL,"Nicholas,",gent,"Gittesham, Dev","(131, 183)",1697,144
MOORE,Richard,mar,"Lond.; HMS ""Queen""",-74,1698,104
,,,"(""Albermarle""; Topsham, Devon)",,,
MORGAN,Robert,mar,par.of (blank) Clemorgan,-236,1695,241
,,,"(T.M.S. ""Monk"" d. in Plymouth)",,,
,,,"[Glamorgan, Wales]",,,
MORICE,"Anne,",spr,Werrington,-6,1696,142
,,,"St Mary Woolnoth, Lond.",,,
,,,"(d. Kensington, Midx)",,,
MOUNTSTEPHEN,John,tailor,city of Exeter,-122,1695,119
MUDFORD,"John, junr",merchant,Collompton,-101,1696,97
MUMFORD,William,mar,Dartmouth,-137,1694,158
,,,"(d. in ship ""Tiger"")",,,
NARRACOTT,John,,Dittesham,-31,1694,38
NEEDS,"Ames,",esq,Holcombe Regis,-92,1699,78
NEWBERY,Henry,yeo,Yartcombe,-172,1696,209
,,,Yarcombe,,,
NEWCOMBE,Henry,fuller,city of Exeter,-13,1694,15
NEWTON,Aneas,esq,Crabaton,-107,1694,132
,,,[Craberton @ Diptford],,,
NICHOLLS,John,mar,Stocontinee,-93,1697,100
,,,"(d. at sea in H.M.S. ""Centurion"")",,,
,,,[Stokeinteignhead],,,
NORCUTT als NORTHCOTE,"John,",bach mar,,-82,1699,18
,,,"(md sister of Flammington) (H.M.S. ""Norwich"")",,,
,,,[?Fremington],,,
NORTH,"Hannah,",spr,Churchtaunton,-83,1696,76
,,,[Churchstanton],,,
NORTH,"Mary,",spr,Churchtaunton,-191,1696,228
,,,[Churchstanton],,,
NORTHCOTE,"William,",esq,Newton St Cires,-117,1699,99
OLDNER,"Richard,",gent,Exeter,-202,1694,234
,,,"(d. St Margaret, Westminster, Mdx)",,,
OWEN,"John,",clerk,Tiverton,-26,1695,28
PAINE,Bennet,,Newton Pottleford,-245,1697,295
,,,"(H.M.S. ""Woolwich""; ""Greenwich"";",,,
,,,"d. in HMS ""Monk"")",,,
,,,[Newton Poppleford],,,
PARKEHOUSE,Robert,(father of,"Cidwell, Exeter, Devon)",-83,1696,77
,,,"(d. at sea in H.M.S. ""Suffolk"")",,,
,,,"[St Sidwell, Exeter]",,,
PARNELL,John,mar,Plymouth,-11,1696,145
,,,"(H.M.S. ""Devonshire"";",,,
,,,"d.in ship ""Colchester"")",,,
PARSONS,James,cit. & chirurgeon of Lond.,"(Stepney, Mdx;",-173,1697,189
,,,"d. in ship ""Victory"" at Torbay)",,,
PARSONS,Simon,clerk,Sidbury,-49,1694,62
PEARCE,John,innholder,Honyton,-112,1698,147
PEARD,Oliver,clerk,Barnstaple,-51,1697,61
PEARSE,"Thomas,",gent,Morebath,-197,1699,160
PENDER,Ingram,mar,"St Paul, Shadwell, Mdx",-107,1696,100
,,,"(H.M.S. ""Redbridge""; ""Ruby""; ""Content""",,,
,,,d. in Plymouth),,,
PHILLIPS als PHIPPS,"William,",bach mar,Slapton,-106,1695,103
,,,"(T.M.S. ""Advice"")",,,
PIERCE,James,mar,Marlborough,-155,1699,137
,,,"(H.M.S. ""Foresight""; d. in ship ""Gernoon"")",,,
PIERCE (signs PEARCE),John,late of terra noviter (New World),,-5,1698,17
,,,"(property in Totnes, Devon; overseas)",,,
PEIRSON,Richard,merchant,Plymouth,-169,1694,219
PENNY,John,mar,Hevitree,-64,1699,62
PETHERICK,"John,",bach mar,Silverton,-189,1695,158
,,,"(d. in T.M.S. ""Brittania"")",,,
PETT,Sarah,wid.,city of Exeter,-111,1695,102
PETTIN,John,merchant,Lymston,-173,1698,204
,,,[Lympstone],,,
PHILLIPS,Alexander,yeo,Sutcombe,-13,1695,10
,,,"(St Clement Danes, Mdx)",,,
,,,,,,
PINNEY,John,apothecary,Axminster,-31,1694,39
PLUMPTON,"Thomas,",bach shipwright,"Otterton, Exeter",-22,1695,29
,,,"(T.M.S. ""Centurion"")",,,
POTTER,Thomas,fuller,city of Exeter,-195,1695,157
POUND,Samuel,mar,"(exix of East Spratt, Shewellstone)",,,
,,,,-137,1697,146
,,,"(H.M.S. ""Eagle""; d. in HMS ""Pembroke"")",,,
,,,"[East Prawle, Chivelstone]",,,
PRANCE,Jonathan,baker,city of Exeter,-77,1698,106
,,,"(H.M.S. ""Pendennis""; ""Cambridge"";",,,
,,,d. O.H.M.S. overseas),,,
PRICE,"Alexander,","bach., mar",,(nuncup) (231),1695,244
,,,"(H.M.S. ""Suffolk"", ""Lenox"", ""Content""; ""Torbay""; hospital ship ""Concord""",,,
,,,in Plymouth Sound),,,
PRICE,Robert,mar,Plymouth,-137,1698,172
,,,"(H.M.S. ""Hampshire",,,
PRING(E),William,,Culmstock,-228,1698,254
PROUSE,Arthur,mar,Brixton,-32,1699,28
,,,"(H.M.S. ""Crown"")",,,
PROWSE,"Phillipe,",wid,Brixton,-14,1699,12
PULLEIN,Paul,esq,"Steart, Plymton St Mary (204)",1698,261,
,,,,Sentence,1699,207
PYNE,James,merchant,Exeter,,1694,p267
,,,,will registered 66 Exton (1688),,
[QUICK,"Charity,",wid.,"UpOttery, Dev - see ROWDEN]",,,
RADDON,"William, junr",mar,"Stockland, Dorset",-236,1695,245
RADFORD,Richard,yeo,"Neather Okeford,",-93,1699,80
,,,[Okeford],,,
RANDELL,George,mar,"(d. at sea in) T.M.S. ""Duchess of Salcombe""",-26,1695,31
RAWLINS see ROLLINS,,,,,,
RAWLINS,William,clothier,Uffculme,-173,1700,144
RAYMOND,Arthur,yeo,Axminster,(nun.cup) (27),1697,39
RAYMOND,Joseph,yeo,"Hawchurch, Dorset",-118,1700,87
REEVES,Thomas,mar,city of Exeter,-157,1694,198
,,,"(merchant ship ""Agreement""; d. in H.M.S. ""Mermaid"")",,,
REYNELL,Thomas,esq,West Ogwell,-49,1699,48
REYNOLDS,Caleb,chirugeon,Exeter,-185,1696,230
,,,"(ship ""Mary of Colchester""; d. in Barbadoes)",,,
RICE,Mary,wid.,Tiverton,-60,1698,261
,,,,Codicil (227),1698,256
,,,,Sentence,1698,265
RICE,Thomas,mercer,Tiverton,-211,1697,252
RICHARDS,"Edward,",gent,Kew,-68,1697,81
,,,[Kenn],,,
RICHARDS,Timothy,,Bampton,---,1694,p208
,,,,will regd 104 Vere (1691),,
RIDER,John,(wife of Plumpton St Mary),"(Stepney, Midx)",-227,1697,252
,,[Plympton St Mary],"(H.M.S. ""Sailor"". d. in H.M.S. ""Mary"" galley)",,,
ROBINSON,"William,",bach mar,,-29,1698,48
,,,"(d.in H.M.S. ""Ipswich"" at anchor Torbay)",,,
ROCK,Henry,mar,Swimbridge,-32,1699,30
RODD,"Bamfylde,",esq,Stoke Common,-14,1699,13
,,,[Stoke Canon],,,
RODD,"Bridgett,",wid.,Stoke Canon,-197,1699,161
RODD,"James,",gent,"Marpoole Hall,",-122,1695,65
,,,Withycombe-and-Rawleigh,,,
ROE,"John,","bach, mar",,-218,1696,259
,,,"(H.M.S. ""Dolphin""; ""Dover""; d. at Plymouth, Devon)",,,
,,,"(father of St James, Clerkenwell, Mdx)",,,
ROLLINS,Richard,mar,"ship ""Anglesey""",-107,1697,126
,[or ?RAWLINS],,"(d. at Plymouth, Devon)",,,
,,,"(father of Breaward, nr Monmouth. Glos.)",,,
ROOKE,"Joane,",wid,Dartmouth,-208,1694,236
ROUSE,"Katherine,",wid.,Faringdon,-173,1700,144
ROWDEN als QUICK,"Charity,",wid.,Uperterry (Up-Ottery),-204,1698,238
RUSSELL,Job,mar,Topsham,-136,1696,165
SAINTHILL,Peter,brazier,Tiverton,-150,1697,168
SAMFORD als SANFORD,Christopher,merchant,city of Exete,Sentence,1697,310
SANFORD,Thomas,mar,"Stephney, Mdx",-172,1694,221
,,,"(H.M.S. ""Reserve""; d. at Plymouth)",,,
SARGENT,"William,",bach mar,"St John, Wapping, Mdx; (138,156)??",1699,,
,,,"Plymouth, Devon","(229D, 256)??",1697,
,,,"(d. in H.M.S. ""Lincoln"")",,,
SAVERY,"Christopher,",gent,Cornwood,-35,1698,49
SAVERY,"Richard,",gent bach,"Slade, Cornwood",-230,1699,195
,,,,Sentence,1699,208
SAVERY,Robert,,"O Porto, Portugall",-153,1696,192
,,,"(Slade, [Cornwood,] Devon)",,,
SAVERY,"William,",arm. esq,"Slade, [Cornwood,] Dev",-204,1698,240
SAVORY,"William,",esq,"Slade, [Cornwood,] Dev",-122,1696,127
SCOTT,"John,","bach, mar",(exor of Plymouth),-87,1699,81
,,,"(H.M.S. ""Norwich"")",,,
SE(A)RLE,William,yeo,Dunkeswell,-43,1695,40
SEAVENS,John,mar,(exix of Plymouth,-188,1698,221
,,,(ship (blank)),,,
SEAWARD,John,mar,Topsham,-27,1695,33
SEYMOUR,"Dame Anne,",wid.,Berry Pomeroy,-219,1695,190
SHILSTON,Thomasine,,Exeter,-47,1696,38
