SURNAME,FORENAME,PLACE,"DAY, MONTH & YEAR",ADMINISTRATION GRANTED,ADDITIONAL NOTES
MASON,George,"clerk & rector of Upton Hilling (?Upton Hellion) & Cardinham, Cornw., dioces. Exon & Bradwell, dioces. London",3 May 1563,"to Alice BRADMEADE wife of John B. of Kirton als Crediton next of kin & George GALE of Inner Temple, London, gent.",
MAYONE,Richard,Tavistock,16 May 1561,to William STRAD Esq of Plympton St Mary,Revoked & anoth grant January 1562
MAYOWE,Richard,Tavistock,27 January 1562/3,to William STRODE junior,
MEYSE,William,Sampford Courtenay,31 December 1565,to relict Alice M.,
MOOLE,Nicholas,city of Exeter (city of Bristol),2 November 1570,"to William GRYGGE ""avo"" & Edward GRYGGE ""avunculo"" of Thomas. Grace & Mary M. children of dec",dur min of sd children
MORE,Hugh,"Holcombe, co Devon",20 November 1565,to son Roger M.,
MOWSEY,Roger,Ilsington,2 March 1570/1,to relict Johanna M.,
NORTHCOTE,Edward,Clyst Hydon,24 August 1570,to sister Thomas ROO als N.,
PARAMORE,John,city of Exeter,25 May 1560,to relict Johanna P.,
PARAMORE,John,citizen of Exeter,27 February 1562/3,to son Henry P..,d.b.n.a. by relict Joanne; Revoked & anor. grant 28 June 1564
PARAMORE,John,city of Exeter,28 June 1564,to son William P.,d.b.n.a. by Joanne PARRAMORE dec & Henry P. bro of dec
PASLOWE,William,Barnstaple,23 August 1560,to relict Cristine,
PASMER,"Cecily wife & extrix of John P. of Halberton, gent",Halberton,7 February 1564/5,to son Dennis P.,"""p'dc'am Ceciliam etiam def. non administrat."" added in error - see next grant"
PASMER,"John, gent",Halberton,7 February 1564/5,to son Dennis P.,d.b.n.a. by Cecily P. relict & extrix & by son Henry P. son & admor
PEERS,James,Tiverton,25 August 1571,"to cousin (""avunculo"" erased) Richard PEERS","""dur min of sd James PEERS"" erased"
PEKETT als PEGOTT,John,Peyhembury,27 April1563,to relict Thomasine PEKETT als PEGOTT,
PERROTT,Dame Jane [dau & heir of Hugh PRISTs als PRICE esq],"of Thorrey, par of Hartland",4 March 1568/9,to Sir John PERROTT knight late husband of dec,"dur. min of Lettice P., William P., & Anne P. children of dec"
PETER,John,Torbryan,9 November 1570,to son William P.,
POLLARDE,John,Barnstaple (died in Portugal),17 May 1570,to bro. Thomas P.,
PRIDEAUX,Nicholas,"Soldon, co. Devon",8 March 1570/1,"to ""nepoti"" Roger P.",Adm. d.b.n. 28 July 1582
PRISTON,James,Totnes (died abroad),3 November 1571,to sister Joanna BERE als P.,
PYNE,Symon,Clyst Honiton,29 November 1569,"to children George P., Thomas P., John P., Anne P., Richard P. als SMYTH",
RATCLIFFE als HUBBERD,Usabia,city of Exeter,22 September 1570,to sister Mary R. als TYNCKNELL,
REYMENT,John,Plymouth,19 August 1569,to cousin Elizeus WELCH,
ROO,Thomas,Okington (?Oakhampton) [died at sea],14 September 1566,to William ROBINSON next of kin,Granted @ Exon
SANDFORDE,Henry,"Pool, co Devon",28 May 1565,to relict Katherine S.,
SEYNTHILL,Peter,Bradninch,26 November 1571,"to John WYNEFORD, uterine bro. of Peter S. & Mary S. chidren of dec.",dur. min. of sd children
SMYTH als TUCKER,Thomas,(?where in Devon),6 October 1567,to bros John S.als T. senior & John S.als T. junior,Granted @ Diocese of Exon
SPICER,Thomas,city of Exeter,22 February 1560/1,to relict Elizabeth S.,
SPICER,Thomas,city of Exeter,6 October 1562,to son Richard S.,d.b.n.a. by Elizabeth S. relict & admtrx. Revoked & anor. grant 12 Feb 1562
SPICER,Thomas,city of Exeter,12 February 1562/3,to William PAGE late husband of Elizabeth P. als S. late wife & admx of dec.,"d.b.n.a. by sd Elizabeth [This grant in extenso: Addressed to William PAGE of Cullompton & refers to action between Richard SPICER, son & admor. of dec. & sd William PAGE]"
STEPHENS,John,"Marlborough, Wilts (died at Colebrooke, ?Devon)",8 February 1570/1,to relict Elizabeth S.,
TELLIER als KELLEY,Peter,Totnes,16 November 1564,to relict Grace T. als KELLY,
TUCKER,Hugh,Axminster,1 March 1560/1,"to Thomasine PEERS, wid. next of kin",
TUCKER see SMYTH,,,,,
UPTON,William,"Puslinche, par of Yealmpton, esq.; sergeant at arms to Queen Elizabeth",2 March 1570/1,to relict Mary U.,
WARREN,"Johanne, wid.",Cullompton,22 January 1563/4,to son Robert W.,
WEBBE,Fulke,Barnstaple,6 Octber 1569,to relict Letitia W.,
WEBBER,Robert,Plymtree,23 November 1570,to relict Melanie W.,Adm. d.b.n. 18 April 1573
WHITE,Edward,"West Lowe (?West Looe, Cnwll)",1 January 1565/6,to relict Joanna W.,(Granted @ Exon)
,,,,,
VOL 2,,,,,
Dec 1571/2 - Dec 1580,,,,,
,,,,,
,,Digitised at,www.familysearch.org,(LDS Film 0407935),
,,,,,
AMORY,Robert,Bishop Nymet (died in Flanders),18 September 1579,to brothers Thomas A. & Giles A.,
ASCOTT,Richard,Barnstaple,12 June 1579,to sister Mary A. als BARRETT by John B. her husband,
ASCOTT,Simon,Barnstaple,27 September 1577,to bro. William A.,
BARTLETT,Nicholas,Cornwood,7 March 1572/3,to bro. Tristram B.,
BEAPLE,Alexander,Barnstaple,26 November 1580,to relict Agnes B.,"Grant in full. Refers to action betw. Roger CADE, plff & sd Agnes deft, Joane GLASTE & Joanna PUGGESLEY intervening. P.C.C. Sentence in favour of deft & of a will of sd Alexander. Sd J. GLASTE & J. PUGGESLEY appealed to Chancery & to the Court of Delegates which latter by Sentence reversed P.C.C.Sentence, declared sd Alexander to have died intestate & granted his Admon to sd Agnes"
BEAUMONT,Humfry,Gittisham,22 October 1572,to relict Jane B.,
BENNETT,Richard,Chudleigh,9 May 1577,to relict Juliana HORE als B.,Sentence in favour of account 2de Johannis 1582
BENNY,Oliver,Plymouth,1 April 1572,to relict Elizabeth B.,
BIRT,Richard,Plymouth,26 October 1576,to sisters Agnes B. & Christina B.,
BIRTE,Edward,Exeter,28 January 1574/5,to sister Elizabeth LAUDE (?LANDE),
BLAKE,William,Plymouth,18 May 1579,to relict Mary B.,"£1,271 20d"
BONNER,William,Axminster,10 June 1577,to relict Agnes B.,
BONNER,William,Axminster,2 August 1578,to bro. John B.,
BOURMAN,Laurence,Hemyock,4 February 1577/8,to bro. William B. Esq,"Brought in, renounced & granted anew 6 February 1583"
BURDE,Joanna widow,Colyton,4 April 1574,"to sons Robert, Richard, William & Thomas B.",Judge interposed a decree 4 May 1580
CALLWOOD see CAVERLEIGH,,,,,
CAVERLEIGH als CALLWOODLEIGH,John,Tiverton,13 February 1575/6,to Roger RICHARDS next of kin,
CERVINGTON,Richard Esq,Beer Ferrers,18 January 1574/5,to John EVELEIGH of Ottery St Mary Esq,Gdn of Agnes C. dau of dec. dur. min of sd Agnes C.
CERVINGTON,Richard,Beer Ferrers,26 March 1574,to relict Dorothy C.,Brought in & new grant 7 October 1574
CERVINGTON,Richard,Beer Ferrers,7 October 1574,To John EVELEY of (blank) co Devon gent.,dur min of John C. son of dec
CERVINGTON,John,Beer Ferrers,18 January 1574/5,to sd John EVELEIGH Esq,"dur. min of sd Agnes C, sister of dec. (a long Latin entry the same day is here relating to these CERVINGTON admins)"
CERVINGTON,John,Tavistock,26 November 1576,"to John EVELEIGH of Ottery St Mary, Esq.","c.t.a., d.b.n.a. by Agnes C. relict & extrix also dec dur. min. of Agnes C. next of kin. Will regd Chayne (17) 19 June 1577 sd John EVELEIGH declared ""null bona"""
CHUBBE,John,Kingsbridge,31 July 1574,"to creditor John SPARKE of Plymouth, merchant",
CHUBBE see CLOWTER,,,,,
CLODD,Elizabeth,Ottery St Mary,17 December 1572,to sister Kathryn DAVYES als COPLESTON,
CLOWTER als CHUBBE,Thomas,Plymouth,23 June 1572,to dau. Christina ILCOMBE als CLOWTER,
COLE,Elizabeth,Cullompton,21 April 1575,to daus Gertrude POTTER als C. & Joanna C.,Bond brought in and another taken June 1585
COLMAN als STALENDGE,Roger,Tiverton,30 June 1574,to relict Wilmot C. als S. & also to son Humphrey C.,
COLWICKE,Richarda widow,Tiverton,30 August 1572,to dau Elizabeth PROWSE als C.,d.b.n.a. by John GOVER her son & admir. also dec. Brought in & renounced 2de Cinemar 1573
COTTON,Gilbert,city of Exeter,31 May 1577,to relict Alice C.,
COURTNEY,Sir William kt,?(admin @ Exon),11 February 1576/7,to James COURTNEY senior next of kin,c.t.a. d.b.n.a. by Dame Cecily C. relict & extrix also dec. Will regd Fetiplace (21)
COX als COXTON,Thomas,Cullompton,12 March 1575/6,to relict Margaret C. als C.,
CROWTE,Elizabeth widow,Totnes,9 November 1572,to son James C.,
COYLE,Thomas,"""Apsom"" co Devon",2 July 1579,to relict Agnes C.,
DARTCH,Robert,"Cutcombe,co.Devon",17 April 1574,to sister Eleanor SLOCOCKE & to Nicholas SLOCOCKE son of the sd Eleanor.,This Adm. renounced 13 November 1574 & Will proved the same day (43 Martyn)
DRAKE,Jocosa widow,city of Exeter,7 September 1573,to Joan OVER als SILVESTER next of kin,
DRAKE,John,Plymouth,29 November 1575,to relict Alice COTTON als D.,By Sentence
DRAKE,Matthew,city of Exeter,22 November 1572,to Nicholas CORNYSH & Agnes SALTER next of kin,Void for that it is Adm. d.b.n.c.t.a.
DREWE,Robert,Exeter,10 August 1579,to relict Christina D.,
DUKE,Richard Esq,Otterton,10 September 1572,to relict Joanna D.,
DUKE,Richard,Ottterton,13 September 1572,"to dau Christine SPRINTE als D, together with Joanna D. relict & adminr","Grant in full, reciting that Admon. had been granted to sd Joanna D."
ELLETT,John,Stoke Fleming,29 May 1576,to relict Joanna E.,
FLEMYNGE,John,Instow,21 January 1574/5,to relict Anne F.,
FOLLETT,"John, sailor",Dartmouth,9 October 1576,to bro. John F.,dur. min of Joanna F. dau of dec
FORDE,George,Ilsington,20 May 1579,to son Thomas F.,
FORDE,William,"psh of Honington, Devon (?Honiton}",22 March 1571/2,to relict Mary F.,
FORTESCUE,Katherine,"Winston, co Devon",8 February 1579/80,to dau Katherine PAWLETT als ANDROWES,Brought in & renounced 23 June 1580
FOX,Henry,Topsham,11 February 1576/7,to dau Anne F.,
FRANCKELEN,George merchant,Barnstaple (died in Spain),12 March 1573/4,to relict Joanna F.,
FRY,Alice widow,Yarty (Membury),10 July 1573,to son John F.,
GAYTON,Thomas,Uffculme,12 February 1573/4,to dau Johanna G.,Brought in Adm. c.t.a. November following (43 Martyn)
GIBBES,William,Fenton (?Feniton),9 November 1580,"to John AYER of ""Pendegett"", co Cornw. gent","dur. min of William WOTTON son of Silvestra W. als G., dau of dec. Nulla bona 1583"
GILL,Roger,Harberton,17 September 1574,to relict Katherine G.,
GOVER,John,Tiverton,penult August 1572,to relict Elenor G.,
GREGORY,Helena,Uffculme,3 May 1578,to bro. John G.,
GREGORY,Helena,Uffculme,17 June 1578,to bro. Robert G.,
GRENDFELL,John senior,Otterton,4 November 1574,to son Robert G.,
GRIMESDICHE,"William,clerk",Rector of Ashprington (died in London),9 October 1574,"to George CLERK, servant of the venerable man, Mr Robert COLSILL esq.",for that Joanna the relict dec had renounced
GURNEY,Thomas,Dartmouth,16 October 1574,to relict Thomasine G.,
HARTE,William,Cullompton,9 October 1577,to cousin William LYTE,d.b.n.a. by Henry TROKE the admor. also dec dur. min of William H. jumior son of dec. Adm. June 1569
HEXT,John,Staverton,12 June 1577,"to ""consanguineo"" Edward HEXT",renounced 3 February 1577
HODGES,Thomas,Lundy,21 April 1574,to Robert DAVYE,"partner ""in societate cum Thomas coniuncto"" dur min of Jane H.dau.of dec"
HOYLE,George,Topsham,8 January 1576/7,to relict Benedicta H.,
LAKE,John,Bideford,17 May 1572,to relict Alice L.,
MARRIS,Nicholas,Barnstaple,25 August 1580,to bro. John M.,
MASON,Edward,Plymouth (died in Spain),to mother Elizabeth M.,,
MATTYCOTTE,John,Fremington,5 May 1575,to relict Johanna M.,
MAYNERD,Thomas,Plymouth,27 October 1580,to bro. Tristram M.,
MAYO als MAYOTT,John,"North Yarmouth, co Devon",22 November 1578,"to John & Nicholas HERBERT of Cardiff, co Glam, esquires","in margin ""Erat de Cardiff diocesis Landavenis"""
MILLE,Joanna widow,Pyeworthy,8 August 1572,to brothers Thomas PEARDE & John PEARDE,"Renounced 21 April 1573 ""Nulla bona"""
MILLER,Johis (?John),Ilsington,6 April 1572,??,"""Emanavit commissio Leonardo MILLER Avunculo Johis MILLER, Hugonis MILLER defunci dum vixit fillii nat. & itimi. Johis MILLER senioris de Ilsington in Com Devon de functi Habentis etc. Ad amministrand bona iura et credita euisdem Johis (erased) Hugonis MYLLER Junioris (erased). De bene etc minori etate Johis MILLER Junioris fris natlls etc Itmi dei Hugonis duran De Bene etc Jurat in psona mri Francisi Clerk nori pucij procur et jurat"" Hugh MILLER in margin"
MORE,Sir John,Moreheyes co. Devon,13 October 1576,to relict Dame Katherine M.,
NEWTON,John,"Ironbury, co. Devon",20 March 1572/3,to relict Elizabeth N.,
NUTCOMBE,Thomas (clerk in margin),city of Exeter,15 February 1572/3,to sister Martha WODBERE als N & also to cousin Hugh BROUGHTON,
OLAND see TAYLER,,,,,
PACKER,John,"Mershaw, co Devon",20 September 1578,to relict Johanna P.,
PARSONS,William,city of Exeter,26 April 1573,to bro. Gilbert P.,Renounced. New grant 11 May 1576
PARSONS,William,city of Exeter,11 May 1576,"to John TOTHILL of city of Exeter, gent",
PASMORE,Thomas,Zeal Monachorum,1 December 1572,to bro. Dennis P. with consent of relict Alice,
POOLE,John,Dartmouth,22 November 1576,to John WILLIAMS of Dartmouth,
POMEROYE,Henry,Totnes,5 July 1575,to one Richard P. now or late of Totnes,"""tacita veritate et expressa falsitate"" granted & by him in June 1559 (?) surrepticiously obtained, revoked"
PRIDEUAX,John Esq,?Exeter (Sergeant at Law),12 May 1572,to children Thomas P. & Jane P. als COURTENEY,Adm Feb 155- dur. min. of children. Adm d.b.n.a. Oct 1633
PROWSE,Edward,Tiverton,26 August 1579,to son Nicholas P. & dau Elizabeth P. als SHIRLEY,This grant was never issued because the admor refused to put in security
RAWLYN,John,Colyton,24 February 1579/80,to relict Elizabeth R. als CARPENTER,Void. Will proved February 1580 (Darcy 4)
REVENSEY,John,city of Exeter,2 July 1574,to dau. Elizabeth MARTYN als R.,
RICHARDS als TRUSKOTT,Walter,"St Stephen's in Branwell, co Devon",2 December 1578,to bro. John R.,
ROCHE,Philip,Plymouth,28 June 1578,to relict Agnes R.,
ROWDEN,Rawlina,Tiverton,22 June 1578,to sister Elizabeth OSMOND,
RUDGE,William,Broadhembury,26 April 1577,to bro. Robert R.,Brought in & renounced & anor Adm. c.t.a. October following (Daughtry 40)
SALISBURY,Philip,Plymouth,26 February 1579/80,to bro. John S.,
SAMFORD,Batholomew,Cullompton,16 Nov 1577,to son Anthony S.,Brought in & renounced 11 February 1577
SAMFORD see also SANDFORD,,,,,
SANDFORD,Bartholomew,Cullompton,11 February 1577/8,to relict Alice S.,
SAYER,"Ralph, merchant",Tavistock,22 January 1571/2,to relict Agnes S.,Renounced 30 October 1572
SEARLE,Christopher,Awliscombe,20 May 1574,to sister Elizabeth S. als FORDE,
SEMER,Nicholas,Dartmouth,17 June 1578,to relict Alice G.,
SEYMOUR,Robert,Dartmouth,22 May 1579,"to Alice S. relict of Nicholas S. dec, son of dec",
SHEPPEN,Margaret widow,Tamerton Foliott,14 November 1572,to dau. Nicola HEDD,
SPARKE,Thomas,Plympton,30 June 1575,to John SPARKE next of kin,"dur min of Jane, Hoanna, Mary, Margaret, Elizabeth & Christina S. sisters of dec"
SPICER,Thomas,city of Exeter,22 July 1573,to son Christopher S.,"d.b.n.a. by Eliz. His relict & admx & by William PAGE late husband of sd Eliz. & also admor., also dec"
SPILLER,William,Stockland (Dor.),9 May 1578,to relict Johanna S.,Adm. accounted 1 Whit & bond returned by order of Judge
STALENGE see COLMAN,,,,,
STUKELEY,Hugh,Ashton,12 May 1579,to bro. [blank] S.,
SYDY,James,Plymouth,9 April 1580,to relict Sabrina S.,
TAYLER als OLAND,Mary,Hemuock,20 January 1574/5,to mother Johanna PERCY,
TIRLING,John,Colyton,25 November 1578,"to William MALON of St Vedast, London, goldsmith",one of creditors of dec.
TREMAYN,William,"Upcot, par of Broadwoodwidger",8 August 1576,"to Thomas ROSEARROCK of (blank) co. Corn. Esq,",cousin of Ursula & Elizabeth T. daus of dec. dur. their min.
TREVETT,William,"city of Exeter (died in St Dunstan's in the West, London)",17 May 1579,to relict Johanna T.,Void & Will proved November 1579 (Bakon 43)
TROKE,Henry,Cullompton,4 November 1575,to relict Anne T.,
TROKE,Henry,Cullompton,2 December 1575,to Christopher SPICER next of kin,dur. min Thomas T. son of dec
TRUSKOTT see RICHARDS,,,,,
TUCKER,Agnes,Dalwood (Dor),29 January 1579/80,"to Johanna NEWTON als T. & Christina EDWARDS als T. ""filie"" od dec",
TYBBES,John,Thorncombe,14 May 1572,to Agnes HOOP als TYBBES wife of Richard HOOP & the mother of dec.,"Humphrey, Faith, Grace, Charity & William TYBBES children & legatees in will of John T. of Thorncombe"
VINTON,Andrew,city of Exeter,28 May 1573,to bro. John V.,
VYNTON,George,Withycombe Raleigh,30 October 1577,to relict Margery V.,
WEBBER,Robert,Plymtree,18 April 1573,"to cousin William BOURMAN of Wellington, Som. Esq",d.b.n.a. by Melann relict & admx also dec.
WERE,"Johanna, wid.",Halberton,12 January 1571/2,to dau. Margaret COXTEN als W.,
WESTLAKE,Thomas,city of Exeter,27 June 1580,to bro. John W.,
WHITLOCK,William,city of Exeter,19 November 1575,to John WEBB of city of Exeter afsd merchant taylor city of London,
WILTESHERE,Edward,Chardstock (Dor.),10 October 1572,to mother Thomasine W.,Adm. d.b.n. August 1638 (sic)
WOOD,John,Georgeham,19 March 1573/4,to bro. Christopher W.,
WRIGHTINGTON,Richard,city of Exeter,27 January 1573/4,to brother Thomas W.,
WYATT,John,Axminster,dicto die December 1578 (second entry after 9th Dec.),to bro. Hugh W.,
