SURNAME,FORENAME,OCCPN/STATUS,PLACE,TYPE,YEAR   ,FOLIO   ,REGISTER
TAYLER,William,yeoman,Combe in Teignhead,,1631,69,St John
TOM,George,,West Buckland,,1631,23,St John
TOWILL,Michaell,,Broadclyst,,1631,115,St John
TROBRIDGE,George,Esq,"Trobridge, p. Crediton",,1631,70,St John
VICCARY,John,,Sampford Courtenay,,1631,20,St John
WEEKES,Michael,bachelor,Heavitree,Admon w. will,1630,112,Scroope
WHITE,John,,Knowstone,,1631,7,St John
WISE,William,merchant,Totnes,Probate 28 July,1631,,
,,,,by son by son John,,,
,,,,now of age,,,
,,,,Will pvd,1626,57,Hele
,,,,,,,
1632 AUDLEY,,,,,,,
,,,,,,,
AYSHE,William,,Stockley Priorton,Admon 16 Jan 1631/2,,,
,,,(Sandford) Crediton,Will pvd,1616,12,Cope
BABB,Humphry,,East Teignmouth,Admon w. will,1632,19,Audley
BABB,Nicholl,widow of Humfry,East Teignmouth,,1632,33,Audley
,,of same,,,,,
BABIDGE,Mary,widow,Collompton,,1632,53,Audley
BARNES,John,merchant,Cockington,,1632,93,Audley
BERRY,Richard,,Tiverton,Admon w. will,1632,96,Audley
,,,,Admon 19 May 1648,,,
BOROUGH,Walter,Alderman of,Exeter,,1632,105,Audley
BOWND,John,the younger,Plymouth,,1632,16,Audley
BRADDEN,William,,West Teignmouth,,1632,125,Audley
BRAYLEY als,William,,Georgeham,,1632,68,Audley
WIDLAKE,,,,,,,
BRIGGS,John,,Kingswear,,1632,17,Audley
BULTEELE,James,merchant,Barnstaple but decd in,,1632,104,Audley
,,,"St Peter le Poer, London",,,,
BURGIS,Thomas,,of City of London but at,,1632,51,Audley
,,,death of Plymouth,,,,
BURGOYN,William,gent,South Tawton,Admon 12 Apr 1632,,,
,,,,Will pvd,1624,13,Byrd
BURY,Humfrey,Esq,Collaton (Colyton),,1632,27,Audley
CAN,Margaret,,"of St Martin Ongar, London",,1632,58,Audley
,,,formerly of Plymouth,,,,
CHECHESTER,Philip,Esq,Braunton,Admon w.will,1632,20,Audley
CHRISTIAN,Frederick,surgeon,Plymouth,,1632,118,Audley
COFFYN,Edward,gent,"Portledon, p Alwington",decd abroad,1632,8,Audley
COCKE,William,yeoman,Up Ottery,,1632,6,Audley
DAVIES,Gertrude,widow,Churstow,,1632,1,Audley
DENNYS,Thomas,the elder ueoman,Ilfracombe,,1632,114,Audley
DEYMAN,Richard,,Tiverton,,1632,69,Audley
DICKS,Edmond,clerk,Halberton,,1632,61,Audley
DOWNE,John,clerk,Instow,,1632,51,Audley
DRAKE,Elizabeth,widow of Thos. Esq,Buckland Monachorum,,1632,68,Audley
DRAKE,Mark,,Church Taunton (Churchstanton),,1632,96,Audley
DUNGE,Thomas,gent,Hartland,,1632,34,Audley
FARRER,John,the elder,Luppitt,,1632,28,Audley
FORD,John,,Chittlehampton,,1632,17,Audley
FURSE,Humfrey,,Plymouth,,1632,85,Audley
GODOLPHIN,Dame Alice,widow,Tavistock,,1632,39,Audley
GOODCHILD,Philip,,Northam,,1632,1,Audley
GRILLS,Katherine,widow,Tavistock,,1632,126,Audley
HARLOWING,Walter,Esq,Sidmouth,,1632,39,Audley
HEARD,William,gent,Bradwyllwiger,,1632,126,Audley
,,,(Broadwoodwidger),,,,
HILL als,Richard,"the elder, clothier",Tiverton,will pvd,1632,1,Audley
SPURWAY,,,,Admon 4 Jan 1675/6,,,
HILL,John,,Broad Clyst,,1632,20,Audley
HILLIARD,Jeremy,goldsmith,Exeter,,1632,2,Audley
HODY,John,Esq,"Nethway, Brixham",,1632,55,Audley
HOW,Gilbert,,Broad Clyst,,1632,114,Audley
IZAACK,George,gent,Ottery St Mary,,1632,126,Audley
KERSLAKE,William,,Tiverton,,1632,38,Audley
LEE,John,,Tiverton,,1632,33,Audley
LEIGH,Richard,,Sowton,,1632,74,Audley
LEWES,Nicholas,,Churston Ferrers,,1632,51,Audley
MASTERS,Elizabeth,gentlewoman,Tavistock,,1632,25,Audley
MERCER,Richard,"M.A,","Chard, Som.,",,1632,26,Audley
,,,born Ottery St Mary,,,,
MILLER,Marian,widow,Bishops Tawton,Admon w. will,1632,1,Audley
MILLERD,Edward,,Bishops Tawton,Admon w. will,1632,1,Audley
NICHOLLE,Richard,,Bediford (Bideford),,1632,102,Audley
OSMOND,Christopher,gent,Clawton,,1632,14,Audley
PEARD,John,,Barnstaple,,1632,6,Audley
PETER,Abraham,,"Compton, nr Marldon",,1632,115,Audley
POLLARD,Joan,widow,Chulmleigh,,1632,33,Audley
POWELL,John,the elder,Uffculme,,1632,1,Audley
PROWSE,Peter,,Torbrian,,1632,96,Audley
REEVE,Richard,mercer,Crediton,,1632,38,Audley
RISDON,Giles,Esq,Budleigh [East],,1632,126,Audley
ROBERTS,Christian,widow,West Down,,1632,1,Audley
SEARE,Robert,,South Milton,,1632,114,Audley
SHEPHERD,Ann,widow,Pilton,Probate 24 May 1632,,,
,,,,Admon w.will,1620,41,Soame
,,,,Admon 3 May 1623,,,
SHERE,Nicholas,merchant,Plymouth,Admon 5 Mar 1631/2,,,
,,,,Will pvd,1599,4,Wallopp
SITTWELL,Francis,,Tavistock,Probate 29 Nov 1632,,,
,,,,Admon w.will,1618,86,Meade
SMITH,Aaron,,Crediton,,1632,61,Audley
SMITH,Alice,widow,Zeal Monachorum,,1632,39,Audley
SMITH,Joan,widow,Tavistock,,1632,39,Audley
SMITH,Richard,,Great Torrington,,1632,29,Audley
SMITH,William,,Tavistock,,1632,126,Audley
SPROTT,John,,Exeter,Admon w. will,1632,70,Audley
SYMON,Henry,,Braunton,,1632,113,Audley
SYMONS,William,mariner,Dartmouth,,1632,109,Audley
TANNER,John,Rector of,Offwell,,1632,73,Audley
TINCOMBE,Richard,mariner,"of St Martins, Ludgate",will pvd by mother,1632,40,Audley
,,,(age 27 in 1632),Agnes T. of Moreton,,,
,,,,Hampstead,,,
TYDERLEIGH,Elizabeth,widow,"Tiderley, Chardstock, Dor",,1632,106,Audley
VICARIE,English,,North Molton,,1632,6,Audley
WALTER,John,the elder,Marwood,,1632,22,Audlley
WALTHAM,Richard,,"Trehill, p. Kenn",,1632,94,Audley
WARDROBE,Thomas,merchant,Dartmouth,,1632,120,Audley
WELYE,Humfrey,,Burlescombe,,1632,61,Audley
WHITE,Nicholas,,Staverton,,1632,38,Audley
WISKARD,Anne,widow,Oakford,,1632,21,Audley
,,,,,,,
1633 RUSSELL,,,,,,,
,,,,,,,
BAKER,John,,West Anstey,,1633,35,Russell
BERRYMAN,John,,Bishops Tawton,Admon 22 May 1633,,,
,,,,Will pvd,1614,124,Lawe
BLACKALL,Christopher,Esq,Hempsted,,1633,95,Russell
,,,[?Moreton Hampstead],,,,
BOGAN,William,gent,Townstall [Dartmouth],,1633,101,Russell
BURNARD,James,gent,Colyton,,1633,8,Russell
BUTSON,Humdry,,Uffculme,,1633,10,Russell
BYRDALL,Margaret,widow,St Thomas Apostle (Exeter),,1633,48,Russell
CAREY,Katherine,widow,Clovelly,,1633,30,Russell
CHAVE,Joan,widow,Uplowman,,1633,94,Russell
COLLIER,Simon,bachelor,Membury,Admon w.will,1633,22,Russell
CROKKER,George,gent,"Crokkers Heale, Meeth",,1633,6,Russell
DALLY,John,,Pynn als Pynhoe,,1633,117,Russell
DART,Thomas,gent,Silverton,,1633,48,Russell
DOWNE,Richard,,Ashcombe,,1633,8,Russell
FISHMORE,Robert,,East Teignmouth,Admon w. will,1633,3,Russell
FREKE,Sir Thomas,kt,Jewerne (Iwerne) Coourtney,,1633,101,Russell
FRY,Nicholas,Esq,"Yeartie, p. Membury",,1633,7,Russell
FURSELAND,Walter,the elder gent,Great Bickington,,1633,13,Russell
GALE,George,,Hemyock,Admon w. will,1633,6,Russell
GAYER,Hugh,merchant,Plymouth,,1633,79,Russell
GIFFORD,Alice,widow of John,"Halsbury, p. Parkham",,1633,73,Russell
GOSLING,Henry,,"Stockland, Dor.",,1633,47,Russell
GOULD,Elizabeth,widow,Ashburton,,1633,50,Russell
GYFFARD,Emanuel,gent,Bideford,,1633,115,Russell
HANCOCKE,Joan,widow,Comb Martin,Admon w.will,1633,52,Russell
HEAFERS,Andrew,,Bishops Nympton,,1633,96,Russell
HEARD,Thomas,,"St Mary Major, Exeter",,1633,77,Russell
JEFFERIE,John,gent,Stoke Rivers,Admon 10 June 1633,1633,7,Russell
JOYCE,William,,Swimbridge,,1633,8,Russell
JURDAINE,George,merchant,Exeter,,1633,57,Russell
JURDAINE,Elizabeth,widow,Exeter,,1633,89,Russell
LEPINGCOTT,Robert,,Blackborough [Kentisbeare],,1633,88,Russell
LUSCOMBE,William,,Holcombe Rogus,,1633,34,Russell
LYELL,Anthony,,Yearnscombe,,1633,101,Russell
MITHRELL,John,,Newton Bushel p. Highweek,,1633,53,Russell
NEWALL,William,merchant,Uplyme,Admon 7 Jan 1633,,,
,,,,Admon w. will,1615,7,Rudd
,,,,New grant 3 May 1615,,,
NORTHREN,John,,Axminster,,1633,22,Russell
PASMORE,Giles,,Goodleigh,,1633,95,Russell
PERROTT,Mary,widow,St Marychurch,,1633,36,Russell
PHILPOTT,Peter,mariner,Dartmouth,,1633,73,Russell
POTE,Leonard,gent,Clawton,,1633,115,Russell
PURSEY,Adam,mariner,Bishops Tawton,,1633,94,Russell
RAWLE,John,the elder,Brendon,,1633,35,Russell
REED,Hugh,,Combe Martin,Admon w. will,1633,78,Russell
ROLLE,Robert,Esq,Heaton,,1633,89,Russell
ROUS,Dame Susan,widow,Warley (Warleigh),,1633,94,Russell
ROWE,William,merchant,Stonehouse,,1633,78,Russell
SHAPLEIGH,Robert,gent,Townstal [Dartmouth],,1633,26,Russell
SHEPPARD,Walter,,Sampford Peverel,,1633,48,Russell
,,,(age 26 in 1632),,,,
SKINNER,Hester,,Barnstaple,,1633,72,Russell
SOMMER,Henry,,Chittelhampton,,1633,8,Russell
SPEALT,William,gent,Aveton Gifford,,1633,112,Russell
SPRIE,Roger,mariner,Plymouth,decd abroad,1633,69,Russell
STROWDE,Thomas,gent,Barnstaple,,1633,58,Russell
SYMONDS,Richard,Esq,"Coxdon, p. Chardstock, Dor.",Probate 21 Oct 1633,,,
,,,,Admon w. will,1611,79,Wood
TRACY,Emme,widow,Bideford,,1633,94,Russell
TREND,John,,Crediton,,1633,16,Russell
TROSSE,Elizabeth,widow,Exeter,,1633,49,Russell
TUCKER,Joan,spinster,Holcombe Rogus,,1633,62,Russell
VENNER,John,Rector of,Rose Ash,,1633,47,Russell
WALTER,John,,"Upcott, p. Braunton",,1633,64,Russell
WELLINGTON,Lewes,,Great Torrington,,1633,31,Russell
WHITE,William,,Troughley (Throwleigh),,1633,46,Russell
WHITROWE,Benedict,,Withycombe Raleigh,,1633,77,Russell
WOTTON,William,,Bovey tracey,,1633,9,Russell
,,,,,,,
1634 SEAGER,,,,,,,
,,,,,,,
ALPHA,Anthony,,St Giles (on the Heath),,1634,28,Seager
AMERIDETH,Edward,Esq,Tamerton Foliot,,1634,11,Saeger
BARRETT,Thomas,Archdeacon of,Exeter,,1634,16,Seager
BLACKALL,Thomad,the elder gent,Exeter,,1634,2,Seager
BODLEY,Laurence,Rector of,Clyst Hydon,,1634,28,Seager
BRENDON,Richard,merchant,Plymouth,Admon 21 Jan 1633/4,,,
,,,,Will pvd,1628,98,Barrington
BUCKINGHAM,John,,Crediton,,1634,43,Seager
als BUCKHAM,,,,,,,
BURGE als,John,,Clayhanger,,1634,40,Seager
SAYER,,,,,,,
COCKE,Edward,merchant,Plymouth,,1634,86,Seager
COLE,Elizabeth,widow,Dawlish,,1634,77,Seager
COURTIER,Henry,merchant,Exeter,,1634,14,Seager
COURTNEY,Humfrey,,Molland,,1634,86,Seager
CRESSETT,Thomas,,Plymouth formerly of,Admon w. will,1634,77,Seager
,,,"St Clament Danes, Middx",,,,
CROSSE,George,,"Exmouth, Littleham &",,1634,11,Seager
,,,p. Withycombe Raleigh,,,,
DARE,Thomas,,Kilmington,,1634,106,Seager
DREWE,Robert,,Swettoon. p. Halberton,,1634,10,Seager
DUKE,Alexander,gent,Woodbury,,1634,69,Seager
FEATLY,Daniel,,Loddeswell,,1634,27,Seager
FLAYE,Thomas,Esq Alderman of,Exeter,,1634,72,Seager
FROST,Richard,,Tiverton,,1634,37,Seager
GILL,Robert,,Barnes,Admon 30 May 1634,,,
,,,,Will pvd,1619,50,Parker
HAM,William,merchant,Tiverton,,1634,23,Seager
HARRIS,Dame Elizabeth,wid Sir Thos. kt,Cornworthy,,1634,113,Seager
HAWKES,William,gent,Topsham,,1634,3,Seager
HEARNE,Susan,widow,Broad Clyst,,1634,89,Seager
HOCKIN,Christopher,,Great Torrington,,1634,21,Seager
HONACOTT,Alexander,,Swimbridge,,1634,102,Seager
HOOPER,Robert,,Thornecombe,Admon w. will,1634,28,Seager
HUNT,Roger,the elder,Braunton,,1634,64,Seager
HYDON,Simon,,Uffculme,Admon 19 Apr 1634,,,
,,,,Will pvd,1625,141,Clarke
JOCE,Charity,widow,Swimbridge,,1634,97,Seager
LAMBSHED,Martin,,Tavistock,,1634,28,Seager
LANGDON,George,,Georgeham,,1634,12,Seager
LOVELL,JOhn,yeoman,Cheriton Fitzpaine,,1634,28,Seager
MARTIN,Nicholas,merchant,Exeter,,1634,101,Seager
MARWOOD,William,the elder,Colyton,,1634,2,Seager
MILLES,Roger,the elder,Colebrooke,,1634,63,Seager
MOORE,Bartholmew,clerk,High Bray,,1634,11,Seager
MORRIS,William,,Plymstock - decd abroad,,1634,92,Seager
,,,of Royal Mary,,,,
NORTHCOTT,John,Esq,Newton St Cyres,,1634,10,Seager
PALFREY,William,gent,Combe Raleigh,,1634,66,Seager
PARR,Peter,,Ipplepen,,1634,64,Seager
PENROSE,John,,Fremington,Admon w. will,1634,109,Seager
PHILIP,Nicholas,,Brixham,,1634,51,Seager
PREDOWNE,Francis,,Woodford,,1634,48,Seager
PUNCHARD,Anne,,Barnstaple,,1634,12,Seager
QUAILE,Richard,gent,Salcombe decd abroad,,1634,92,Seager
REYNOLDS,Sir Richard,kt,"Forde, p. Wolborough",,1634,27,Seager
RICHARDS,Philip,,Stockleigh English,,1634,113,Seager
SHAPLEIGH,Robert,gent,Townstall [Dartmouth],Admon w. will,1634,26,Seager
SKIPPON,William,Esq,Tawstock,,1634,10,Seager
,,,,grant revoked & new,,,
,,,,grant w. codicil,1634,21,Seager
SKYNNER,Augustine,the elder,Hunshawe,,1634,63,Seager
SQUIRE,George,,Bishops Nympton,,1634,106,Seager
STAPLE,Joan,widow,Thornecombe,,1634,85,Seager
SYMONS,Tobias,,Modbury,,1634,2,Seager
THOMAS,Robert,,Tiverton,,1634,63,Seager
TURNER,Richard,,"Chardstock,, Dor.",,1634,12,Seager
UPTON,John,,Burlescombe,,1634,37,Seager
WHITTEY,Alice,,"Stockland, Dor.",,1634,2,Seager
WILLIAMS,John,,Plymstock decd abroad,,1634,80,Seager
,,,of the Exchange,,,,
WISE,Samuel,merchant,Totnes,,1634,63,Seager
WOODFORD,Richard,gent,Ottery St Mary,,1634,113,Seager
YARDE,Edward,Esq,Treasurers Beare,,1634,27,Seager
,,,p. Clyst Honiton,,,,
YEO,Robert,,Exeter,Admon w. will,1634,63,Seager
ADAMS,Oliver,,Broadwood Widger,,1633,116,Russell
,Admon 1 July 1632 to son Roger,,,,,,
,Will apparently unregistered,,,,,,
,Sentence pro val test et revos adnis bon 3 Dec 1633,,,,,,
BEARE,Thomas the elder,,Huntsham,,1631,136,St John
,Admon w. will same date (as Sent),,,,,,
,Sent. pro. val. test. 2 Dec 1631,,,,,,
BOROUGH Walter,Alderman of Exeter,,,,1632,105,Audley
,Will pr. 6 Oct 1632,,,,,,
,Sent. pro. conf. test. 16 Feb 1632/3 (17 Russell),,,,,,
BOUND,John,,Ipplepen,,1631,97,St John
,Will pr. 31 Aug 1631,,,,,,
,Sent. pro. conf.test 16 Feb 1631/2 (16 Audley),,,,,,
BUCKNAM,John,,Crediton,,1634,38,Seager
,Sent. pro. val. cod.,,,,17 May 1634,,
,Codicil pvd 10 May 1634 (38 Seager),,,,,,
BUTEELE,James,,Barnstaple,,1632,104,Audley
,Will pvd 30 Oct 1632,,,,,,
,Sent.pro.conf. 3 Dec 1632 (123 Audley),,,,,,
CAREY,Katherine widow,,Clovelly,,1633,39,Russell
,Will pvd same date (as Sent.),,,,,,
,Sent. pro. conf. test. 7 May 1633 (39 Russell),,,,,,
COLE,Robert,,Morchard Bishop,,1628,64,Barrington
,Will pvd 25 July 1628,,,,,,
,Sent. pro.con.test. 13 Nov 1630 (103 Scroope),,,,,,
,Sent. absol. In. neg.test. 23 Nov 1633 ( 98 Russell),,,,,,
COMBE,Ralph,,Whitchurch,,1631,101,St John
,Will pvd 9 Sept 1631,,,,,,
,Sent. pro.conf. test. 16 Feb 1631/2 (11 Audley),,,,,,
DALLY,John,,Pynn als Pinhoe,,1633,117,Russell
,Will pvd 8 Nov 1633,,,,,,
,Sent. pro.conf. test. 17 May 1634 (50 Seager),,,,,,
DODDERIDGE,Hugh,,Exeter,,1633,111,Russell
,Sent. absol. In neg.revoc.adnis bon 3 Dec 1633,,,,,,
,"Admon t.a.l. 25 Oct 1632 to Benedict PAGE of Exeter, fuller",,,,,,
FACEY,John,,Plymouth,,1630,60,Scroope
,Sent. pro. null. test 19 June 1630,,,,,,
,no other info here,,,,,,
FURSELAND,Walter,,Bickington,,1633,13,Russell
,Will pvd 8 Feb 1632/3,,,,,,
,Sent. pro. conf. test 13 Nov 1633 (98 Russell),,,,,,
GRILLS,"Katherine, widow",,Tavistock,,1632,126,Audley
,Will pvd 19 Nov 1632,,,,,,
,Sent. pro. con. test. 1 June 1633 (55 Russell),,,,,,
HAREWOOD,Henry,,"Kingsland, South Molton",,1631,28,St John
,Sent. pro. null. test. 5 Feb 1630/1,,,,,,
,Admon. t.a.i. 29 July 1630 pendentlite to Jane HAREWOOD,,,,,,
HORE,Barbara,,Buckfastleigh,,1630,53,Scroope
,Admon. w. will 9 June 1630,,,,,,
,Sent. in neg. comp. bon. 10 May 1637 (65 Goare),,,,,,
,Probate 24 March 1635 (6 Pile) by son John HORE,,,,,,
HOCKIN,Christopher,,Great Torrington,,1634,21,Seager
,Will & Cod. pvd 10 Feb 1633/4,,,,,,
,Sent. pro.conf. test. et cod. 22 Nov 1634 (96 Seager),,,,,,
HUNT,Allen,,Down St Mary,,1630,16,Scroope
,Will pvd same day (as Sent),,,,,,
,Sent. pro. val. test. 16 Feb 1629/30,,,,,,
LEY,"Richard, gent",,Northcott,,1630,28,Scroope
,Will pvd 8 April 1630,,,,,,
,Sent. pro. conf. test. 14 Nov. 1631 (123 St John),,,,,,
PENROSE,John,,Fremington,,1634,109,Seager
,Admon w. will 20 Dec 1634,,,,,,
,Sent. pro. val. test. 22 Nov 1634 (109 Seagar),,,,,,
SHILSTON,Andrew,,Doddiscombleigh,,1630,52,Scroope
