SURNAME,FORENAME,OCCPN/STATUS,PLACE,TYPE,YEAR   ,FOLIO   ,REGISTER
,,,,Admon 11 Aug 1656,,,
,,,,"to son John, exor decd",,,
SHACKLE,Edward,,Hemyock,Admon w.will,1636,7,Pile
,,,,Admon 13 Jan 1636/7,,,
SHEPHERD als,Gilbert,,,Modbury,1636,14,Pile
BUDGELL,,,,,,,
SLOWMAN,Bartholmew,,Pilton,,1636,60,Pile
TILLYE,John,Parson of,"St Leonard, Exeter",,1636,93,Pile
TOOGOOD,John,,Washfield,,1636,57,Pile
VASSE,John,,Topsham,,1636,43,Pile
WALTHAM,Richard,Esq,"Trehilll, Kenn",,1636,66,Pile
WESSCOMBE,Thomas,,Kentisbeare,,1636,61,Pile
WHITE,Joan,widow,Shute,,1636,15,Pile
WILTON,George,the elder gent,Crediton,,1636,13,Pile
WOOD,Roger,,Chulmleigh,,1636,15,Pile
WYLESHMAN,Walter,Vicar of,Townstall (Dartmouth),,1636,94,Pile
YEO,John,,Northam,,1636,60,Pile
YOUNGE,Elize,,"Chilson, Cockington",,1636,119,Pile
,,,,,,,
1637 GOARE,,,,,,,
,,,,,,,
ABRAHAM,Tobias,,Staverton,,1637,120,Goare
BALLIMAN,John,,Uffculme,,1637,84,Goare
BARNES,Mary,spinster,Rewe,,1637,61,Goare
BEARD als,Mabell,widow,Staverton,,1637,60,Goare
BURD,,,,,,,
BEST,George,,Littleham,,1637,140,Goare
BLACKMOORE,Hughe,,Bishops Nympton,,1637,40,Goare
BLUETT,Elizabeth,widow,Holcombe Rogus,,1637,63,Goare
BOWDAGE,Tristram,,Northleigh,,1637,60,Goare
BOWDIEDGE,John,,Axmouth,,1637,126,Goare
BRYANT,Walter,,Brendon,,1637,61,Goare
BURGE,Henry,mariner,Plymouth,,1637,19,Goare
CARTER,Robert,,Exeter,,1637,60,Goare
CHAPPELL,Oliver,,Swymbridge,,1637,130,Goare
CHAPPELL,Lewes,,"Collacott, Chittlehampton",,1637,164,Goare
CLAPPE,John,,Clehidon (Clayhudon),,1637,50,Goare
COGAN,Prudence,,East Worlington,will pvd husband John,1637,103,Goare
,,,,Rector of same,,,
COLLMAN,Mary,widow,Calverleigh,,1637,73,Goare
CREESE,Ellis,,Littleham,,1637,41,Goare
DAVYES,Anne,widow,"Canonteign, Christow",,1637,128,Goare
DRAKE,Sir John,knt,"Ashe, p. Musbury &",,1637,5,Goare
,,,Axminster,,,,
DRAKE,John,gent,Littleham,,1637,123,Goare
DYER,Lewes,Rector of,East Buckland,,1637,60,Goare
EDWARD,John,,King's Kerswell,,1637,28,Goare
ELFORD,John,,Tavistock,,1637,72,Goare
FOWELL,William,,Dip(t)ford,,1637,4,Goare
FRYE,Richard,,Culmestock,,1637,40,Goare
GAMON,William,merchant,Barnstaple,,1637,59,Goare
GOULD,William,Esq,"Hayes, nr Exeter",,1637,99,Goare
GRIGORY,Nicholas,,Exeter,,1637,2,Goare
GUPPY,Thomas,,"Chardstock, Dor.",,1637,103,Goare
HANGER,Richard,gent,Woolfardisworthy,,1637,150,Goare
HARRIS,Richard,the elder merchant,Barnstaple,,1637,130,Goare
HARTNOLL,John,,Tiverton,,1637,121,Goare
HARTNOLL,Phillip,,Barnstaple,,1637,9,Goare
HAWCKER,Bartholomew,,Upottery,,1637,140,Goare
HEWARD,John,,Coffinswell,,1637,143,Goare
HEWE als,Thomas,,Honiton,,1637,19,Goare
HUMPHREY,,,,,,,
HILL,Robert,Esq,"Trembraze, St Keverne,",will pvd,1637,129,Goare
,,,Cornwall(formerly of,Admon 19 Feb1660,,,
,,,"Shilstone, par Brendon)",by Arthur NUNN son of,,,
,,,,& admntr of extrix decd,,,
HILLMAN,Stephen,bachelor,Lamerton,,1637,167,Goare
HINCKSTON,John,mariner,Plymouth,,1637,103,Goare
HORSEY,William,,Lupitt,,1637,139,Goare
HURLE,Phillipp,gent,Plymstock,,1637,140,Goare
HUSSEY,Florence,widow,"Stockland, Dor.",,1637,167,Goare
JENNINGS,John,the younger,Clayhidon,,1637,140,Goare
KNAPMAN,William,gent,Throwleigh,,1637,118,Goare
LAMBERT,Ephraim,,Buckland Brewer,,1637,151,Goare
LANGBRIDGE,John,,Burlescombe,,1637,19,Goare
LEACH,Sir Simon,kt,Cadleigh,,1637,58,Goare
,,,,Admon 16 Sept 1658,,,
LUMLEY,Richard,,Dartmouth,,1637,162,Goare
MASON,Richard,gent,Hartford,Admon w. will,1637,115,Goare
MUDEN,Peter,M.D.,Butterleigh,,1637,130,Goare
NAYLOR,Oliver,Rector of,Marwood,Admon w. will,1637,52,Goare
NEWBERY,William,,"Dalwood, Dor.",,1637,161,Goare
NORRIS,Bartram,,"Hoditch, Thorncomnbe",,1637,19,Goare
PARR,Agnes,widow,Ipplepen,,1637,51,Goare
PARSON,Henry,,Shute,Admon w. will,1637,51,Goare
PAWLE,Henry,,South Molton,,1637,61,Goare
PEARS,James,,"Stockland, Dor.",Admon w. will,1637,115,Goare
PEARSE,John,gent,Warkleigh,,1637,72,Goare
PHELPS,Laurence,,Thorncombe,,1637,163,Goare
PINCOMBE,Temperance,,South Molton,Admon w. will,1637,94,Goare
POLE,Sir William,knt,"Colcombe, Colyton",will pvd,1637,38,Goare
,,,,Admon 25 Jun 1658 to,,,
,,,,grandson - exor decd,,,
POUNCE,Edward,,Marldon,Admon w.will,1637,40,Goare
,,,decd abroad unmarried,,,,
PRESTON,William,,Staverton,,1637,4,Goare
PRIDEAUX,Jonathan,Esq,"Thuborough, Sutcombe",,1637,128,Goare
PRUST,Phillip,,Hartland,,1637,103,Goare
,,,"(of Melcome, Dor. in 1632)",,,,
PYNE,Hercules,gebt,Axmouth,Admon 11 Jan 1636/7,,,
,,,,Will pvd,1611,61,Wood
RICHARDS,John,,Churchstanton,,1637,41,Goare
ROBINSON,Solomon,,Exeter,,1637,41,Goare
SHAPLIEGH,John,Esq,Dartmouth,,1637,93,Goare
SKYNNER,Anthony,,Fremington,Admon w. will,1637,104,Goare
SLOWLY,Arthur,mariner,Plymouth,,1637,123,Goare
SMITH,Elizabeth,widow,"Hawkchurch, Dor.",,1637,19,Goare
SMITH,Ursula,widow,Holcombe Rogus,,1637,63,Goare
SOMNER,Arthur,,Chittlehampton,,1637,129,Goare
SPICER,Christopher,gent,Exeter,,1637,145,Goare
STEVENS,Richard,gent,Molland,,1637,41,Goare
STONE,John,,Clehanger (Clayhanger),,1637,121,Goare
STRANGEWAYS,Robert,the younger,"Chardstock, Dor.",,1637,33,Goare
STREATE,John,the younger,Dartmouth,,1637,104,Goare
,,merchant,,,,,
SWENE,Tristram,,Lifton,,1637,85,Goare
TANNER,George,gent,Farringdon,,1637,3,Goare
TIPPETT,Nicholas,,Harberton,,1637,74,Goare
TOLCHEARD,William,,Ashburton,,1637,84,Goare
TURLINGE,Thomazine,widow,"Dalwood, Dor.",,1637,157,Goare
TURNER,Joan,widow,Silverton,,1637,16,Goare
VEALE,Richard,,Bridgerule,,1637,16,Goare
WALLIES,William,,Marldon,,1637,19,Goare
WALTER,Charles,,Braunton,,1637,60,Goare
WALTHAM,Richard,Esq,"Trehill, Kenn",,1637,73,Goare
WEBBER,George,,Tiverton,,1637,162,Goare
WESTCOTT,Thomas,,Holcombe Burnell,,1637,149,Goare
WILCOX,Anthony,,Broad Clyst,,1637,17,Goare
WOOD,John,bachelor,Culmstock,Admon w. will to sister,1637,164,Goare
YEO,William,,Bradworthy,,1637,101,Goare
YOUNG,Robert,gent,Colebrooke,,1637,140,Goare
,,,,,,,
1638 LEE,,,,,,,
,,,,,,,
AVERIE,Agnes,the elder,Braunton,,1638,58,Lee
BENNETT,Ellys,,Tiverton,,1638,64,Lee
BLUNDELL,Laurnece,gent,Ashburton,,1638,51,Lee
BLUNDELL,Peter,,Tiverton,pvd 18 Jun,1638,77,Lee
,,,,Admon 18 Feb 1639/40,,,
,,,,to grandson - exor decd,,,
BOWDITCH,Thomas,,"Easthays, Axminster",Admon w.will,1638,19,Lee
BOWLING,John,,decd abroad,Admon w. will,1638,19,Lee
,,,"(of the ""Hart"")",pvd by Alice WESTWOOD,,,
,,,wife Jane of Plymouth,relict Jane renounced,,,
BROWNE,Thomas,,Clayhidon,,1638,70,Lee
BULHEAD,Thomazine,widow,"Marley, Rattery",,1638,70,Lee
CARKETT,John,mariner,Plymouth,,1638,106,Lee
CHAMPERNOWNE,Dame Elizabeth,widow,Modbury,,1638,54,Lee
CHANTRELL,Peter,steward,died abroad,will pvd by father,1638,173,Lee
,,,"(of the ""Hart"")",Henry of Marwood,,,
COCKE,Marke,mariner,Northam,Admon w. will,1638,92,Lee
COGAN,Eleanor,,Tiverton,,1638,167,Lee
COMBE,Barnard,,Luppitt,,1638,36,Lee
COPLESTONE,Christopher,,Alverdiscott,,1638,87,Lee
COTTON,Elizabeth,widow,Exeter,,1638,54,Lee
CUDMORE,Daniel,gent,Loxbeare,,1638,50,Lee
DITCHETT,Nocholas,mariner,Fremington,,1638,77,Lee
DOIDGE,Henry,,"Leigh, Milton Abbot",,1638,7,Lee
DOLBEARE,Nicholas,,Ashburton,,1638,71,Lee
FORD,Eleanor,widow,Chittlehampton,,1638,166,Lee
FOWNES,Thomas,Esq,Plymouth,,1638,84,Lee
FROST,Nicholas,,Goodleigh,,1638,157,Lee
GIPSON,John,died abroad unmarr.,Ilfracombe,Admon w. will,1638,92,Lee
GRINTER,Nicholas,the younger,"Hawkchurch, Dor.",,1638,55,Lee
HALES,Humfrey,mariner,Braunton,Admon w. will,1638,34,Lee
HARRIS,William,,Holcomb Rogus,,1638,24,Lee
HARTNOLL,Elizabeth,widow,Barnstaple,,1638,55,Lee
HASSARD,John,clerk,Awliscombe,Admon w.will,1638,7,Lee
HELLIER,Elizabeth,widow,Uffculme,,1638,78,Lee
HOILE,John,gent,Ottery St Mary,,1638,18,Lee
HURLEY,John,,Tiverton,,1638,105,Lee
HUTCHINGS,Roger,,Honiton,,1638,77,Lee
ISACK,Peter,,Tawstock,,1638,25,Lee
JOPE,Elizabeth,widow,Plymouth,,1638,92,Lee
JORDAN,Richard,,Isle of St Christopher in,,1638,66,Lee
,,,West Indies but decd in,,,,
,,,Plymouth,,,,
KEATE,William,,Tiverton,,1638,53,Lee
KENT,William,merchant,Dartmouth,,1638,157,Lee
KING,Anne,,"Hawkchurch, Dor",,1638,46,Lee
LETHBRIDGE,John,,Monk(oke)hampton,,1638,180,Lee
LOCK,William,,Sampford Peverell,,1638,154,Lee
LOVEYS,Richard,gent,Sheepwash,,1638,167,Lee
MAY,Thomas,gent,Halberton,,1638,50,Lee
,,,decd in or near London,Admon 26 Mar 1644 to,,,
,,,,Thomas HARTNOLL,,,
,,,,his late wife formerly,,,
,,,,relict of decd,,,
MONGEY,Richard,,decd abroad unmarried,,1638,55,Lee
,,,born in p. Sutcombe,,,,
MORGAN,Christian,widow,Yarnscombe,Admon w. will,1638,99,Lee
NICOLL,John,mariner,Northam,,1638,92,Lee
NOSWORTHIE,Anne,widow,Clannaborough,,1638,32,Lee
ODDICK,Richard,,Payngton,,1638,50,Lee
OXENHAM,James,the younger,Zeal Monachorum,,1638,68,Lee
PEETERS als,William,mariner,Barnstaple,Admon w. will,1638,54,Lee
WHETTER,,,,,,,
PENROSE,John,gebt,Fremington,,1638,52,Lee
PINSENT,Bridget,widow,Kingsteignton,Admon w. will,1638,69,Lee
POPE,Thomas,,Staverton,,1638,69,Lee
PYSING,Robert,,"Hawkchurch, Dor.",,1638,164,Lee
RADDON,Richard,merchant,Plymouth,Admon w. will,1638,51,Lee
RADDON,Thomas,merchant,Plymouth,,1638,35,Lee
RICHARDS,Richard,citizen &,"St Faith the Virgin,",Admon w. will,1638,121,Lee
,,cloth worker,London; born at Silverton,,,,
RICHARDS,Edward,clothier,Tiverton,,1638,169,Lee
SHILES,Henry,,Biclight (Bickleigh),,1638,128,Lee
SLOCOCKE,Elizabeth,spinster,Halberton,,1638,77,Lee
SPECK,John,,Plymouth but decd abroad,,1638,53,Lee
STARLINGE,William,,Barnstaple,,1638,75,Lee
STEPHEN,Elize,,Buckland Monachorum,,1638,55,Lee
STONE,Honor,widow,Clehanger (Clayhanger),,1638,93,Lee
STRODE,Sir William,kt,"Newnham,",,1638,18,Lee
,,,p. Plympton St Mary,,,,
TORKINGTON,Francis,clerk,Rin(g)more,,1638,78,Lee
TROWT,Elias,,Exeter,,1638,99,Lee
UPCOTT,Nicholas,,Tiverton,,1638,78,Lee
WHITROWE,George,,Exeter but decd abroad,pvd by bro Benedict,1638,104,Lee
,,,,Admon t.n.i.last April,,,
,,,,to said bro renounced,,,
WIDDICOM,William,merchant,Plymouth,,1638,92,Lee
WILLIAMS,Thomas,the elder Esq,Stowford,,1638,46,Lee
WOTTS,Philip,,Kenton,,1638,166,Lee
,,,,,,,
1639 HARVEY,,,,,,,
,,,,,,,
ATKINS,Catherine,widow,"St Thomas Apostle, Exeter",Admon w. will,1639,95,Harvey
BASTARD,William,Esq,"Gerston, p. W. Alvington",,1639,88,Harvey
BERIFIELD,Thomas,,"Stockland, Dor.;Bristol",,1639,27,Harvey
BLUNDELL,John,gent,Tiverton,,1639,10,Harvey
,,,,Admon 18 Feb 1689/90,,,
BREWSFORD,John,,Holcombe Rogus,,1639,118,Harvey
BROOKEING,Lawrence,merchant,Totnes,,1639,201,Harvey
CALTHROPP,James,LLB,Dunchideaock,,1639,156,Harvey
CARTER,John,,Branscombe,,1639,29,Harvey
COKE,Richard,,"Thorne, Ottery St Mary",,1639,119,Harvey
CORNISH,James,gent,Tiverton,,1639,54,Harvey
COTTELL,Diana,spinster,Ashwater,,1639,119,Harvey
COURTNEY,Francis,Esq,Powderham,Admon w. will,1639,10,Harvey
CROSSING,Francis,Esq,Exeter,,1639,101,Harvey
,,,,Admon 10 Jun 1658,,,
,,,,"exors decd, relict",,,
,,,,renounced,,,
DELBRIDGE,John,gent,"Rompsham, Bishop's Tawton",,1639,157,Harvey
DOWINGE,John,,"Dalwood, Dor.",,1639,92,Harvey
DROMANT,Richard,,Great Torrington,,1639,29,Harvey
EDGECUMBE,Sir Richard,kt,Mount Edgcumb. p. East,,1639,114,Harvey
,,,Stonehouse,,,,
EMOTTE,Richard,,Ilfordcombe (Ilfracombe),,1639,177,Harvey
FERRIS,George,merchant,Barnstaple,,1639,95,Harvey
FRYE,Hugh,gent,Yarcombe,,1639,52,Harvey
GLANVILL,Sir Francis,kt,Tavistock,,1639,92,Harvey
GODDARD,Bernard,,Tiverton,,1639,3,Harvey
GOULDSTON,Elizabeth,spinster,Plymouth,,1639,29,Harvey
GREENSLADE,Philip,,Knowstone,,1639,123,Harvey
GREENWAY,Margery,widow of Aza,Colyton,,1639,22,Harvey
HAMLYN,Thomas,,Widdecombe,,1639,155,Harvey
HANFORD,Grace,widow,Barnstaple,,1639,57,Harvey
HARRIS,John,,Plymouth,,1639,178,Harvey
HARRY,Clement,,St Giles on Heath,,1639,193,Harvey
HARTNOLL,Thomas,mariner,Marwood,,1639,145,Harvey
HAYNE,John,the elder merchant,Exeter,,1639,202,Harvey
HEADON,Augustine,,Spreyton,,1639,177,Harvey
HEATHFIELD,William,,Uffculme,Admon w. will,1639,95,Harvey
HOCKIN,Christopher,gent,Great Torrington,,1639,144,Harvey
HOPWOOD,Raphe,,Newton St Cyres,,1639,101,Harvey
ISACK,Anthony,gebt,"Sidford, Sidbury",,1639,158,Harvey
LANE,John,,Collumpton,,1639,52,Harvey
LANE,Thomas,,Tiverton,,1639,4,Harvey
LEIGHT,John,merchant,Plymouth,,1639,200,Harvey
LEY,Simon,mariner,Tawstock,,1639,155,Harvey
LUSCOMBE,Thomas,,"Worden, Stoke Fleming",,1639,123,Harvey
MARTYN,John,merchant,Plymouth,Admon w.will,1639,54,Harvey
MAY,Phynees,gent,Halberton,,1639,28,Harvey
MOLLAND,Edmond,,Kings Nympton,Admon w.will,1639,113,Harvey
MOLLAND,Nicholas,,Kings Nympton,,1639,113,Harvey
NORRINGTON,Samuel,Rector of,Uplyme,,1639,56,Harvey
PINNEY,John,,Exeter,,1639,117,Harvey
POMEROY,Leonard,merchant,Plymouth,Admon 19 Sept 1639,,,
,,,,Will pvd,1629,25,Ridley
POWNING,Benjamin,,Honiton,,1639,180,Harvey
PRIDEAUX,Thomas,gent,Ugborough,,1639,29,Harvey
PRIDHAM,William,,Totnes,Admon 27 Nov 1639,,,
,,,,Will pvd,1621,16,Dale
RAYMOND,Anne,widow,"Hawkchurch, Dor.",,1639,22,Harvey
REWE,Robert,,Tiverton,,1639,155,Harvey
ROLL(E),John,gent,"Stevenstone,",,1639,55,Harvey
,,,St Giles in Wood,,,,
SALTER,Jerome,gent,Dartmouth,,1639,119,Harvey
SAUNDERS,John,gent,Bampton,Admon w. will,1639,113,Harvey
SHERWILL,Nicholas,merchant,Plymouth,,1639,100,Harvey
SLADE als,Joan,widow,Uffculme,,1639,179,Harvey
JAMES,,,,,,,
SNOWE,Robert,the elder gent,Burlescombe,,1639,114,Harvey
SOUTHCOMBE,William,,Bideford,,1639,114,Harvey
SPRAKE,Richard,,"Hawchurch, Dor.",,1639,114,Harvey
,,,(of Membury 1627),,,,
STEPHYNS,Jacob,merchant,Plymouth,,1639,36,Harvey
THOMAS,Ambrose,,Thorncombe,Admon w. will,1639,152,Harvey
