id	 COUNTY	 VALUE	 PLAINTIFF	 P_RESIDENCE	 P_COUNTY	 P_OCCUP	 DEFENDANT	 D_RESIDENCE	 D_COUNTY	 D_ALIAS_RES	 D_ALIAS_CO	 D_OCCUP	 DETAILS
11	LONDON	20	PETTUS THOS			GENT	ROSSE ROBT	WESTON	NORFOLK			GENT	On 18 oct 1600 at London (Cheap) Robert accounted with Thos for \r\ndiverse merchandise bought from him, and he was in arrears 9s 2d. \r\nOn the same day he bought 5 virg linen cloth called graye carsey \r\nfor 16s 8d, 1 3/4 ells woollen cloth called 'willowe colored \r\nbayes' for 3s 3d, 1 ell of carsey for 4s 2d, 1/4 carsey for 10d \r\nand 1/2 and 1/4 willow colored baye for 4d; \r\n\r\nand on 25 april 1601 at london (cheap) he bought 1 3/4 ells broad \r\ncloth for 13s 9d, 2 virgat russet bayes 5s, 2 3/4 virg broad cloth \r\nfor 27s 6d, and on 7 oct 1601 at london (cheap) he bought 4 virg fine \r\nendyve greene carsey for 16s, carsey for 4s 5d, a virg of seagrene carsey \r\nfor 2s 10d., and borrowed £14.16.1d, but does not pay when asked.
12	LONDON	13.33	PLOMBE JOHN			KENT	MOORE RIC	LONDON	LONDON	KINGSTON	CAMBS	CLERK	Conditional bond - if the said jp or his heirs and execs etc shall cause to be paid \r\nthe sum of £6.13.8. at the foote stone in the temple churche \r\nlondon on all saints day 1595 this oblig be of no effect. Oblig made \r\n7 oct 1594 (36 eliz) @ london (cheap).\r\n\r\nCASH
13	LONDON	23.43	WYNNYSS NIC				PALMER THOS	CARLTON	NHANTS	LONDON	LONDON	ESQ	Bills of oblig 60s& £6, - 1 dec 1601 @ london (cheap) def. bought 1&1/2 \r\nvirg of buck horne grene coloured cloth for 15s 9d, 4 3/4 \r\nvirg layre colored kerseye for 23s 9d & 30 virg woollen cloth \r\ncalled graye fryse for 50s.\r\n\r\n\r\n
14	YORKS	6	OSTLER JOHN				BLAKELOCKE ROBT	SOWERBY	YORKS				On 12 may 1597 at York castle def bought from John 3 1/4 virg \r\nmillion fustion for 10s 10d, 4 1/2 virg colored fustian for 6s \r\n9d, 3 dozen silke buttons & 3 foragnies bissia 16d, 2 virg \r\nbearinge canvas 2s., 1 pat worstil stockinge starch for 12d \r\n\r\nand on 21 mar 1598 at York castle he borrowed 80s 8d.\r\n\r\nCOTTON CASH SILK\r\n
15	?	5.50	HALLE ROBT				NICOLLS TRAUGHTON	ESSON	RUTLAND			YEOMAN	Robt on 21 sept 40 Eliz at London (cheap) sold to Robt 5 \r\nboviculos or steeres for £11.10 to be paid within 12 days of \r\nMich. the next falling. Troughton satisfied him for £6 only.\r\n\r\nCATTLE
16	YORKS	3.15	DAWSON JOHN				LINDELL ALEXAN'	LEEDS	YORKS			CLOTHIER	On 1 July 40 Eliz At York castle he sold to said Alex 109 \r\nLogwood, price 63s to pay when asked.\r\n\r\nDYESTUFFS
17	LONDON	35.50	WM ADDERLEY				RICHARDSON EDW	WESTWOOD	STAFFS	LONDON	LONDON	GENT	Edw on 24 sept 42 Eliz @ London (cheap), by a certain bill of his, \r\nack to owe £20.18.4. to pay at st James ap 1601. \r\n\r\nOn 3 nov 1599 @ london (cheap) he bought from Wm a juvenca for 40s 3d and \r\n2 other juvenca for 90s, 4 juvenca for £7.10s;\r\n\r\nand on 3 nov 1599 also he borrowed 8s 8d.\r\n\r\nCATTLE CASH
18	BUCKS	30	ANNESLEY GEORGE	TICKFORD	BUCKS	GENT	ANNESLEY THOS	GREAT LINFORD	BUCKS			GENT	On 11 july 26 Eliz at Tyckford by scrip obligat Thos ackd himself \r\nto owe £30:\r\n'the condicon of this obligation is such that if ...Th. A.\r\nand Gregory Reynolds or eyther of them or heirs, execs, \r\netc) doe well and truly deliver... to the above named G.A.... in \r\nthe nowe dwelling house of G.A.... in Tyckford within the parish \r\nof Newport Pagnell in co aforesaid, fortye quarters of barl[e]y \r\nsweete, clene, drye and merchantable corne of and with the best \r\nbetween the feast of all seynts next ens. after date hereof and \r\nthe feast of epiphany... next after the said feast... then this \r\npresent oblig to be voyde.'\r\n\r\nGRAIN
19	YORKS	11	PROCTOR ROBT				PROCTER ROGER	SELSIDE	YORKS	HUSBANDMAN			On 30 june 38 Eliz at York castle pl sold to def 2 cows for 80s , \r\nand on 12 oct 40 Eliz at York castle accounted for diverse moneys \r\nand found robert £7 in arrears.\r\n\r\nCATTLE CASH
20	LONDON	60	CHALLONER WM				HERBERT WM	MONMOUTH	MONM			GENT	Script oblig dated in london (cheap) 16 oct 43 eliz.-  cond bond:\r\nif john spicer & wm herbert cause to be delivered at house of hughe \r\nmason in monmouth before 20 dec after date hereof, 60 bushels of \r\nwheat and 40 bus of rye of monmouth measure, and at the same \r\nplace before 6 jan then next, 100 bushell pease, and on or before \r\n2 feb 35 bus of like of monmouth measure then this oblig to be \r\nvoid.\r\n\r\nPEAS AND BEANS
21	LONDON	60	SOME ELIZE				MARTANDELL SIMON	LONDON	LONDON	BURNAM	NORF	YEOMAN	Cond bond 26 sep 42 Eliz.:\r\nif Simon delivers to Ellice Some at the statle commonly\r\ncalled the Burnam Debdell' statle in Burnam 40 \r\ncombs of wheat and 10 combes of peas 'good stuff and able \r\nmarchant cleane' to be measured after the rate 21 combs for 20 at \r\nfeast day of Xmas next after date of this, then etc.. \r\n\r\nGRAIN PEAS AND BEANS
22	LONDON	3.05	HOUGHTON EDWARD				DALLY THOS	LEOMINSTER	HEREFS			CLOTHIER	On 21 sept 1599 at London (cheap) thos bought 100 lbs madder for \r\n46s 8d; \r\n\r\non 22 feb 1599 he bought 14 lib passularum 'fyne coryns' for \r\n6s 3d, 20 lb ficorum for 5s 2 untias longe pepper for 10d, 1/2 lb \r\ncase peper for 2s 6d.\r\n\r\nDYESTUFFS SPICES
23	BRISTOL	10	COLE WM				PLANCKNY HEN	WOLVERHAMPTON	STAFFS			MERCHANT	on 7 may 1601 at city of Bristol he bought from Wm a dol (pipe) \r\nof white wine for £8, a hogshead of clarett wyne for 80s and a \r\ndoleum of vynegar for 60s. total £15. Hen satisfied him of £5.\r\n\r\nVINEGAR
24	OXON	2.49	STROBRIDGE THOS				ARTHER ADAM	BLAKE	WILTS			YEOMAN	On 4 july 1597 at Oxford def bought 3/4 and 1/2 a qtr of a virgat of broadcloth for\r\n9s 6d, \r\n\r\nand on 2 july 1597 at Oxford he bought 3 1/2 virg broadcloth for 40s 3d to pay when \r\nasked...\r\n\r\nWOOLLEN CLOTH
25	LONDON	12	GREENE PHIL & W. ANNE				VAVISOR THOS	LONDON	LONDON			KNIGHT	On 10 oct 1596 at london (cheap) def bought from anna 'a scotch \r\nsaddle of strawe coloured cloth' for 8s, a sursingle for 8d, a \r\n'whood garded with greane and yellowe' for 3s., a wallett of \r\ncanvas 2s., a scotch saddle with deepe silke fringe for 24s, a \r\npaire of scotch stirropps & single lether for 2s 6d, 3 girtes for \r\n18d, a harness with long reins and buttons for 18d, a snaffle for \r\n12d, a slope cover of cotton for 2s 6d, 2 borse clothes of canvas \r\nfor 10s, a sursingle for 18d, a single coller for 14d to pay when \r\nasked. \r\n\r\nThen on 10 april 1597 at london (cheap) he bought a yennett \r\nsaddle of white spanish lether imbroydered for 60s, a scotch \r\nharneys to the same saddle for 20s, a pair of black spanish \r\nstirroppes & double lethers for 4s, 3 girtes for 15d, a docke of \r\nspanish lether stitched with a pair of docke stringes the leffs \r\nof silke for 6s, - for 6s., a gennet saddle of right buffe \r\nembroydered in the seate for 50s, a yenet harneys stitched for \r\n16s., a pair of blakc spanish stirrops & double lethers for 4s, 3 \r\ngrites 15d, 1 clook of buffe sticht for 6d, 2 hayre clothes for \r\n2s 8d, a pair of pastors for 20d to pay etc. \r\n\r\nThen on 16 sep 1598 at london (cheap) he bought a dustinge clothe of \r\ncotton for 14d., a mane comb with spunge for 8d, a pair of false raynes \r\nfor -d., to pay etc, total £12. Denies.\r\n\r\nHORSE HARNESS
26	LONDON	30.45	PENNINGTON JAMES, WOOD JAMES				HERFORD ANTHONY	BOSBURY	HEREFS			ARMIGER	5 july 1600 at Cheap def bought 22 virg 'white jeane fustyan' for 18s \r\n4d and many other kinds of cloth. and on 15 dec 1600 at cheap he \r\nbought rich taffaty 6 1/2 ells for £5. 4s & more cloth incl \r\nblackserge. \r\n\r\nAnd on 3 apr 1601at cheap he bought white satten (9 virg for £6 6s) and \r\nother cloth. \r\n\r\nAnd on 10 july 1601 at cheap 17 virg white jeane fustyan and \r\nother cloths inc 'two pile velvett'. Denies. Def in mercy.\r\n\r\nCOTTON SILK
27	LONDON	6.34	MASTERS HENRY				MOONE RIC	LONDON	LONDON			GENT	3 oct 1598 at London (cheap) def retinuisset clothing etc. \r\n\r\nAnd on 30 october 1598 he bought 11 virg grogran for 25s 8d. 7 1/2 virg \r\nfustian for 7s 6d and lots of other cloth, buttons etc.\r\n\r\nCOTTON
28	ESSEX	4.96	LANE LAUNCELOT				NOKE EDWARD	PELDON	ESSEX				On 30 aug 38 Eliz at Chelmsford def accounted with launcelot for \r\ndiverse mercery bought before that date - on that a/c he owed 77s \r\n11d;\r\n\r\nand on 29 sept 38 Eliz at Chelmsford he borrowed 20s to pay \r\nwhen required; and on same 29 sept he bought a nayle bever \r\ncoloured fustian for 16d\r\n\r\nCOTTON
29	LONDON	117	FAGE EDW			GENT	ELYE EDW						At London (cheap) on 24 may 42 Eliz def bought from pl 18 oxen \r\nfor £117, to pay when required.\r\n\r\nCATTLE
30	YORKS	2	LOCKWOOD MARMADUKE				SHIPPERD JOHN	BARTON ON HUMBER	LINCS			YEOMAN	On 20 may 1599 at York castle def bought 4 virg woollen cloth \r\ncalled broad cloth for 32s and borrowed 8s.
31	STAFFS	2.13	HANCOXE WM				SMYTHE RIC	DUDLEY	WORCS			YEOMAN	At Wolverhampton on 4 june 1594 def bought 3 virg red kersey 9s., \r\n1 virg. medley kersey, 3s. 8d., 6 virg grey fryse, 8s.6d., 1 1/4 \r\nvirg. medley kersey and 1 1/2 virg white cotton, 6s 2d to pay \r\netc. \r\n\r\nAnd on 11 aug 1596 @ Wolverhampton he bought 5 virg browne fryse 8s \r\n3d 1 1/2 virg white cotton 15d, 1 1/4 virg burton karsey 4s 8d, 1 \r\n1/4 virg black cotton, 12d to pay etc.\r\n\r\nWOOLLEN CLOTH
32	EXETER	2.36	BODYE RIC				POMEROY THOS	INGSDON	DEVON			GENT	On 11 mar 1598 at Exeter def bought a cloak, a kertle, a stomacher, \r\na pair of fustian sleeves, 1 virg buckram 8d, 1/4 virg talbury \r\nbayes 14d., 4 1/2 virg cotton 6d., 1 ell bayes for 4s 2d, 6 \r\nwhales bones for 12d, 1 1/4 virg bever taffeta 2s 6d.\r\n\r\nCLOTHING LINEN WOOLLEN CLOTH SILK WHALEBONE
33	LONDON	0	MOTTRAM WM				BRADFORD JOHN	STANLEY	YORKS			GENT	On 18 dec 1591 at london (chepe) bought canvas and other cloths, \r\nsilver buttons, etc and on diverse subsequent occasions \r\nsimilarly.\r\n\r\nLINEN PRECIOUS METALS
34	LONDON	0	BEADELLY MATHEW				BELFEILD WM	LONDON	LONDON			GENT	On 18 june 1596 at london in par BMA in Cheap def bought 4 virg \r\n'sponysle aske color clothe' for 50s to pay etc.\r\n\r\nWOOLLEN CLOTH
35	YORKS	0	WHIPP JOHN				SALEMP JAMES	STAMETHORP	DURHAM			GENT	On 14 Mar 1599 at Leeds def bought from pl 1 lb figs for 6d., 1 \r\nlb starch for 8d, 1 doz ligularum for 4d, 3 1/2 virg 'tusc \r\ncanvas' for 9s. 3 dozen buttons 3 skenes bissi for 18d, 3 virg \r\nfustian for 4s 6d., 3 doz buttons and 2 doz buttons and 3 skenes \r\nbissi for 18d., 2 oz quicksilver and 2 oz sapenis for 14d, 6 \r\nsheets paper for 1d., 1 pair gloves for 4d., 1 parcell del blew \r\nstarche 2 d, 1 par cartarum pictarum 4d., to pay etc. \r\n\r\nAnd on 8?June 1599 at Leeds he bought busc canvas, fustian, buttons skenes \r\nof biss, cottons, canvas, bumbasce, etc.\r\n\r\nLINEN SPICES FUR COTTON LACES SOAP MERCURY
36	YORKS	0	BURROWE JOHN				STABLE GERVASE	NETHER YELLAND	LANCS				On 7 apr 28 eliz at York castle def bought 1 iuventum for 40s and \r\non 28 nov 36 eliz at York castle he bought 3 verbices/vervices [pres wethers]\r\nfor 20s. and on 8 apr 36 eliz at york castle 40s for his \r\nwife's.......\r\n\r\nCATTLE SHEEP
37	LONDON	0	BAYNING PAUL			KNIGHT	FRYER JOHN	LONDON	LONDON			MERCHANT	On 5 sept 42 Eliz at London a certain agreement was made between \r\nthe parties that the said Paul should sell to the said John 2000 \r\nlbs or 20 hundred weight of stammer [tin] carried in a ship \r\ncalled the Troyan of London from the port of London to Argere or \r\nany other port in Turcia beyond the sea and their by the said \r\nJohn or his factor sold, and with the proceeds thereof to buy \r\ngoods and merchandise and to return in the said ship within a due \r\ntime.... and within 14 days of his return those goods and \r\nmerchandise to pay the said Paul for each 100 lb of tin 73s 4d. \r\npaul delivered the tin and on the 20 jan 43 Eliz it did arrive at \r\nArgere in Turcia and the said John sold it for full profit to the \r\nuse of the said John but he falsely and fraudulently withheld the \r\nmoney and would not render any of the goods or merchandise \r\nderiving from [sale of] the tin to his damage of £100. The \r\nagreement was made in par BM de A in Cheap.\r\nJohn denies and puts himself super patriam. Non-appearance of jurors.\r\nJohn to recover & £5.10s for the damage sustained.\r\n\r\nTIN
38	LONDON	0	WOODCOCK WM EXEC OF				BROUGHTON FRANCIS	-	CHESTER			GENT	On 21 sept 1596 at Cheap def bought from wm 18 lb 4 oz sugar for \r\n18s 3d, 2 ounces large maces for 1s 8d; 4 oz nutmeg for 1s 4d; 3 \r\noz sincemon for 1s 1 1/2d; 8 lb raisins for 2s 8d, 4 oz ginger \r\nfor 10d; 8 lb currants for 2s 8d; 6 lb prunes for 2s 6d; 2 lb 3 \r\noz marmalad for 2s 11d; 2 lb 12 oz suckett for 3s 1d; 1 lb pepper \r\nfor 3s, 1 lb annyseedes for 8d; 4 oz cloves for 1s 5d; and a \r\npixidem vocat a bar de le suchell for 3d to pay etc. and he \r\nborrowed the same day 7s 7 1/2d.\r\n\r\nSPICES
39	LONDON	0	WELLEN NATHANIEL				HICKS HEN	STAPLES INN	MIDDX			GENT	On 15 june 1601 at london in par BMA in Cheap def bought 12 3/4 \r\nells linen cloth called holland for 31s 10 1/2 d; 9 1/2 ells \r\nholland for 26s 1 1/2d; 5 1/4 ells and 1 naile of linen cloth \r\ncalled cambruke for 42s.6d; 16 ells canvas for 24s; 3 ells \r\ncambruke for 30s 6d tobe paid when asked but etc.\r\n
40	SUFF	0	FURMYN EDMUND [of Ispwich]				-LANE LIONEL	DEBENHAM	SUFFOLK			COWPER	script obligat. made at Ipswich, 10 mar 42 eliz. cond bond - if \r\nlionel... deliver... before 4 aug next at the house of Edmund in \r\nIpswich 20 laste of barrel bordes good marchantable and sufficient \r\nthen this oblig to be void.
41	YORKS	0	TAYLER RIC EXECS OF (NAMED)				FOXE JOHN	CAMPSALL	YORKS				On 28 mar 42 eliz at York castle Ric sold to def 3 qtrs of barley for 93s 4d to pay \r\nwhen etc.\r\n\r\nExecs = thos bayls and w. alize. \r\n\r\nGRAIN
42	LONDON	0	BOTHBYE WM EXECS OF				WARTER ROGER & W ELIZ	LONDON	LONDON			CORDWAINER	On 26 May 1597 at London he bought 1 lb blacke and crymson fringe \r\nfor 4s 6d. 1 lb crymson fringe for 5s 8d, 2 doz engraven thimbles \r\nfor 12d; 23 1/2 virg and 1/8 virg silke cypres for 40s 2 1/2d; 2 \r\nells black broad taffitee 24s, to pay etc. \r\n\r\nAnd on 22 june 1597 at London, Cheap he bought a piece of fustian cloth for 25s; \r\n2 virg velvet ground taffitee for 18s to pay etc\r\n\r\nSILK COTTON
43	LONDON	0	BEADELLY MATH.				POPE WM	BOXTON	OXON			KNIGHT	1 Nov 1597 at london cheap def bought tawney bays; on 9 dec 1597 \r\nhe bought tawney bays, 23 jan (sic) fine grey cloth and ash colour bays, \r\nrusset bays; 20 april 1598, cloth, tawney bayes; 20 aug 1599 azure \r\ncolour cloth; 8 oct 1599, blacke clothe; 9 nove 1599 gray cloth, \r\nrussett bayes; 8 sept 1600, tawney cloth and bays, to pay etc.\r\n\r\nWOOLLEN CLOTH
44	LONDON	0	WESTALL RIC				MOORE LODWIG	LONDON	LONDON			IMBROIDERER	On 11 may 1601 at london (Cheap) def bought 14 1/2 vir coloured \r\nsipres for 41s 1d and borrowed 18s 11d.\r\n\r\nSILK CASH
45	LONDON	0	LOVELASE LAUNCELOT				BELLAMY FIDES	LONDON	LONDON			GENT	3 Feb 1601 at London (cheap) def bought 5 pair of 'romishe and \r\nimbrodered gloves' for said sum to pay etc\r\n\r\nGLOVES
46	LONDON	0	CHALLONER WM				SPICER OR SPERE JOHN	MONMOUTH	MONMOUTH				Scrip ob at London 16 oct 43 eliz. cond bond - if John deliver \r\nbefore 20 dec next to dwelling house of Hugh Meson the younger in \r\nMonmouth town 60 bus wheat and 40 b rye of monmouth measure and \r\non or before 6 jan 35 bus pease and on or before 2 feb 35 bus \r\noats then etc.\r\n\r\nGRAIN PEAS AND BEANS
47	LONDON	0	BAKER THOS	KINGS LYNN	NORFOLK		MALYN THOS	STRETHAM IN ISLE OF ELY	CAMBS	BOSELYN	SUFF	YEOMAN	£80 owed on scriptum made in London 21 mar 42 eliz. and on 31 dec \r\n44 eliz at London by a bill he ack to owe 60 qtrs of beans, good \r\nsweet and merchantable etc. at 21 combes for 20 delivering to T.B. \r\nat Lynn in Norf. on or before 15 april then next under pain of \r\n£90. (this all in latin - a vernacular bond covers the additional £80 which \r\nis in fact for a debt of £42 to be paid at Lynn on or before 4 aug then \r\nnext falling)\r\n\r\nPEAS AND BEANS
48	BERKS	£12.50	CRANHEGE THOS				BARTLETT RIC	COMPTON	BERKS				On 8 aug 1601 at Spenhamland def bought 130 lbs ox flesh at 2s 8d \r\nper 20 lb - 17s 4d. \r\n\r\nAnd on 15 aug 1601 at Sp. he bought 153 lb ox \r\nmeat (carnis bovine) @ 2s 8d per 20 lb., and on 22 aug. 1601 at S. \r\nhe bought 120 lb ox meat at 2s 8d. and on 29 aug 1601 at S. 141 lb \r\nox flesh at 2s 8d. and on 5 sep at S. 134 lb ox meat @ 2s 8d per \r\n20 lb.... \r\n\r\nand so on, on 11 sep, 18 sep, 27 sep, 2 oct, 8 oct, 16 oct, 24 \r\noct, 30 oct (144 lb).
49	ESSEX	£20.00	EDWICHE THOS				GYNNE GEORGE	GT DUNMOW	ESSEX				On 7 sept 1598 at Gt Dunmow George bought from Thos 1,000 lb of \r\nhops (lupulorum) for £20 to pay when asked. denies
50	LONDON	0	GREENE PHIL & W. ANNE				CORNWALLYS WM	LONDON	LONDON			KNIGHT	On 24 aug 1597 @ london (cheap) def bought 24 virg & 11 uncios \r\nshorte sylke frenge for 23s 10d and deep silk fringe, buckles, 9 \r\ndozen studdes (7s 10d), fustian; same day he brought to Anne a \r\nsaddle to be repaired; \r\n\r\nand on 6 june 1599 @ london he bought a horse hood and a pair of spanyshe \r\ncopper styroppes etc & lots of other bits of saddlery; \r\n\r\non 6 june 1599 he also brought to anne a saddle for lining etc etc\r\n\r\nCOTTON SILK HORSE HARNESS
51	LONDON	0	BOX THOS				LARGE WM	BRISTOWE CAWSEY ??	SURREY			YEOMAN	12 Oct 1599 @ London (cheap) def bought unum spadonem album voc a \r\nwhite burstoll nagge and 7 loads of hay for £11.6.4, and on 10 \r\nnov 1601 @ London he bought 2 horses and 2 loads of hay for £8; \r\nand on same 10 nov 1601 at London he borrowed £10.13.8 to pay \r\netc. denies.\r\n
