id	 COUNTY	 VALUE	 PLAINTIFF	 P_RESIDENCE	 P_COUNTY	 P_OCCUP	 DEFENDANT	 D_RESIDENCE	 D_COUNTY	 D_ALIAS_RES	 D_ALIAS_CO	 D_OCCUP	 DETAILS
46	LONDON	16	MOWER WALTER	LONDON	LONDON	CITIZEN & DRAPER	PARMYNTER JOHN	BURY ST EDMUNDS	SUFF			DYER	On 9 October 1495 in London, parish of St Sepulchre the defendant \r\nbought 6 bales of woad for said £16, to pay when required.\r\n\r\nDYESTUFF
47	LONDON	20	BAROWE WM	GILDESBOROUGH	NHANTS		SWAYN MATH	NORTHAMPTON	NHANTS			MERCHANT	On 5 July 1498 in London, parish of St Sepulchre by an agreement \r\n- viz: William (plaintiff) should plough and warrant to the use \r\nof Matthew 43 acres of arable land for 17s 8d and said William  \r\nsold to said Matthew 8 acres 1 rod of rye, 25 acres of barley, 15 \r\nacres of peas, 1 rod and 12 acres of oats - price per acre one \r\nwith another 20d - total 100s and 10d. In addition he sold to him \r\n50 sheep for £25, 10 cows price 5 marks, 10 oxen price 100s, a \r\nrick of rye and a poserick (rick of peas) and all herbage and \r\nmeadow in vill and field of Northtoft for 25 marks. Total \r\n£53.18.6. The defendant to pay on 24 August next £13.18.6, on 25 \r\nMarch £20, 30 November 1499 £20. Defendant has satisfied him to \r\nthe amount of £33.18.6.\r\n\r\nGRAIN PEAS AND BEANS CATTLE HAY
48	LONDON	130.05	HONCHET RIC	LONDON	LONDON	SKINNER	COPULDYK WM	CHELMSFORD	ESSEX			YEOMAN	On 24 June 1492 in London, parish of St Sepulchre, by a bill \r\ndefendant agreed to pay Plaintiff £6.7.2 by next Michaelmas. On \r\nsame day at same place defendant bought 4 ells of linen cloth \r\ncalled canvas, a bridle, a pix of greenginger, a tippet of \r\n'bersenere, a hood called 'losard'(?) for 43s 9d. He also \r\nborrowed 40s -  to pay when require. Defendant says he signed the \r\nbill under duress.\r\n\r\nHORSE HARNESS SPICES
49	KENT	2	STEVYNSON ELIZ EXEC OF SIMON S	LONDON	LONDON	DRAPER	EDWARD JOHN	CROYDON	SURREY			DRAPER	On 10 October 1497 at Maidstone, the defendant bought 2 white \r\nwoollen cloths, one kersey and 1 russet and 13 yards of white \r\ncloth called whitelinen for 40s.\r\n\r\nLINEN WOOLLEN CLOTH
50	LONDON	2	JOHNSON JOAN EXEC OF WM	LONDON	LONDON	CITIZEN & BUTCHER	HORE THOS	LONDON	LONDON			FELMONGER	On 20 October 1494 in London, parish of St Nicholas Shambles in \r\nFaringdon Without, the defendant bought 20 dozen lamb skins for \r\n40s to pay when required.\r\n\r\nWOOLFELLS
51	LONDON	201.04	GOULE RIC	LONDON	LONDON	CITIZEN & MERCER	POLE RIC	LONDON	LONDON			KNIGHT	On 10 November 1484, in London, parish of St Sepulchre, the \r\ndefendant bought 4 yards of satin coloured ray, 10 yards of black \r\nsatin called chamelet; half a yard of velvet; 6 ells of \r\nOSSOMBROG', 9 1/2 pieces of linen called 'syps'; 1/2 yard of \r\ndamask; one piece of buckram, 1 PRIMERIU'; 2 1/2 yards of satin; \r\none collar; 8 1/2 yards of DYAPER for £9.0.9. and the same day \r\nborrowed 16S.\r\n\r\nSILK
52	OXON	20	BADBURY EDMUND SEN				LAMBERT JOHN	BUCKINGHAM	BUCKS			BOCHER	By a letter of obligation made at Pirton (Herts or Worcs) on 21 \r\nApril 1499, the defendant acknowledges that he owes £20 unless he \r\ndelivers to Wm Curtes on the day following the date of the bill \r\n15 sacks of wool price of each sack £6.13.4 - in total \r\n£100.\r\n
53	LONDON	8	SPARK WM	LONDON	LONDON	DRAPER	ODAM (?WOODAM) JOHN	WISBEACH	CAMBS			YEOMAN	On the 20 April 1487 at London, parish of St Sepulchre, the \r\ndefendant bought a pipe of Gascon wine and a pipe of malmesey for \r\n£8 -to pay when required.\r\n
54	DEVON	2	BERHANT HEN				OLDESWORTHY THOS & EMMA	KINGSBRIDGE	DEVON			MERCHANT	On 12 March 1496 at Kingsbridge (Devon), the defendant bought a \r\npiece of whole linen cloth called 'bowlescloth' for 40s - to pay \r\nwhen required.\r\n
55	LONDON	198	BOTERY WM	LONDON	LONDON	CITIZEN & MERCER	LEUKENORE RIC	TROTTON	SUSSEX			KNIGHT	On 18 December 1498 at London, parish of St Sepulchre, the \r\ndefendant bought 10 yards of black velvet, 8 yards of tawny \r\nvelvet, 2 and a half yards of crimson velvet, 3 yards of black \r\nsatin, 3 yards of satin coloured orange and 6 yards of black \r\nsatin pirled for said sum - to pay when required.\r\n\r\nSILK
56	LONDON	137.01	JOHNSON JOAN EXEC OF WM	LONDON	LONDON	CITIZEN & BUTCHER	MARBERE WM	LONDON	LONDON			GENT	On 1 July 1496, at London, in parish of St Nicholas Shambles, the \r\ndefendant bought the meat of 3 oxen, 10 calves, 5 wethers, 4 pigs \r\nand 1 GOSCAM DE BRAWNE for said sum - to pay when required.\r\n
57	LONDON	69.03	SHENOKE HEN EXECS OF (NAMED)	LONDON	LONDON	SHERMAN	MYDDLETON HEN	HORNCHURCH	ESSEX			GENT	The execs are Robin Kelsey and his wife Katrina. On 10 October 1497 at \r\nLondon, parish of St Sepulchre, the defendant bought a silver chalice, a horse \r\ncalled an IRYSSHOBY & 5 barrels of ale for £9.3.8. \r\n\r\nHORSES
58	BUCKS	2	WEYLOKKYS THOS				MEDE THOS	CLAVERING	ESSEX			HUSBANDMAN	On 20 May 1500, at Aylesbury (Bucks) the defendant bought a horse \r\nprice 40s - to pay when required.\r\n\r\nHORSES
59	LONDON	198.03	GRENE ROBT	LONDON	LONDON	CITIZEN & MERCER	FOWLE THOS	SMERDON	KENT			CHAPMAN	On 7 March 1493 at London in the parish of St Sepulchre, by a letter of \r\nobligation, the defendant acknowledged to owe £10.5.8. and to pay £5.5.8. on 24 \r\nJune next and £5 at Michaelmas. On 15 December 1497,in the same place, he \r\nbought 46 ells of linen 'holland' cloth, 2 and a half pieces of fustyan, 2 pieces of \r\nbokeram, 4 pieces of canvas, 5 yards of crimson satin, 1 yard of black satin, 1 \r\nyard of damask, 11 yards of DORNEKK, 2 pounds of cotten thread and 1 lining \r\n(duploiden) of black velvet for £8 10s - to pay when required. \r\n\r\nCOTTON SILK
60	BUCKS	4	POWER ROB				MARSTON ED	STONY STRATFORD				BAKER	On 12 April 1499 at Whitchurch (Bucks) the defendant bought from \r\nthe plaintiff 20 quarters of wheat for said £4 - payment when \r\nrequired.\r\n\r\nGRAIN
61	DEVON	2	IDERE WALTER				DONNE JOHN	EXETER				YEOMAN	On 10 September 1486, at Exeter, the defendant bought 2 oxen \r\nand 'DUCENTA SINUAGIA EQUINA PETRARUM -'\r\n\r\nCATTLE
62	DEVON	2	SNYSEMORE WM				SNELL JOHN	BOWE	EXETER			BAKER	On 10 October 1497, at Exeter, the defendant bought 4 oxen and a \r\nwain for £4.13.4 of which he has repaid 53s 4d.\r\n\r\nCATTLE
63	LONDON	258.01	BRYAN THOS				EDWARDES JOHN	HENDON	MIDDX			HUSBANDMAN	On 4 June 1499, at London, parish of St Sepulchre, defendant \r\nbought 45 oxen and 100 ewes for £98.11.6. - of which he has \r\nrepaid £55.13.4.\r\n\r\nCATTLE SHEEP
64	LONDON	158.02	WARDE THOS				CASTELL JOHN	STONY STRATFORD	BUCKS			MERCER	On 17 November 1497 in London in the parish of St Pancras, \r\nCheapside, defendant bought 100 and 3/4 ells of holand cloth and \r\nBrasill cloth for said 53s 4d.\r\n\r\nLINEN
65	LONDON	2	WRETHE JOHN EXECS OF	LONDON	LONDON	CITIZEN & CISSOR	COO HIGH	SOHAM	NORF			GENT	On 31 October 1482, in London, parish of St Sepulchre, defendant \r\nbought 3 and a quarter yards of woollen cloth called Blackpuke, 3 \r\nyards of woollen cloth called tawny cloth and 2 yards of woollen \r\ncloth called blackmedley for 40s.\r\n\r\nCLOTHING
66	LONDON	2	COPELAND JOHN				COTES ROB	WALTHAMSTOW	ESSEX				On 1 May 1499 in London in the parish of St Sepulchre the \r\ndefendant bought 11 and a half yards of woollen cloth called \r\n'kendale', 5 ells of cloth green coloured called 'green fryse', 5 \r\nand a half yards of woollen cloth called tawny medley, 3 yards of \r\nwoollen cloth called black kersey for 20s. On the same day he \r\narranged (commissioned?) the plaintiff to make 4 'togas viriles' \r\ncalled men's gowns, 8 tunicas called jackets, 3 pairs of hose - \r\nfor 13s 4d, and also on the same day he borrowed 6s 8d.\r\n
67	LONDON	128	MYLYS JOHN				SPAROWE THOS	SOUTHWARK	SURREY			BREWER	On the 12 January 1497, in London, Cheapside, the defendant \r\nbought 34 quarters of malt for £8.10.0.\r\n
68	BUCKS	162.02	CASTELL JOHN (PP)				BRONN JOHN	LEIGHTON BUZZARD				DYER	On 20 April 1499, at Stony Stratford (Bucks), the defendant \r\nbought 100 pounds of woad for 13 marks of which he owes 10 marks.\r\n\r\nDYESTUFF
69	BUCKS	2	CASTELL JOHN (PP)				JAMES JOHN	LONDON	LONDON			BUTCHER	On 20 May 1496, at Stony Stratford (Bucks) the defendant bought \r\n100 ewes for £9 of which he paid £7.\r\n\r\nSHEEP
70	LONDON	2	THORNTON JOHN EXECS OF	LONDON	LONDON	STOCKFISHMONGER	ST ALBANS THOS ABBOT OF	ST ALBANS	HERTS			ABBOT	On the 8 July 1493, in London, parish of St Sepulchre, the defendant bought 60 \r\nfish called saltfish and 60 fish called stockfish for 40s. 
71	LONDON	2	POLE THOS	LONDON	LONDON	TAILLOR	EVERARD THOS	BURFORD ON THE WOLD	OXON			GENT	On 7 October 1494, in London, parish of St Sepulchre, defendant \r\nbought a pipe of claret wine for £3 of which he paid £1.
72	YORKS	5	ATKYNSON WM				HENDEN WM	MASHAM	YORKS			WALKER	On 20 November 1480, at Masham (Yorks) the defendant borrowed 30s \r\nfrom plaintiff, and also on 10 August at Masham he bought from \r\nthe plaintiff 30 stones of wool for 70s.\r\n
73	LONDON	2	HILL HENRY				SMYTH WM	LONDON	LONDON			SALTER	On 20 May 1498, in London, parish of St Magnus in Bridge Ward the \r\ndefendant bought 140 boards called shipboards for said 40s.\r\n\r\nTIMBER
74	LONDON	7	KNYLL EUSTACE	LONDON	LONDON	MERCER	COSTE THOS	LINCOLN	LINCS			MERCER	On 13 September 1498 in London, parish of St Sepulchre the \r\ndefendant bought 6 pieces of 'medlegypres'(cloth) 107 and three \r\nquarter ells of holland, 22 ells of canvas, 37 ells of brabant, 2 \r\npieces of buckram, 1 piece and 9 yards of chamlet, 6 yards of \r\nsilk dornyke and 4 yards of sarsanet for £10.2.2. of which he \r\npaid £3.2.2.\r\n\r\nCOTTON SILK
75	LONDON	2	BOURGCHIER ROGER	LONDON	LONDON	CITIZEN & MERCER	PLACE GRACIANUS DE LA	WORCESTER				VINTNER	On 10 April 1496, in London, in the parish of St Sepulchre the \r\ndefendant bought 3 butts of wine called malmesey for £12 of which \r\nhe paid £10.\r\n
76	DEVON	26	PAYNE RIC				BARRY WALTER	COLBROKE	DEVON			FRANKLEYN	On the 3 May 1495 at Crediton (Devon), the defendant bought 2 \r\noxen and a bull for 40s.\r\n\r\nCATTLE
77	LONDON	124.05	HENEGE JOHN				CROME JOHN	NORWICH	NORFOLK			MERCER	On 10 September 1497, at London in the parish of St Peter, \r\nCheapside, the defendant bought 226 ells and one yard of Bressell \r\ncloth, 7 pieces of buckram, 2 reams of paper, half a piece of \r\nBULTELL, 105 and three quarter ells of Normandy canvas and one \r\nchest for £11.7.11 - of which he repaid £6.17.0.\r\n\r\nLINEN FURNITURE
78	LONDON	137.02	FYTZHERBERT HEN				WARE WM	OTTERY ST MARY	DEVON			CHAPMAN	On the 26 July 1498, in London, parish of St Sepulchre, in \r\nFaringdon ward the defendant bought a piece of cloth called 'say' \r\nof violet colour, another piece of clack colour, 2 pieces of \r\ncloth called 'cardelen', a piece called 'collombette' and 2 \r\npieces of linen cloth called bokeram for 111s and 4d.\r\n\r\nWOOLLEN CLOTH
79	LONDON	127	SKYPWITH JOHN	LONDON	LONDON	DRAPER	DANDY RIC	BURY ST EDMUNDS	SUFFOLK			PATYNMAKER	On 12 APril 1497 in London in the parish of St Sepulchre, the \r\ndefendant bought a dole of claret, a hogshead of red wine and a \r\nhogshead of white wine for £7.10.0.\r\n
80	LONDON	5	SKYPWITH JOHN	LONDON	LONDON	DRAPER	GARDENER JOHN	BURY ST. EDMUNDS	SUFFOLK			INNHOLDER	On 12 April 1497 at London, parish of St Sepulchre, the defendant \r\nbought a dole of red wine for 100s.\r\n
