page,note,category,line,hundred,text,eo_text,pt_text,new_text,forename,surname,type,title,value,new_pt_text,pt_forename,pt_surname,pt_type,pt_title,pt_value,new_eo_text,eo_forename,eo_surname,eo_type,eo_title,eo_value,gemini_forename,gemini_surname,year,person,forename_id,person_id,recipient_match,surname_match,surname_id
23,3,right_column,22,Colyton,Martin Clercke 2,Martin Clercke 2,Martin Clercke,Martin Clercke 2,Martin,Clercke,G,,2.0,Martin Clercke,Martin,Clercke,G,,,Martin Clercke 2,Martin,Clercke,G,,2.0,Martin,Clercke,1543,Martin Clercke,69,69_834,0,1,834
23,4,left_column,4,Colyton,John Clerke 4,John Clerke 4,,John Clerke 4,John,Clerke,G,,4.0,,,,G,,,John Clerke 4,John,Clerke,G,,4.0,John,Clerke,1543,John Clerke,1,1_834,0,1,834
23,6,right_column,6,Colyton,Robert Mayne 3,Robert Mayne 3,Robert Maymne,Robert Mayne 3,Robert,Mayne,G,,3.0,Robert Maymne,Robert,Maymne,G,,,Robert Mayne 3,Robert,Mayne,G,,3.0,Robert,Mayne,1543,Robert Mayne,7,7_2671,0,1,2671
23,6,right_column,7,Colyton,Thomas Cheke 1,Thomas Cheke 1,Thomas Cheke,Thomas Cheke 1,Thomas,Cheke,G,,1.0,Thomas Cheke,Thomas,Cheke,G,,,Thomas Cheke 1,Thomas,Cheke,G,,1.0,Thomas,Cheke,1543,Thomas Cheke,0,0_781,0,1,781
24,10,left_column,1,Colyton,Robert Drake 20,Robert Drake 20,20,Robert Drake 20,Robert,Drake,G,,20.0,20,,,G,,20.0,Robert Drake 20,Robert,Drake,G,,20.0,Robert,Drake,1543,Robert Drake,7,7_1293,0,1,1293
24,14,center_column,8,Colyton,John Clerke 2,John Clercke 2,John Clercke,John Clerke 2,John,Clerke,G,,2.0,John Clercke,John,Clercke,G,,,John Clercke 2,John,Clercke,G,,2.0,John,Clercke,1543,John Clerke,1,1_834,0,1,834
24,15,right_column,4,Colyton,Henry Haydon 2,Henry Haydon 2,Henry Haydon,Henry Haydon 2,Henry,Haydon,G,,2.0,Henry Haydon,Henry,Haydon,G,,,Henry Haydon 2,Henry,Haydon,G,,2.0,Henry,Haydon,1543,Henry Haydon,22,22_1835,0,1,1835
24,1,left_column,2,Colyton,John Clerke 1,John Clerke 1,,John Clerke 1,John,Clerke,G,,1.0,,,,G,,,John Clerke 1,John,Clerke,G,,1.0,John,Clerke,1543,John Clerke,1,1_834,0,1,834
24,4,left_column,8,Colyton,Henry Clerke 6,Henry Clercke 6,Henry Clercke,Henry Clerke 6,Henry,Clerke,G,,6.0,Henry Clercke,Henry,Clercke,G,,,Henry Clercke 6,Henry,Clercke,G,,6.0,Henry,Clercke,1543,Henry Clerke,22,22_834,0,1,834
24,6,right_column,5,Colyton,Thomas Smyth 1,Thomas Smyth 1,Thomas Smyth,Thomas Smyth 1,Thomas,Smyth,G,,1.0,Thomas Smyth,Thomas,Smyth,G,,,Thomas Smyth 1,Thomas,Smyth,G,,1.0,Thomas,Smyth,1543,Thomas Smyth,0,0_3598,0,1,3598
25,7,left_column,3,Colyton,William Haydon 2,William Haydon 23,William Haydon 23,William Haydon 2,William,Haydon,G,,2.0,William Haydon 23,William,Haydon,G,,23.0,William Haydon 23,William,Haydon,G,,23.0,William,Haydon,1543,William Haydon,3,3_1835,0,1,1835
25,7,left_column,7,Colyton,Agnes Heydon 12,Agnes Heydon 12,Agnes Heydon,Agnes Heydon 12,Agnes,Heydon,G,,12.0,Agnes Heydon,Agnes,Heydon,G,,,Agnes Heydon 12,Agnes,Heydon,G,,12.0,Agnes,Heydon,1543,Agnes Heydon,32,32_1835,0,1,1835
25,7,left_column,12,Colyton,William Haydon jun 6,William Haydon jun 6,William Haydon jun 6,William Haydon 6,William,Haydon,G, jun ,6.0,William Haydon 6,William,Haydon,G, jun ,6.0,William Haydon 6,William,Haydon,G, jun ,6.0,William,Haydon,1543,William Haydon,3,3_1835,0,1,1835
25,7,left_column,13,Colyton,John Clerke 5,John Clercke 5,John Clercke,John Clerke 5,John,Clerke,G,,5.0,John Clercke,John,Clercke,G,,,John Clercke 5,John,Clercke,G,,5.0,John,Clercke,1543,John Clerke,1,1_834,0,1,834
25,8,center_column,1,Colyton,Peter Haydon 5,Peter Haydon 5,Peter Haydon,Peter Haydon 5,Peter,Haydon,G,,5.0,Peter Haydon,Peter,Haydon,G,,,Peter Haydon 5,Peter,Haydon,G,,5.0,Peter,Haydon,1543,Peter Haydon,45,45_1835,0,1,1835
25,8,center_column,5,Colyton,William Buteler 3,William Buteler 3,William Buteler,William Buteler 3,William,Buteler,G,,3.0,William Buteler,William,Buteler,G,,,William Buteler 3,William,Buteler,G,,3.0,William,Buteler,1543,William Buteler,3,3_650,0,1,650
25,8,center_column,10,Colyton,John Haydon sen 2,John Haydon sen 2,John Haydon sen,John Haydon 2,John,Haydon,G, sen ,2.0,John Haydon sen,John,Haydon,G,,,John Haydon 2,John,Haydon,G, sen ,2.0,John,Haydon,1543,John Haydon,1,1_1835,0,1,1835
25,9,right_column,10,Colyton,John Haydon jun 2,John Haydon jun 2,John Haydon jun,John Haydon 2,John,Haydon,G, jun ,2.0,John Haydon jun,John,Haydon,G,,,John Haydon 2,John,Haydon,G, jun ,2.0,John,Haydon,1543,John Haydon,1,1_1835,0,1,1835
26,1,left_column,1,Halberton,John Elyett gent L 20,Uohn Elyott gent V 20,John Elyott gent L 20,John Elyett gent 20,John,Elyett,L,,20.0,John Elyott gent 20,John,Elyott,L,,20.0,Uohn Elyott gent V 20,Uohn,Elyott,G,,20.0,John,Elyott,1543,John Elyett,1,1_1363,0,1,1363
26,1,left_column,7,Halberton,Edmund Parker 18,Edmund Parker 18,Edmund Parker,Edmund Parker 18,Edmund,Parker,G,,18.0,Edmund Parker,Edmund,Parker,G,,,Edmund Parker 18,Edmund,Parker,G,,18.0,Edmund,Parker,1543,Edmund Parker,35,35_2936,0,1,2936
26,1,left_column,8,Halberton,Henry Grey 10,Henry Grey 10,Henry Grey,Henry Grey 10,Henry,Grey,G,,10.0,Henry Grey,Henry,Grey,G,,,Henry Grey 10,Henry,Grey,G,,10.0,Henry,Grey,1543,Henry Grey,22,22_1775,0,1,1775
26,1,left_column,19,Halberton,Thomas Palmere 10,Thonas Palmere 10,Thomas Palmere,Thomas Palmere 10,Thomas,Palmere,G,,10.0,Thomas Palmere,Thomas,Palmere,G,,,Thonas Palmere 10,Thonas,Palmere,G,,10.0,Thomas,Palmere,1543,Thomas Palmere,0,0_2928,0,1,2928
26,3,right_column,4,Halberton,John Parcker 1,Uohn Parcker 1,John Parcker,John Parcker 1,John,Parcker,G,,1.0,John Parcker,John,Parcker,G,,,Uohn Parcker 1,Uohn,Parcker,G,,1.0,John,Parcker,1543,John Parcker,1,1_2936,0,1,2936
26,3,right_column,20,Halberton,James Parcker 1,James Parcker 1,James Parcker,James Parcker 1,James,Parcker,G,,1.0,James Parcker,James,Parcker,G,,,James Parcker 1,James,Parcker,G,,1.0,James,Parcker,1543,James Parcker,14,14_2936,0,1,2936
26,3,right_column,23,Halberton,John Fullford 1,Uohn Fulffora 1,John Fulfford,John Fullford 1,John,Fullford,G,,1.0,John Fulfford,John,Fulfford,G,,,Uohn Fulffora 1,Uohn,Fulffora,G,,1.0,John,Fulfford,1543,John Fullford,1,1_1565,0,1,1565
26,3,right_column,30,Halberton,Richard Palmer 3,Richara Pallmer 3,Richard PallmerW,Richard Palmer 3,Richard,Palmer,G,,3.0,Richard PallmerW,Richard,Pallmer,G,,,Richara Pallmer 3,Richara,Pallmer,G,,3.0,Richard,Pallmer,1543,Richard Palmer,17,17_2928,0,1,2928
26,6,right_column,1,Halberton,Thomas Fontanane 1,Thomas Fontayne 1L,Thomas Fontayne1,Thomas Fontanane 1,Thomas,Fontanane,G,,1.0,Thomas Fontayne1,Thomas,Fontayne,G,,1.0,Thomas Fontayne 1L,Thomas,Fontayne,G,,,Thomas,Fontayne,1543,Thomas Fontanane,0,0_1527,0,1,1527
26,6,right_column,3,Halberton,Robert Savery 4,Robert Savery 4,Robert Savery,Robert Savery 4,Robert,Savery,G,,4.0,Robert Savery,Robert,Savery,G,,,Robert Savery 4,Robert,Savery,G,,4.0,Robert,Savery,1543,Robert Savery,7,7_3425,0,1,3425
27,3,right_column,1,Halberton,John Davye 1,John Davye 1,John Davye,John Davye 1,John,Davye,G,,1.0,John Davye,John,Davye,G,,,John Davye 1,John,Davye,G,,1.0,John,Davye,1543,John Davye,1,1_1159,0,1,1159
27,3,right_column,7,Halberton,John Harve 6,Uohn Haxve 6,John Harve,John Harve 6,John,Harve,G,,6.0,John Harve,John,Harve,G,,,Uohn Haxve 6,Uohn,Haxve,G,,6.0,John,Harve,1543,John Harve,1,1_1903,0,1,1903
27,3,right_column,17,Halberton,Richard Parcker 1,Richara Parcker 1,Richard Parcker,Richard Parcker 1,Richard,Parcker,G,,1.0,Richard Parcker,Richard,Parcker,G,,,Richara Parcker 1,Richara,Parcker,G,,1.0,Richard,Parcker,1543,Richard Parcker,17,17_2936,0,1,2936
27,3,right_column,18,Halberton,John Clerke 1,John Clercke 1,John Clercke,John Clerke 1,John,Clerke,G,,1.0,John Clercke,John,Clercke,G,,,John Clercke 1,John,Clercke,G,,1.0,John,Clercke,1543,John Clerke,1,1_834,0,1,834
28,4,left_column,2,Hemyock,John Smyth 6,John Smyth 6,John Smyth,John Smyth 6,John,Smyth,G,,6.0,John Smyth,John,Smyth,G,,,John Smyth 6,John,Smyth,G,,6.0,John,Smyth,1543,John Smyth,1,1_3598,0,1,3598
28,6,right_column,4,Hemyock,William Smyth tailor 1,William Syth tailor 1,William Smyth tailor1,William Smyth tailor 1,William,Smyth,G,,1.0,William Smyth tailor1,William,Smyth,G,,1.0,William Syth tailor 1,William,Syth,G,,1.0,William,Smyth,1543,William Smyth,3,3_3598,0,1,3598
28,6,right_column,15,Hemyock,John Smyth 2,John Smyth 2,John Smyth,John Smyth 2,John,Smyth,G,,2.0,John Smyth,John,Smyth,G,,,John Smyth 2,John,Smyth,G,,2.0,John,Smyth,1543,John Smyth,1,1_3598,0,1,3598
28,7,left_column,5,Hemyock,John Smythe 7,John Smythe 7,John Smythe,John Smythe 7,John,Smythe,G,,7.0,John Smythe,John,Smythe,G,,,John Smythe 7,John,Smythe,G,,7.0,John,Smythe,1543,John Smythe,1,1_3598,0,1,3598
28,7,left_column,10,Hemyock,William Gaily 5,William Gaily 5,William Gaily,William Gaily 5,William,Gaily,G,,5.0,William Gaily,William,Gaily,G,,,William Gaily 5,William,Gaily,G,,5.0,William,Gaily,1543,William Gaily,3,3_1586,0,1,1586
28,8,center_column,10,Hemyock,William Davy 3,William Davy 3,William Davy,William Davy 3,William,Davy,G,,3.0,William Davy,William,Davy,G,,,William Davy 3,William,Davy,G,,3.0,William,Davy,1543,William Davy,3,3_1159,0,1,1159
30,3,right_column,5,Hemyock,John Hydon 2,Uohn Hydon 2,John Hydon,John Hydon 2,John,Hydon,G,,2.0,John Hydon,John,Hydon,G,,,Uohn Hydon 2,Uohn,Hydon,G,,2.0,John,Hydon,1543,John Hydon,1,1_1835,0,1,1835
30,4,left_column,2,Hemyock,Thomas Baker 10,Thomas Baker 10,Thomas Baker,Thomas Baker 10,Thomas,Baker,G,,10.0,Thomas Baker,Thomas,Baker,G,,,Thomas Baker 10,Thomas,Baker,G,,10.0,Thomas,Baker,1543,Thomas Baker,0,0_185,0,1,185
30,4,left_column,7,Hemyock,John Baker 18,John Baker 18,JohnBak,John Baker 18,John,Baker,G,,18.0,JohnBak,,,G,,,John Baker 18,John,Baker,G,,18.0,John,Baker,1543,John Baker,1,1_185,0,1,185
30,4,left_column,15,Hemyock,Joan Smyth L 2,Uoan Smyth L 2,Joan SmythL 2,Joan Smyth 2,Joan,Smyth,L,,2.0,Joan SmythL 2,Joan,Smyth,G,,2.0,Uoan Smyth 2,Uoan,Smyth,L,,2.0,Joan,Smyth,1543,Joan Smyth,11,11_3598,0,1,3598
30,6,right_column,1,Hemyock,Richard Russell 1,Richara Russell 1,Richard Russell,Richard Russell 1,Richard,Russell,G,,1.0,Richard Russell,Richard,Russell,G,,,Richara Russell 1,Richara,Russell,G,,1.0,Richard,Russell,1543,Richard Russell,17,17_3353,0,1,3353
30,6,right_column,4,Hemyock,Edward Smyth 2,Edwara Smyth 2,Edward Smyth,Edward Smyth 2,Edward,Smyth,G,,2.0,Edward Smyth,Edward,Smyth,G,,,Edwara Smyth 2,Edwara,Smyth,G,,2.0,Edward,Smyth,1543,Edward Smyth,34,34_3598,0,1,3598
31,1,left_column,21,East Budleigh,Robert Smyth 5,Robert Smyth 5,Robert Smyth,Robert Smyth 5,Robert,Smyth,G,,5.0,Robert Smyth,Robert,Smyth,G,,,Robert Smyth 5,Robert,Smyth,G,,5.0,Robert,Smyth,1543,Robert Smyth,7,7_3598,0,1,3598
31,1,left_column,24,East Budleigh,Richard Russell 5,Richara Russell 5,Richard Russell,Richard Russell 5,Richard,Russell,G,,5.0,Richard Russell,Richard,Russell,G,,,Richara Russell 5,Richara,Russell,G,,5.0,Richard,Russell,1543,Richard Russell,17,17_3353,0,1,3353
31,2,center_column,21,East Budleigh,William Cheyke 1,William Cheyke 1,William Cheyke,William Cheyke 1,William,Cheyke,G,,1.0,William Cheyke,William,Cheyke,G,,,William Cheyke 1,William,Cheyke,G,,1.0,William,Cheyke,1543,William Cheyke,3,3_781,0,1,781
31,2,center_column,26,East Budleigh,Nicholas Mayne 1,Nicholas Mayne 1,Nicholas Mayne,Nicholas Mayne 1,Nicholas,Mayne,G,,1.0,Nicholas Mayne,Nicholas,Mayne,G,,,Nicholas Mayne 1,Nicholas,Mayne,G,,1.0,Nicholas,Mayne,1543,Nicholas Mayne,2,2_2671,0,1,2671
31,2,center_column,27,East Budleigh,Richard Mayne 1,Richara Mayne 1,Richard Mayne,Richard Mayne 1,Richard,Mayne,G,,1.0,Richard Mayne,Richard,Mayne,G,,,Richara Mayne 1,Richara,Mayne,G,,1.0,Richard,Mayne,1543,Richard Mayne,17,17_2671,0,1,2671
31,3,right_column,3,East Budleigh,Richard Pape 1,Richara Pope 1,Richard Pope,Richard Pape 1,Richard,Pape,G,,1.0,Richard Pope,Richard,Pope,G,,,Richara Pope 1,Richara,Pope,G,,1.0,Richard,Pope,1543,Richard Pape,17,17_3129,0,1,3129
31,3,right_column,4,East Budleigh,John Pape 1,Uohn Pope 1,John Pope,John Pape 1,John,Pape,G,,1.0,John Pope,John,Pope,G,,,Uohn Pope 1,Uohn,Pope,G,,1.0,John,Pope,1543,John Pape,1,1_3129,0,1,3129
31,3,right_column,5,East Budleigh,Henry Smyth 1,Henry Smyth 1,Henry Smyth,Henry Smyth 1,Henry,Smyth,G,,1.0,Henry Smyth,Henry,Smyth,G,,,Henry Smyth 1,Henry,Smyth,G,,1.0,Henry,Smyth,1543,Henry Smyth,22,22_3598,0,1,3598
31,3,right_column,21,East Budleigh,John Cheyke 1,Uohn Cheyke 1,John Cheyke,John Cheyke 1,John,Cheyke,G,,1.0,John Cheyke,John,Cheyke,G,,,Uohn Cheyke 1,Uohn,Cheyke,G,,1.0,John,Cheyke,1543,John Cheyke,1,1_781,0,1,781
31,3,right_column,22,East Budleigh,John Parker 1,Uohn Parker 1,John Parker,John Parker 1,John,Parker,G,,1.0,John Parker,John,Parker,G,,,Uohn Parker 1,Uohn,Parker,G,,1.0,John,Parker,1543,John Parker,1,1_2936,0,1,2936
31,4,left_column,1,East Budleigh,Thomas Heydon 30,Thomas Heydon 30,Thomas Heydon,Thomas Heydon 30,Thomas,Heydon,G,,30.0,Thomas Heydon,Thomas,Heydon,G,,,Thomas Heydon 30,Thomas,Heydon,G,,30.0,Thomas,Heydon,1543,Thomas Heydon,0,0_1835,0,1,1835
31,4,left_column,14,East Budleigh,Robert William 10,Robert Williams 10,Robert Williams 10,Robert William 10,Robert,William,G,,10.0,Robert Williams 10,Robert,Williams,G,,10.0,Robert Williams 10,Robert,Williams,G,,10.0,Robert,Williams,1543,Robert William,7,7_4273,0,1,4273
31,4,left_column,21,East Budleigh,John Williams 4,John Williams 4,John Williams,John Williams 4,John,Williams,G,,4.0,John Williams,John,Williams,G,,,John Williams 4,John,Williams,G,,4.0,John,Williams,1543,John Williams,1,1_4273,0,1,4273
31,5,center_column,4,East Budleigh,Thomas Smyth 2,Thomas Smyth 2,Thomas Smyth,Thomas Smyth 2,Thomas,Smyth,G,,2.0,Thomas Smyth,Thomas,Smyth,G,,,Thomas Smyth 2,Thomas,Smyth,G,,2.0,Thomas,Smyth,1543,Thomas Smyth,0,0_3598,0,1,3598
